,ACYP2 (98)
ACH-000004,-0.133723921617
ACH-000007,0.1499904517
ACH-000009,0.11528809344
ACH-000011,0.208815229709
ACH-000012,0.0385489757818
ACH-000013,0.132239001955
ACH-000014,-0.0295899064722
ACH-000015,0.19674706778599999
ACH-000017,0.161862842268
ACH-000018,0.09832828848110002
ACH-000019,0.05948980442559999
ACH-000021,0.23618711776
ACH-000022,0.08911310454500002
ACH-000025,0.12429151334
ACH-000028,0.233746480132
ACH-000030,-0.0570851215783
ACH-000035,0.103890434842
ACH-000036,-0.112010261038
ACH-000037,0.14090032605
ACH-000039,0.126424758754
ACH-000040,-0.00216934618543
ACH-000041,0.0192422031852
ACH-000042,0.20823864149399998
ACH-000045,0.08352335872380001
ACH-000047,0.12668738596100002
ACH-000052,0.19389466094500002
ACH-000053,0.010737317278799998
ACH-000054,0.0432943128153
ACH-000055,0.176719562928
ACH-000060,0.012874666505200002
ACH-000067,0.08061504267530001
ACH-000070,0.320315616127
ACH-000075,-0.0229286036633
ACH-000078,-0.157003400251
ACH-000082,0.026527888918499998
ACH-000085,-0.127521842516
ACH-000086,0.0486127621981
ACH-000087,0.15273014942399998
ACH-000092,-0.133578726954
ACH-000095,-0.0386043632423
ACH-000097,0.208493565891
ACH-000098,0.0754757554337
ACH-000099,0.021493470716300003
ACH-000108,0.242537489996
ACH-000113,0.12682398157400002
ACH-000115,0.0506809435123
ACH-000116,0.0366303924203
ACH-000118,0.153188783753
ACH-000120,0.0789899840822
ACH-000123,0.031891239570299997
ACH-000127,0.11204089748299999
ACH-000128,0.0678299596564
ACH-000132,0.058447483815400006
ACH-000133,-0.144212275172
ACH-000137,-0.0754703411823
ACH-000138,0.0825289038313
ACH-000142,-0.057860727643300004
ACH-000143,0.053933611720900006
ACH-000146,0.025234964782199998
ACH-000148,0.262176922621
ACH-000150,0.194468469608
ACH-000152,-0.04951337080709999
ACH-000153,-0.00450906304988
ACH-000159,0.0421161889557
ACH-000160,0.09454142620389999
ACH-000163,0.11051573842199999
ACH-000167,0.208132365988
ACH-000168,0.122168129618
ACH-000169,0.0851883994049
ACH-000178,0.118813123326
ACH-000182,0.0165057871334
ACH-000183,0.0532749136468
ACH-000188,-0.06588778039030001
ACH-000189,-0.018555440742
ACH-000190,-0.00538699361622
ACH-000198,0.153691008563
ACH-000204,0.08584221464469999
ACH-000206,0.381582011203
ACH-000207,-0.0730025975594
ACH-000211,0.19161782513300002
ACH-000215,0.231048659745
ACH-000221,0.0950083359907
ACH-000222,0.269445463264
ACH-000223,0.11949249524599999
ACH-000226,0.07635402745280001
ACH-000227,-0.25239883979899996
ACH-000228,0.0553091472293
ACH-000231,-0.0321898420813
ACH-000232,0.08891337615460002
ACH-000233,0.140307565188
ACH-000234,0.039931505409699995
ACH-000235,0.120420932378
ACH-000237,0.16983812136100002
ACH-000238,0.20586192295699998
ACH-000243,0.156637754657
ACH-000244,0.19958957514800002
ACH-000246,0.25332472748199997
ACH-000248,0.14602207238
ACH-000250,0.12841592429999998
ACH-000251,0.243011534142
ACH-000253,0.060541599002800005
ACH-000255,0.0821009085073
ACH-000256,0.0710735206092
ACH-000257,0.114916613787
ACH-000258,0.14589425380899998
ACH-000259,0.156324010968
ACH-000260,0.0326627004767
ACH-000261,-0.00466508565886
ACH-000262,-0.044033671817
ACH-000263,0.178226361031
ACH-000264,-0.0867956898436
ACH-000265,0.124209976508
ACH-000266,0.169675723429
ACH-000272,0.120139673789
ACH-000273,0.12923179719900002
ACH-000274,-0.07401720125260002
ACH-000277,0.331509297137
ACH-000278,0.011883924210600002
ACH-000279,0.0894709320764
ACH-000280,0.16062847403799999
ACH-000281,0.071455333716
ACH-000288,0.03617306027330001
ACH-000291,0.238279312892
ACH-000293,0.0100700775566
ACH-000294,-0.146022591028
ACH-000295,0.131235368512
ACH-000296,0.314828797145
ACH-000302,0.0157342556921
ACH-000304,0.351439276344
ACH-000307,0.100092278595
ACH-000308,0.0247093135156
ACH-000310,0.0138594601015
ACH-000311,0.24055974490200002
ACH-000312,0.118884363972
ACH-000315,0.294752606914
ACH-000316,0.00602549732008
ACH-000317,0.21885788880100002
