,AFP (174)
ACH-000004,-0.022041093228799997
ACH-000007,0.013363415344400002
ACH-000009,-0.128091569723
ACH-000011,0.11871953435799999
ACH-000012,-0.112998586108
ACH-000013,0.033431510407
ACH-000014,0.043303391641499996
ACH-000015,-0.148185942939
ACH-000017,-0.040388937857
ACH-000018,-0.144831211574
ACH-000019,-0.109460549145
ACH-000021,-0.11336811713600001
ACH-000022,-0.0040137689814
ACH-000025,-0.0912523341962
ACH-000028,-0.103881939418
ACH-000030,-0.0428478694217
ACH-000035,-0.0590560631097
ACH-000036,0.182235773304
ACH-000037,0.112649914515
ACH-000039,-0.020793801294799998
ACH-000040,0.09658030135130001
ACH-000041,-0.164808107902
ACH-000042,-0.10164347841700001
ACH-000045,-0.0213372955732
ACH-000047,0.00689648346833
ACH-000052,-0.107382721764
ACH-000053,-0.0354542389316
ACH-000054,0.170378256207
ACH-000055,0.245370618
ACH-000060,0.0613806116307
ACH-000067,-0.0253840541736
ACH-000070,-0.150360086833
ACH-000075,-0.0551501410044
ACH-000078,-0.0584800752049
ACH-000082,0.149316659783
ACH-000085,0.0978977699948
ACH-000086,0.147998570825
ACH-000087,0.005573958438439999
ACH-000092,0.09274393399469999
ACH-000095,0.0520247587964
ACH-000097,-0.134302922907
ACH-000098,0.017852042003799997
ACH-000099,0.006834065589430001
ACH-000108,-0.06773490552759999
ACH-000113,-0.161297267017
ACH-000115,-0.0507364172415
ACH-000116,0.011674765602
ACH-000118,-0.08975314635569999
ACH-000120,-0.165220902604
ACH-000123,-0.07269632560339999
ACH-000127,0.0625979899297
ACH-000128,-0.136052924526
ACH-000132,0.08834979953739999
ACH-000133,-0.143294755249
ACH-000137,0.0513185956782
ACH-000138,0.0508609903871
ACH-000142,-0.0714508058809
ACH-000143,-0.08747131842219999
ACH-000146,-0.0933916755439
ACH-000148,-0.0140497066622
ACH-000150,-0.141647256185
ACH-000152,0.12839282199000002
ACH-000153,-0.142021733462
ACH-000159,-0.031346220417800004
ACH-000160,-0.006543044322470001
ACH-000163,-0.0790769952765
ACH-000167,0.12935084730799998
ACH-000168,0.07653720079250001
ACH-000169,-0.020295424226500002
ACH-000178,-0.045812902714800006
ACH-000182,0.108891457709
ACH-000183,-0.05601647885969999
ACH-000188,-0.029989006614399998
ACH-000189,-0.39937531322700004
ACH-000190,0.111721930151
ACH-000198,-0.116031885618
ACH-000204,-0.0960904412373
ACH-000206,0.0847673622478
ACH-000207,0.15131915875
ACH-000211,-0.0980361972672
ACH-000215,-0.0585974208515
ACH-000221,-0.07462380728660001
ACH-000222,-0.0108772075777
ACH-000223,0.0674720072452
ACH-000226,-0.0934994068171
ACH-000227,-0.226056857024
ACH-000228,-0.139082283334
ACH-000231,0.00118732622507
ACH-000232,0.0709861230382
ACH-000233,-0.0553310567186
ACH-000234,0.168091561354
ACH-000235,-0.013856248463399999
ACH-000237,0.100208354384
ACH-000238,0.047530889893699996
ACH-000243,-0.143398904676
ACH-000244,0.106034880773
ACH-000246,0.0283887191058
ACH-000248,-0.185325285762
ACH-000250,0.06601204450180001
ACH-000251,-0.04408293428730001
ACH-000253,0.051377949172999995
ACH-000255,-0.0252676850387
ACH-000256,0.00300463882663
ACH-000257,-0.333724176055
ACH-000258,-0.17955043669799997
ACH-000259,-0.0927136071325
ACH-000260,-0.0340650922324
ACH-000261,-0.0520425363481
ACH-000262,-0.0065853045088599994
ACH-000263,0.052760754909699996
ACH-000264,-0.04807122934309999
ACH-000265,-0.18564356900100001
ACH-000266,-0.0008362360010669999
ACH-000272,-0.0546810334811
ACH-000273,-0.144619166151
ACH-000274,0.08521051374460001
ACH-000277,0.049324476874199996
ACH-000278,-0.12511647507
ACH-000279,0.0687056779134
ACH-000280,-0.116794259409
ACH-000281,-0.00645596955416
ACH-000288,0.08273443550910001
ACH-000291,0.0954922605008
ACH-000293,-0.148500198016
ACH-000294,-0.14406517430500002
ACH-000295,-0.314899822429
ACH-000296,-0.047724848705199996
ACH-000302,-0.06508100318900001
ACH-000304,0.028022185115400004
ACH-000307,-0.00693406147904
ACH-000308,-0.226792992529
ACH-000310,-0.238567222627
ACH-000311,-0.0617627211976
ACH-000312,0.10115657952
ACH-000315,0.047951549435
ACH-000316,-0.23392299953600001
ACH-000317,-0.107356798594
ACH-000318,-0.00964872035714
ACH-000319,-0.101628862953
ACH-000320,-0.178644225471
ACH-000322,-0.000551251906845
ACH-000323,-0.044476231852799995
ACH-000324,0.0120411776352
ACH-000329,0.0584455844794
ACH-000330,-0.0532899091749
ACH-000331,0.0847855634263
ACH-000332,-0.055918579956400004
ACH-000334,0.158417266921
ACH-000335,0.013325386208600002
ACH-000336,-0.0727408967703
ACH-000337,-0.25353888972399996
ACH-000339,-0.133994285081
ACH-000341,0.145574908366
ACH-000348,-0.0272090384085
ACH-000350,-0.116069901076
ACH-000352,-0.0619529676805
ACH-000356,0.252262320587
ACH-000361,-0.108508468069
ACH-000362,-0.102873432477
ACH-000363,0.012851509023
ACH-000364,-0.0924145559615
ACH-000365,0.0030584689674
ACH-000366,-0.0530143870159
ACH-000368,-0.0119299871953
ACH-000374,-0.00788577586804
ACH-000375,0.0171403660484
ACH-000376,-0.167240309123
ACH-000381,0.0411076792749
ACH-000383,0.0370258359005
ACH-000387,-0.145686269511
ACH-000389,-0.0784460831562
ACH-000390,0.00966014630519
ACH-000393,-0.0244836865535
ACH-000395,-0.040334866749800004
ACH-000397,-0.0726898371365
ACH-000401,-0.303297342507
ACH-000402,0.242748595189
ACH-000403,0.0552365285384
ACH-000404,0.013691757051500001
ACH-000406,-0.129549532656
ACH-000407,0.06174864964980001
ACH-000408,-0.354219309687
ACH-000410,-0.06727304896269999
ACH-000411,0.152527772766
ACH-000414,-0.102939747858
ACH-000415,-0.058199380644899996
ACH-000416,-0.0358784602762
ACH-000420,-0.104453186632
ACH-000421,-0.100908198491
ACH-000424,-0.086545650571
ACH-000425,-0.17779609981199998
ACH-000426,-0.021817338138900005
ACH-000427,-0.0511156233533
ACH-000433,-0.32815913484000003
ACH-000436,0.034312987270200004
ACH-000444,-0.0358239070226
ACH-000445,0.152694051032
ACH-000448,-0.0019125198484300002
ACH-000450,0.300184452431
ACH-000452,0.011532809152600002
ACH-000454,0.0739383408235
ACH-000458,-0.0727974124791
ACH-000459,0.219569978724
ACH-000460,0.0161372955243
ACH-000461,-0.262244452486
ACH-000463,-0.036608783409800005
ACH-000464,0.015404955556900001
ACH-000466,0.0539050989675
ACH-000467,-0.136148431198
ACH-000468,-0.0786758904087
ACH-000469,0.030993108844400003
ACH-000470,0.0265237125943
ACH-000471,-0.04452833490230001
ACH-000472,0.0848117852642
ACH-000473,-0.208181630875
ACH-000475,0.027407052697299997
ACH-000476,0.128141942667
ACH-000477,0.221654382655
ACH-000480,0.034046956357900005
ACH-000481,-0.11908190354699999
ACH-000483,-0.059991028050499995
ACH-000484,0.297832335026
ACH-000485,0.0224374383581
ACH-000486,0.06237829070180001
ACH-000487,-0.0175324447084
ACH-000488,-5.51423605741e-05
ACH-000490,-0.14932061987
ACH-000491,-0.045419437155800005
ACH-000495,0.019878157282
ACH-000496,-0.163980152262
ACH-000499,0.0614919262705
ACH-000500,0.577980079761
ACH-000502,0.036420307046
ACH-000503,0.00117504990693
ACH-000505,-0.0628892333484
ACH-000507,-0.240821431041
ACH-000510,-0.149828927375
ACH-000511,-0.0566213837249
ACH-000512,-0.114623811562
ACH-000516,0.129732888046
ACH-000517,0.0157994534185
ACH-000518,-0.191853928237
ACH-000520,0.153442765397
ACH-000521,0.0071752269240900005
ACH-000522,-0.06947157588439999
ACH-000524,-0.09542867649730001
ACH-000527,-0.044153015261500006
ACH-000528,-0.131541923068
ACH-000537,0.0126331734239
ACH-000541,-0.128232436808
ACH-000542,-0.0659674866369
ACH-000544,-0.124165013581
ACH-000545,-0.175833766048
ACH-000547,-0.271899398688
ACH-000548,-0.108859558465
ACH-000549,-0.153379355247
ACH-000550,-0.0861278813655
ACH-000552,0.006288105430659999
