,DepMap_ID
307,ACH-000002
704,ACH-000004
10157,ACH-000031
10720,ACH-000034
14881,ACH-000039
19476,ACH-000060
29264,ACH-000076
30932,ACH-000085
34218,ACH-000099
36626,ACH-000109
52293,ACH-000170
52706,ACH-000172
58581,ACH-000195
64521,ACH-000213
72197,ACH-000238
73617,ACH-000243
78486,ACH-000257
78853,ACH-000258
79229,ACH-000259
82483,ACH-000269
99207,ACH-000317
99554,ACH-000318
99945,ACH-000319
100962,ACH-000322
111117,ACH-000352
119291,ACH-000374
119972,ACH-000376
125314,ACH-000390
125983,ACH-000392
127865,ACH-000396
134210,ACH-000414
138694,ACH-000425
143156,ACH-000435
143621,ACH-000437
144413,ACH-000439
152041,ACH-000458
152042,ACH-000458
153655,ACH-000463
155764,ACH-000468
165264,ACH-000491
170276,ACH-000506
171303,ACH-000508
180445,ACH-000529
197754,ACH-000570
198543,ACH-000572
199013,ACH-000573
201401,ACH-000579
208230,ACH-000593
208931,ACH-000595
215070,ACH-000608
224763,ACH-000629
227045,ACH-000634
231894,ACH-000643
246174,ACH-000670
249559,ACH-000676
266352,ACH-000707
266805,ACH-000708
267578,ACH-000710
279001,ACH-000731
283729,ACH-000741
283730,ACH-000741
290345,ACH-000753
291583,ACH-000755
313108,ACH-000786
313109,ACH-000786
313110,ACH-000786
313111,ACH-000786
313112,ACH-000786
313113,ACH-000786
313114,ACH-000786
360719,ACH-000804
362712,ACH-000806
364130,ACH-000808
364690,ACH-000809
367559,ACH-000812
378685,ACH-000826
383367,ACH-000832
383368,ACH-000832
383369,ACH-000832
383956,ACH-000833
388112,ACH-000840
393763,ACH-000846
399476,ACH-000853
410286,ACH-000866
421739,ACH-000876
429784,ACH-000883
435478,ACH-000888
457139,ACH-000908
468731,ACH-000915
468732,ACH-000915
468733,ACH-000915
487753,ACH-000925
487754,ACH-000925
489692,ACH-000926
492581,ACH-000928
501322,ACH-000932
501323,ACH-000932
503796,ACH-000933
508477,ACH-000936
518020,ACH-000939
520555,ACH-000940
526496,ACH-000942
528613,ACH-000943
528614,ACH-000943
528615,ACH-000943
540316,ACH-000947
554100,ACH-000952
564389,ACH-000955
567949,ACH-000956
567950,ACH-000956
570875,ACH-000957
577542,ACH-000959
577543,ACH-000959
577544,ACH-000959
580400,ACH-000960
583194,ACH-000961
586792,ACH-000962
586793,ACH-000962
594306,ACH-000964
594307,ACH-000964
594308,ACH-000964
594309,ACH-000964
594310,ACH-000964
594311,ACH-000964
596659,ACH-000965
596660,ACH-000965
600075,ACH-000966
600076,ACH-000966
604179,ACH-000967
604180,ACH-000967
604181,ACH-000967
608322,ACH-000968
608323,ACH-000968
615672,ACH-000970
623758,ACH-000972
627785,ACH-000973
630733,ACH-000974
638849,ACH-000977
638850,ACH-000977
644537,ACH-000978
644538,ACH-000978
659433,ACH-000981
659434,ACH-000981
659435,ACH-000981
659436,ACH-000981
659437,ACH-000981
665071,ACH-000982
665072,ACH-000982
665073,ACH-000982
671856,ACH-000983
671857,ACH-000983
675309,ACH-000984
675310,ACH-000984
675311,ACH-000984
681320,ACH-000985
681321,ACH-000985
681322,ACH-000985
703687,ACH-000988
710558,ACH-000989
718186,ACH-000990
718187,ACH-000990
718188,ACH-000990
741033,ACH-000992
741034,ACH-000992
741035,ACH-000992
741036,ACH-000992
741037,ACH-000992
741038,ACH-000992
741039,ACH-000992
741040,ACH-000992
741041,ACH-000992
741042,ACH-000992
741043,ACH-000992
814751,ACH-000994
824438,ACH-000995
824439,ACH-000995
824440,ACH-000995
824441,ACH-000995
824442,ACH-000995
824443,ACH-000995
824444,ACH-000995
843815,ACH-000997
843816,ACH-000997
854320,ACH-000998
854321,ACH-000998
865356,ACH-000999
865357,ACH-000999
865358,ACH-000999
865359,ACH-000999
865360,ACH-000999
891109,ACH-001002
899444,ACH-001063
920121,ACH-001099
923857,ACH-001127
923858,ACH-001127
923859,ACH-001127
923860,ACH-001127
923861,ACH-001127
923862,ACH-001127
923863,ACH-001127
931277,ACH-001132
934943,ACH-001145
944541,ACH-001199
951763,ACH-001232
955209,ACH-001278
956427,ACH-001300
958342,ACH-001318
958343,ACH-001318
961253,ACH-001331
961858,ACH-001333
961859,ACH-001333
967746,ACH-001345
967747,ACH-001345
967748,ACH-001345
982208,ACH-001369
1007020,ACH-001490
1025168,ACH-001546
1027232,ACH-001550
1045673,ACH-001610
1061354,ACH-001655
1068581,ACH-001737
1070135,ACH-001738
1070136,ACH-001738
1092959,ACH-002097
1096248,ACH-002101
1099888,ACH-002116
1100261,ACH-002118
1106348,ACH-002144
1114397,ACH-002162
1119704,ACH-002167
1121309,ACH-002171
1128986,ACH-002185
1142091,ACH-002222
1147810,ACH-002226
1157669,ACH-002242
1160565,ACH-002252
1162734,ACH-002256
1182160,ACH-002279
1194384,ACH-002306
1195210,ACH-002309
1195211,ACH-002309
1217355,ACH-002379
1220516,ACH-002389
1222986,ACH-002396
