,ALDH3A1 (218)
ACH-000004,-0.117579997916
ACH-000007,0.00576034694741
ACH-000009,-0.32298576571800003
ACH-000011,-0.245352319476
ACH-000012,-0.08808842240910002
ACH-000013,-0.380536010968
ACH-000014,-0.04874378822599999
ACH-000015,-0.261188611099
ACH-000017,-0.0432671208384
ACH-000018,-0.05140118281219999
ACH-000019,-0.09732707548419998
ACH-000021,-0.14092020921700002
ACH-000022,-0.0929905544909
ACH-000025,-0.18700130547899999
ACH-000028,-0.175676082268
ACH-000030,-0.129865306608
ACH-000035,-0.259939226184
ACH-000036,-0.032946005146599996
ACH-000037,-0.307296238788
ACH-000039,-0.216513622931
ACH-000040,-0.08098753812710001
ACH-000041,-0.220315613864
ACH-000042,-0.254435029295
ACH-000045,-0.167733917145
ACH-000047,-0.048308640030300005
ACH-000052,-0.0637001347809
ACH-000053,-0.08970913219450001
ACH-000054,-0.07789337901219999
ACH-000055,0.0039222444412399995
ACH-000060,-0.211230095481
ACH-000067,-0.386964723356
ACH-000070,-0.0256187604246
ACH-000075,-0.19052653513099999
ACH-000078,-0.0678875118221
ACH-000082,-0.111848347534
ACH-000085,-0.160760608706
ACH-000086,0.120071175141
ACH-000087,-0.451641430788
ACH-000092,-0.142019558308
ACH-000095,-0.184076464837
ACH-000097,-0.162554917188
ACH-000098,-0.18854218637200001
ACH-000099,-0.18672240935400003
ACH-000108,-0.14389104361500002
ACH-000113,-0.0732797789473
ACH-000115,-0.0689865779295
ACH-000116,-0.0299160924572
ACH-000118,-0.0252511129845
ACH-000120,-0.151555952797
ACH-000123,-0.22004666837200001
ACH-000127,-0.167398880083
ACH-000128,-0.121455041328
ACH-000132,-0.0393350499087
ACH-000133,-0.049520936800600004
ACH-000137,-0.10184437081499999
ACH-000138,-0.161891197523
ACH-000142,-0.19148441089200002
ACH-000143,0.0449752980829
ACH-000146,0.0675516543004
ACH-000148,-0.20105622402800002
ACH-000150,-0.522155540895
ACH-000152,-0.47731211971799997
ACH-000153,-0.7405105838539999
ACH-000159,-0.0269322478413
ACH-000160,-0.11306066549
ACH-000163,-0.0517193714719
ACH-000167,-0.0730070456962
ACH-000168,-0.123373218257
ACH-000169,-0.0463467984825
ACH-000178,0.0823555582455
ACH-000182,-0.056992567385200005
ACH-000183,-0.181169860841
ACH-000188,-0.35256590573299995
ACH-000189,0.0783695287111
ACH-000190,0.07019113095269999
ACH-000198,0.061286249470499994
ACH-000204,-0.14956053335
ACH-000206,-0.195519308783
ACH-000207,-0.139331128275
ACH-000211,-0.209450664847
ACH-000215,-0.08419900022770001
ACH-000221,-0.182537485458
ACH-000222,0.162782014208
ACH-000223,-0.022066442595799998
ACH-000226,-0.11621268148
ACH-000227,-0.21293445715999998
ACH-000228,-0.0643528096623
ACH-000231,-0.09699212482380001
ACH-000232,-0.120850500573
ACH-000233,-0.0890770515268
ACH-000234,-0.0105854269956
ACH-000235,-0.201554366153
ACH-000237,-0.09541234300969999
ACH-000238,-0.31895894704100003
ACH-000243,-0.0605846694372
ACH-000244,-0.134656201536
ACH-000246,0.00829696245442
ACH-000248,-0.12198771279000001
ACH-000250,-0.20668427507399997
ACH-000251,-0.0489004738106
ACH-000253,-0.0280685729379
ACH-000255,-0.06538808626130001
ACH-000256,-0.34649525032899997
ACH-000257,0.020299627177200002
ACH-000258,-0.167127638571
ACH-000259,-0.0017203714821700002
ACH-000260,-0.09346706792210001
ACH-000261,-0.0946193252904
ACH-000262,-0.13337434614
ACH-000263,0.0380920137039
ACH-000264,-0.0105107470208
ACH-000265,-0.31786811152100003
ACH-000266,-0.00418330660933
ACH-000272,-0.0595664485344
ACH-000273,-0.179393252354
ACH-000274,-0.130343730501
ACH-000277,-0.447326248593
ACH-000278,-0.215490488876
ACH-000279,-0.153187059864
ACH-000280,-0.0416365629173
ACH-000281,-0.33443136278999996
ACH-000288,-0.319164874845
ACH-000291,0.006596627428259999
ACH-000293,-0.156497192432
ACH-000294,-0.20946468280900002
ACH-000295,-0.0030514692193000003
ACH-000296,-0.08936086416200001
ACH-000302,-0.13796492098500002
ACH-000304,-0.057666261889
ACH-000307,0.08571666931060001
ACH-000308,-0.07117553385039999
ACH-000310,-0.23281531881099998
ACH-000311,-0.148489117982
ACH-000312,-0.131216630748
ACH-000315,0.0729884370743
ACH-000316,-0.262166307161
ACH-000317,0.057686728975200004
ACH-000318,-0.0727209215034
ACH-000319,-0.0678502538927
ACH-000320,0.0713115178049
ACH-000322,-0.12448660591499999
ACH-000323,-0.17933012243000002
ACH-000324,-0.130370071611
ACH-000329,-0.08811210319160001
ACH-000330,-0.0541307715283
ACH-000331,-0.141212134192
ACH-000332,-0.08548295284980001
ACH-000334,0.055778539616300006
ACH-000335,0.0774347317178
ACH-000336,0.0810616110348
ACH-000337,-0.07909187506080001
ACH-000339,-0.266800879085
ACH-000341,0.23016336963599998
ACH-000348,-0.0381499546771
ACH-000350,-0.213390549111
ACH-000352,-0.17548720479000002
ACH-000356,-0.30031656416700003
ACH-000361,-0.176491766667
ACH-000362,-0.0956159508437
ACH-000363,-0.03662381930769999
ACH-000364,-0.24281725033399998
ACH-000365,-0.17688225921
ACH-000366,-0.124658118814
ACH-000368,-0.31193084003000005
ACH-000374,-0.0757746727307
ACH-000375,-0.123881271591
ACH-000376,-0.06907612398860001
ACH-000381,-0.0459970257962
ACH-000383,-0.06405035433999999
ACH-000387,-0.195418535858
ACH-000389,-0.23672678418499998
ACH-000390,-0.111419793312
ACH-000393,-0.110050091207
ACH-000395,-0.045693546421800006
ACH-000397,-0.09299834570849999
ACH-000401,0.118476388867
ACH-000402,0.212311290873
ACH-000403,-0.0895576818898
ACH-000404,-0.051313612413999996
ACH-000406,-0.174235496441
ACH-000407,-0.36328338444700004
ACH-000408,-0.014695014606000001
ACH-000410,-0.0616485482962
ACH-000411,-0.034682490580199996
ACH-000414,0.00144935076862
ACH-000415,-0.37019131250299997
ACH-000416,-0.0848053395954
ACH-000420,-0.0477941111395
ACH-000421,-0.157897175955
ACH-000424,-0.013220896103299998
ACH-000425,0.0235131236327
ACH-000426,-0.303981532575
ACH-000427,-0.256747612278
ACH-000433,0.120260844098
ACH-000436,0.036036672928300005
ACH-000444,-0.0679098618976
ACH-000445,-0.422552797769
ACH-000448,-0.291804511936
ACH-000450,-0.219697949896
ACH-000452,-0.09534830933499999
ACH-000454,-0.261415863963
ACH-000458,-0.105733863641
ACH-000459,-0.117638842865
ACH-000460,-0.141978530887
ACH-000461,0.0583912226985
ACH-000463,-0.254336231604
ACH-000464,-0.316600397262
ACH-000466,-0.0569898322081
ACH-000467,0.0244423659093
ACH-000468,-0.20675075477899998
ACH-000469,-0.156739747078
ACH-000470,-0.139431251244
ACH-000471,-0.0725493305646
ACH-000472,-0.06943935756410001
ACH-000473,-0.16900145014899998
ACH-000475,-0.101408322931
ACH-000476,-0.12436101386600001
ACH-000477,0.501731806767
ACH-000480,0.00010686413237899999
ACH-000481,-0.286102137425
ACH-000483,-0.302177152446
ACH-000484,0.181541523342
ACH-000485,0.019737392917500002
ACH-000486,-0.110452234923
