,AMH (268)
ACH-000004,0.134108267301
ACH-000007,0.0365192582759
ACH-000009,0.066676432038
ACH-000011,2.17721339818e-05
ACH-000012,0.139082503202
ACH-000013,-0.0933576642293
ACH-000014,-0.221283956182
ACH-000015,-0.0672232042727
ACH-000017,0.0161212282079
ACH-000018,-0.18821000753699998
ACH-000019,-0.040704869583
ACH-000021,-0.09178610092140001
ACH-000022,0.0101125954346
ACH-000025,0.23497307890500002
ACH-000028,-0.0407375234176
ACH-000030,0.0777708294528
ACH-000035,-0.06921703106919999
ACH-000036,0.21528121828400001
ACH-000037,0.18396297290999997
ACH-000039,0.263049427722
ACH-000040,0.163998793253
ACH-000041,0.12524711233400002
ACH-000042,0.164070444265
ACH-000045,-0.04459726787980001
ACH-000047,0.105228183584
ACH-000052,0.319778010497
ACH-000053,0.1243616949
ACH-000054,0.050954937458
ACH-000055,-0.113992155844
ACH-000060,0.055950126674
ACH-000067,0.0596406341554
ACH-000070,0.103630225121
ACH-000075,-0.113487007613
ACH-000078,0.07649681498430001
ACH-000082,0.0714704156146
ACH-000085,-0.0987941795035
ACH-000086,-0.103275907425
ACH-000087,0.08282741507889999
ACH-000092,0.020338388579400003
ACH-000095,-0.120406512624
ACH-000097,0.0701301791451
ACH-000098,-0.0661490044555
ACH-000099,0.0401956003555
ACH-000108,-0.0742144872035
ACH-000113,0.0974471580538
ACH-000115,-0.351972502574
ACH-000116,-0.0198150282128
ACH-000118,0.0780704027778
ACH-000120,-0.11062855435499999
ACH-000123,0.121753717126
ACH-000127,-0.0214303751922
ACH-000128,0.0361455953668
ACH-000132,0.0374817315724
ACH-000133,0.0206010340673
ACH-000137,0.0632623144547
ACH-000138,-0.00103062002313
ACH-000142,-0.0773281581734
ACH-000143,-0.093745532173
ACH-000146,0.082617254876
ACH-000148,-0.044372973185400004
ACH-000150,0.0293997775126
ACH-000152,0.09590328046289999
ACH-000153,-0.21089409097800002
ACH-000159,0.00883467448771
ACH-000160,0.0390912666214
ACH-000163,-0.14794005817800002
ACH-000167,-0.176816066538
ACH-000168,0.00850529170878
ACH-000169,0.061544960757499996
ACH-000178,0.0310462269926
ACH-000182,0.0631899196323
ACH-000183,0.08926256755489999
ACH-000188,-0.0158452754385
ACH-000189,0.56437433643
ACH-000190,0.005488844360520001
ACH-000198,0.00447452329066
ACH-000204,0.09845963837880001
ACH-000206,-0.168141719848
ACH-000207,-0.137083064413
ACH-000211,0.17145960206500002
ACH-000215,0.105758690152
ACH-000221,0.125147074421
ACH-000222,-0.143979036816
ACH-000223,0.0295216216689
ACH-000226,0.287233505137
ACH-000227,0.21647407430799998
ACH-000228,0.04538183800969999
ACH-000231,0.105374347091
ACH-000232,0.119843107555
ACH-000233,0.0222656897221
ACH-000234,0.0105650524358
ACH-000235,0.0070820458097700005
ACH-000237,0.021155774257900002
ACH-000238,-0.020303063078000002
ACH-000243,-0.0181173125538
ACH-000244,-0.0340359926874
ACH-000246,0.0355467694127
ACH-000248,-0.059815613602
ACH-000250,0.0346830743621
ACH-000251,0.127165379714
ACH-000253,-0.010315799246999999
ACH-000255,0.0902543953686
ACH-000256,0.100340538266
ACH-000257,0.00623005551633
ACH-000258,0.235788173902
ACH-000259,0.0409568657074
ACH-000260,0.0190369278721
ACH-000261,0.139852554425
ACH-000262,-0.09788291306569999
ACH-000263,0.07655031651260001
ACH-000264,0.136465880121
ACH-000265,-0.0166266559385
ACH-000266,-0.051157310223699994
ACH-000272,-0.0325090769654
ACH-000273,0.09677218014080001
ACH-000274,0.011353373189299997
ACH-000277,-0.0148943025599
ACH-000278,0.171910894853
ACH-000279,0.0629191869963
ACH-000280,0.0251711945301
ACH-000281,0.0737988338145
ACH-000288,0.118562370285
ACH-000291,0.0132573881125
ACH-000293,-0.048403290617
ACH-000294,-0.0667638267191
ACH-000295,-0.0736835440019
ACH-000296,0.0251916017631
ACH-000302,-0.05462936430530001
ACH-000304,0.18681250275800002
ACH-000307,-0.09245220547360002
ACH-000308,0.0806278153313
ACH-000310,0.340567137222
ACH-000311,-0.09159048945380001
ACH-000312,0.021351179781200002
ACH-000315,0.0993209477631
ACH-000316,0.189768057787
ACH-000317,0.28230718069899996
ACH-000318,-0.045814486228599995
ACH-000319,-0.130240346262
ACH-000320,-0.09762894532250001
ACH-000322,0.113474580728
ACH-000323,0.0189707894525
ACH-000324,0.11505909298900001
ACH-000329,0.22740580279599998
ACH-000330,0.0044255690012200005
ACH-000331,0.108212359917
ACH-000332,0.112363736928
ACH-000334,0.170116271138
ACH-000335,0.00161121762105
ACH-000336,0.00012726630665700002
ACH-000337,-0.0827764448415
ACH-000339,0.06295160973530001
ACH-000341,-0.0331557382123
ACH-000348,0.116340447339
ACH-000350,0.07021080185600001
ACH-000352,0.059737045090500006
ACH-000356,0.0720572339214
ACH-000361,-0.0679802408363
ACH-000362,-0.111287759127
ACH-000363,-0.028130576552
ACH-000364,0.0999855660753
ACH-000365,-0.13608438257799998
ACH-000366,0.0664100745706
ACH-000368,0.09269410596989999
ACH-000374,0.12127699760600001
ACH-000375,-0.119969991447
ACH-000376,0.0987711173391
ACH-000381,0.119734520879
ACH-000383,0.0175169648425
ACH-000387,0.20113117582000004
ACH-000389,0.0612502703322
ACH-000390,-0.0419997488184
ACH-000393,0.108067391438
ACH-000395,0.133073116844
ACH-000397,-0.00864366408882
ACH-000401,0.129112523771
ACH-000402,0.09762601920260001
ACH-000403,0.0693256027433
ACH-000404,-0.116229864229
ACH-000406,0.12691693933
ACH-000407,-0.00729848148958
ACH-000408,-0.0443390845
ACH-000410,0.09852333034260001
ACH-000411,0.106150654673
ACH-000414,0.0163885990448
ACH-000415,0.011499209328
ACH-000416,-0.0413392491716
ACH-000420,-0.00271460919349
ACH-000421,-0.0368430490681
ACH-000424,-0.0965196553176
ACH-000425,0.00122215717954
ACH-000426,-0.0742377936216
ACH-000427,0.18708783084000002
ACH-000433,0.0786129404276
ACH-000436,0.0177825802857
ACH-000444,0.233363432516
ACH-000445,-0.225101032971
ACH-000448,0.135945637363
ACH-000450,-0.037962905078
ACH-000452,0.0326238914108
ACH-000454,0.030460758686099997
ACH-000458,0.0498668558229
ACH-000459,0.0685328526385
ACH-000460,0.025398070476599997
ACH-000461,-0.060169955429499995
ACH-000463,-0.0124505557836
ACH-000464,0.0931452903273
