,DepMap_ID
3290,ACH-000011
4908,ACH-000015
5835,ACH-000018
8732,ACH-000026
19911,ACH-000061
30769,ACH-000083
41219,ACH-000127
41988,ACH-000130
54051,ACH-000177
62344,ACH-000205
81392,ACH-000265
88024,ACH-000287
98070,ACH-000314
103669,ACH-000330
104464,ACH-000333
117031,ACH-000367
123063,ACH-000383
127081,ACH-000394
134139,ACH-000413
141233,ACH-000430
147348,ACH-000446
168785,ACH-000501
179648,ACH-000527
185204,ACH-000543
226822,ACH-000633
239166,ACH-000657
254917,ACH-000686
273343,ACH-000721
286616,ACH-000746
302687,ACH-000773
348795,ACH-000787
350391,ACH-000789
357329,ACH-000799
372124,ACH-000817
397813,ACH-000851
451981,ACH-000902
474847,ACH-000918
477005,ACH-000919
477006,ACH-000919
494228,ACH-000928
499542,ACH-000930
501011,ACH-000931
505071,ACH-000933
531579,ACH-000943
544903,ACH-000948
562753,ACH-000954
576313,ACH-000958
582258,ACH-000960
585669,ACH-000961
606972,ACH-000967
610157,ACH-000968
618243,ACH-000970
629795,ACH-000973
693643,ACH-000986
701201,ACH-000987
708456,ACH-000988
727019,ACH-000990
785827,ACH-000992
785828,ACH-000992
785829,ACH-000992
785830,ACH-000992
785831,ACH-000992
785832,ACH-000992
785833,ACH-000992
785834,ACH-000992
785835,ACH-000992
785836,ACH-000992
785837,ACH-000992
821596,ACH-000994
830383,ACH-000995
839829,ACH-000996
839830,ACH-000996
861304,ACH-000998
882921,ACH-000999
892798,ACH-001022
944336,ACH-001197
949250,ACH-001203
960707,ACH-001328
963771,ACH-001333
1002981,ACH-001454
1008759,ACH-001497
1008760,ACH-001497
1008761,ACH-001497
1014551,ACH-001517
1016401,ACH-001519
1025878,ACH-001546
1025879,ACH-001546
1096026,ACH-002100
1127470,ACH-002180
1155554,ACH-002238
1155555,ACH-002238
1168326,ACH-002256
1191272,ACH-002296
1225551,ACH-002396
