,DepMap_ID
13152,ACH-000037
78365,ACH-000256
79394,ACH-000259
90254,ACH-000294
102689,ACH-000327
102690,ACH-000327
106521,ACH-000339
118738,ACH-000372
167546,ACH-000498
182834,ACH-000536
189603,ACH-000552
216783,ACH-000611
224535,ACH-000628
246523,ACH-000670
270522,ACH-000716
285299,ACH-000744
287213,ACH-000747
304574,ACH-000776
332416,ACH-000786
355875,ACH-000796
373490,ACH-000819
379095,ACH-000826
384272,ACH-000833
388543,ACH-000840
391269,ACH-000843
430293,ACH-000883
474652,ACH-000918
484118,ACH-000922
496478,ACH-000929
500919,ACH-000931
502695,ACH-000932
513310,ACH-000937
549887,ACH-000950
552852,ACH-000951
566420,ACH-000955
566421,ACH-000955
569652,ACH-000956
581972,ACH-000960
585269,ACH-000961
598592,ACH-000965
613681,ACH-000969
629438,ACH-000973
641959,ACH-000977
654407,ACH-000979
654408,ACH-000979
654409,ACH-000979
662463,ACH-000981
685367,ACH-000985
685368,ACH-000985
692794,ACH-000986
692795,ACH-000986
700377,ACH-000987
707586,ACH-000988
725474,ACH-000990
736101,ACH-000991
736102,ACH-000991
736103,ACH-000991
778505,ACH-000992
778506,ACH-000992
778507,ACH-000992
778508,ACH-000992
778509,ACH-000992
778510,ACH-000992
778511,ACH-000992
778512,ACH-000992
778513,ACH-000992
778514,ACH-000992
778515,ACH-000992
778516,ACH-000992
778517,ACH-000992
778518,ACH-000992
778519,ACH-000992
778520,ACH-000992
778521,ACH-000992
778522,ACH-000992
778523,ACH-000992
778524,ACH-000992
778525,ACH-000992
778526,ACH-000992
778527,ACH-000992
778528,ACH-000992
829393,ACH-000995
849734,ACH-000997
879754,ACH-000999
879755,ACH-000999
879756,ACH-000999
893817,ACH-001024
902190,ACH-001065
913624,ACH-001081
913625,ACH-001081
938561,ACH-001147
941798,ACH-001189
949993,ACH-001205
952542,ACH-001233
965572,ACH-001336
966933,ACH-001341
976080,ACH-001355
983750,ACH-001369
991448,ACH-001398
1030378,ACH-001550
1034606,ACH-001552
1042964,ACH-001578
1048555,ACH-001610
1097371,ACH-002104
1118353,ACH-002166
1128601,ACH-002183
1130955,ACH-002191
1178071,ACH-002272
1182048,ACH-002278
1187410,ACH-002287
1194525,ACH-002306
1204639,ACH-002317
1207100,ACH-002340
1214453,ACH-002363
1214454,ACH-002363
