,DepMap_ID
7998,ACH-000024
7999,ACH-000024
14942,ACH-000039
18093,ACH-000054
23311,ACH-000065
32758,ACH-000093
36152,ACH-000107
36774,ACH-000109
41100,ACH-000127
43639,ACH-000137
44786,ACH-000142
57757,ACH-000191
61232,ACH-000202
67486,ACH-000221
78321,ACH-000256
84579,ACH-000276
87937,ACH-000287
90212,ACH-000294
90213,ACH-000294
97013,ACH-000313
97765,ACH-000314
101423,ACH-000323
101710,ACH-000324
103000,ACH-000328
114566,ACH-000360
120840,ACH-000378
131453,ACH-000406
132238,ACH-000408
135333,ACH-000416
135940,ACH-000417
142864,ACH-000434
144147,ACH-000438
149075,ACH-000450
150398,ACH-000453
151851,ACH-000457
156779,ACH-000470
158597,ACH-000475
165894,ACH-000492
171556,ACH-000508
173249,ACH-000512
173668,ACH-000513
175637,ACH-000517
181400,ACH-000532
189022,ACH-000551
189534,ACH-000552
190118,ACH-000553
190119,ACH-000553
203027,ACH-000582
210607,ACH-000598
213732,ACH-000605
214227,ACH-000606
218216,ACH-000615
219779,ACH-000618
222192,ACH-000623
223914,ACH-000627
226671,ACH-000633
231313,ACH-000641
243525,ACH-000665
244724,ACH-000667
245795,ACH-000669
249793,ACH-000676
253613,ACH-000683
257807,ACH-000693
259193,ACH-000695
265273,ACH-000705
265962,ACH-000706
267391,ACH-000709
271569,ACH-000718
273203,ACH-000721
279782,ACH-000733
281835,ACH-000737
287132,ACH-000747
290534,ACH-000753
291110,ACH-000754
292955,ACH-000757
297669,ACH-000765
298981,ACH-000767
308068,ACH-000780
311251,ACH-000784
328684,ACH-000786
328685,ACH-000786
328686,ACH-000786
328687,ACH-000786
328688,ACH-000786
328689,ACH-000786
328690,ACH-000786
328691,ACH-000786
328692,ACH-000786
350211,ACH-000789
351073,ACH-000790
356263,ACH-000797
361134,ACH-000804
362132,ACH-000805
362133,ACH-000805
374186,ACH-000820
374962,ACH-000821
387774,ACH-000839
387775,ACH-000839
394869,ACH-000847
397603,ACH-000851
406412,ACH-000861
409726,ACH-000865
414490,ACH-000870
414491,ACH-000870
414492,ACH-000870
415852,ACH-000871
417256,ACH-000872
418474,ACH-000873
418475,ACH-000873
420987,ACH-000875
427397,ACH-000881
431271,ACH-000884
431272,ACH-000884
436227,ACH-000888
439160,ACH-000890
444118,ACH-000895
453695,ACH-000904
455329,ACH-000906
457858,ACH-000908
457859,ACH-000908
457860,ACH-000908
459506,ACH-000909
459507,ACH-000909
463953,ACH-000912
463954,ACH-000912
469288,ACH-000915
482042,ACH-000921
486511,ACH-000924
486512,ACH-000924
493586,ACH-000928
496092,ACH-000929
502366,ACH-000932
507796,ACH-000935
507797,ACH-000935
507798,ACH-000935
512648,ACH-000937
512649,ACH-000937
