,ATF4 (468)
ACH-000004,-1.39303886741
ACH-000007,-1.15764266846
ACH-000009,-1.03463923149
ACH-000011,-0.9453257810150001
ACH-000012,-1.0952111333
ACH-000013,-0.808677474814
ACH-000014,-1.07749904107
ACH-000015,-0.7353171229180001
ACH-000017,-1.1545079022700002
ACH-000018,-0.8376577154729999
ACH-000019,-1.29293389577
ACH-000021,-0.9360710131200001
ACH-000022,-0.946237529313
ACH-000025,-1.15356189057
ACH-000028,-0.80317198423
ACH-000030,-0.7737845110279999
ACH-000035,-0.752646799498
ACH-000036,-1.20545704778
ACH-000037,-0.9171477830589999
ACH-000039,-1.52058697681
ACH-000040,-0.851904384748
ACH-000041,-0.498926596985
ACH-000042,-0.891480327898
ACH-000045,-0.83304499491
ACH-000047,-0.7903166684849999
ACH-000052,-1.09906237473
ACH-000053,-0.743765784964
ACH-000054,-0.798993784909
ACH-000055,-1.15004973346
ACH-000060,-1.13780230452
ACH-000067,-0.735683892496
ACH-000070,-1.3143145379899999
ACH-000075,-1.4412929015
ACH-000078,-1.0807222675200001
ACH-000082,-0.446384987653
ACH-000085,-0.7099046110780001
ACH-000086,-0.741377812779
ACH-000087,-0.616566304933
ACH-000092,-0.499310634649
ACH-000095,-1.0429765748
ACH-000097,-0.842434387534
ACH-000098,-0.882053001839
ACH-000099,-1.0512961925700002
ACH-000108,-0.667386960518
ACH-000113,-0.947311353441
ACH-000115,-1.1758784459
ACH-000116,-0.609011843545
ACH-000118,-0.704668616608
ACH-000120,-0.7889261248489999
ACH-000123,-0.9554536062379999
ACH-000127,-0.567339871059
ACH-000128,-1.13535537407
ACH-000132,-1.0358899583299999
ACH-000133,-0.568925884155
ACH-000137,-1.3780924284799998
ACH-000138,-1.18623986915
ACH-000142,-1.12226233036
ACH-000143,-0.9053547965090001
ACH-000146,-0.642186906708
ACH-000148,-0.635688998206
ACH-000150,-0.8344928594069999
ACH-000152,-0.7716869512010001
ACH-000153,-0.792169419339
ACH-000159,-0.46274145337
ACH-000160,-0.864176884793
ACH-000163,-0.968327660963
ACH-000167,-1.3487729754
ACH-000168,-0.9824050326549999
ACH-000169,-0.827974238145
ACH-000178,-0.9173433559849999
ACH-000182,-0.829246793432
ACH-000183,-0.967699792441
ACH-000188,-0.8934880337710001
ACH-000189,-1.0910299995100001
ACH-000190,-1.03089983598
ACH-000198,-0.896901001612
ACH-000204,-0.682652298268
ACH-000206,-1.0147443139499999
ACH-000207,-1.5819299553400001
ACH-000211,-1.37493559289
ACH-000215,-0.763740748704
ACH-000221,-0.895831876388
ACH-000222,-0.7441663408310001
ACH-000223,-0.8128748940520001
ACH-000226,-0.5293106268419999
ACH-000227,-1.30903543117
ACH-000228,-0.793483021018
ACH-000231,-0.9818697684379999
ACH-000232,-0.871694176743
ACH-000233,-0.779897701401
ACH-000234,-0.591405042157
ACH-000235,-0.954356143038
ACH-000237,-0.8938051909620001
ACH-000238,-0.846869855145
ACH-000243,-0.7734518117199999
ACH-000244,-0.757349840448
ACH-000246,-0.80971116746
ACH-000248,-0.903239555603
ACH-000250,-0.9810769729250001
ACH-000251,-0.848621325326
ACH-000253,-1.03230452561
ACH-000255,-0.93383792869
ACH-000256,-0.873438375473
ACH-000257,-0.9743222187880001
ACH-000258,-0.7933691320530001
ACH-000259,-0.776727894474
ACH-000260,-0.7081494556810001
ACH-000261,-1.18812826754
ACH-000262,-0.940338814554
ACH-000263,-0.8752593867630001
ACH-000264,-1.36657473334
ACH-000265,-0.920760734574
ACH-000266,-0.898106643222
ACH-000272,-1.3646909011500001
ACH-000273,-1.01472142884
ACH-000274,-1.06507163718
ACH-000277,-0.786607464237
ACH-000278,-0.7495369201309999
ACH-000279,-0.7761801314419999
ACH-000280,-0.83730479006
ACH-000281,-0.901359892591
ACH-000288,-1.1801777147499999
ACH-000291,-1.22902298671
ACH-000293,-0.77453023088
ACH-000294,-0.738758437561
ACH-000295,-0.667613238191
ACH-000296,-0.963714066305
ACH-000302,-1.12051474646
ACH-000304,-1.29364556515
ACH-000307,-0.809493995259
ACH-000308,-0.9962125798129999
ACH-000310,-0.8112170582179999
ACH-000311,-1.0686125625299998
ACH-000312,-0.837593738056
ACH-000315,-1.1769521974700001
ACH-000316,-1.22573889533
ACH-000317,-0.947539687425
ACH-000318,-0.8243509533600001
ACH-000319,-1.24778265545
ACH-000320,-0.758000187727
ACH-000322,-0.693015470924
ACH-000323,-0.7423182879729999
ACH-000324,-1.1047892145
ACH-000329,-0.576438427703
ACH-000330,-1.10673231769
ACH-000331,-0.612317105909
ACH-000332,-1.1209481023299999
ACH-000334,-0.995695417177
ACH-000335,-0.954929704456
ACH-000336,-0.9992823445260001
ACH-000337,-0.7990019495540001
ACH-000339,-0.815361271329
ACH-000341,-1.16830708484
ACH-000348,-0.641849328494
ACH-000350,-1.1333298435799999
ACH-000352,-0.7800688016060001
ACH-000356,-1.0081647931
ACH-000361,-1.04986835171
ACH-000362,-1.11937994563
ACH-000363,-1.31275128817
ACH-000364,-0.614576962853
ACH-000365,-0.989418361958
ACH-000366,-0.810995060641
ACH-000368,-0.642253652872
ACH-000374,-0.970059967906
ACH-000375,-0.8309093103120001
ACH-000376,-0.49636995171400006
ACH-000381,-1.31425062047
ACH-000383,-0.794725510654
ACH-000387,-1.33140945048
ACH-000389,-0.5772238997300001
ACH-000390,-0.882730906341
ACH-000393,-1.29648564994
ACH-000395,-0.96307766813
ACH-000397,-1.1462827360899999
ACH-000401,-0.812267095338
ACH-000402,-0.670810812729
ACH-000403,-1.09205874121
ACH-000404,-0.849179404974
ACH-000406,-1.06282971817
ACH-000407,-0.830404552613
ACH-000408,-0.862112228375
ACH-000410,-0.879656366656
ACH-000411,-1.1013022999200002
ACH-000414,-0.8886860804610001
ACH-000415,-0.5767351246360001
ACH-000416,-0.723295597978
ACH-000420,-0.752189505548
ACH-000421,-1.0512453098799999
ACH-000424,-1.036345115
ACH-000425,-0.996656831742
ACH-000426,-1.64817037114
ACH-000427,-0.929332348829
ACH-000433,-0.788672003595
ACH-000436,-0.815839187492
ACH-000444,-0.73278625986
ACH-000445,-0.8718088051
ACH-000448,-0.929149386291
ACH-000450,-0.623751366639
ACH-000452,-0.6421032887129999
ACH-000454,-0.7175745016439999
ACH-000458,-0.762884991804
ACH-000459,-0.865429117739
ACH-000460,-0.837719903205
ACH-000461,-0.836769181725
ACH-000463,-0.821340913698
ACH-000464,-0.631483795861
ACH-000466,-1.10903692927
ACH-000467,-1.2323644582200002
ACH-000468,-1.11945929263
ACH-000469,-0.941231384604
ACH-000470,-1.13879000686
ACH-000471,-0.885778740111
ACH-000472,-1.4239752503
ACH-000473,-0.708933714802
ACH-000475,-1.3572852077500002
ACH-000476,-1.4321413655700002
ACH-000477,-0.34103180388099996
ACH-000480,-0.9799394192190001
ACH-000481,-0.711090847944
ACH-000483,-0.996333241205
ACH-000484,-1.24798997219
ACH-000485,-0.9515636828849999
ACH-000486,-0.822844608328
ACH-000487,-0.946096862747
ACH-000488,-1.01600816937
ACH-000490,-0.794785938699
ACH-000491,-0.664703991696
ACH-000495,-1.16919285701
ACH-000496,-0.729666003808
ACH-000499,-0.986861792749
ACH-000500,-1.2078095064
ACH-000502,-0.6662236797600001
ACH-000503,-0.533379885659
ACH-000505,-0.6646099819479999
ACH-000507,-0.779215842904
ACH-000510,-0.833220200753
ACH-000511,-0.913955970044
ACH-000512,-1.1786368707
ACH-000516,-0.935457326423
ACH-000517,-0.855792358319
ACH-000518,-1.08852242501
ACH-000520,-1.05290795418
ACH-000521,-1.07240337773
ACH-000522,-1.0205210777200002
ACH-000524,-0.645284270242
ACH-000527,-0.954897953912
ACH-000528,-1.0079369087299999
ACH-000537,-0.85195553243
ACH-000541,-0.759703136968
ACH-000542,-0.869967394683
ACH-000544,-0.66253924948
ACH-000545,-0.750819390083
ACH-000547,-1.05320119276
ACH-000548,-0.856962937399
ACH-000549,-0.7618802606039999
ACH-000550,-0.8829172303299999
ACH-000552,-0.916596450602
ACH-000556,-1.25355389358
ACH-000557,-0.9324853476999999
ACH-000570,-1.02019181463
ACH-000571,-1.8091408853400002
ACH-000573,-0.637054896625
ACH-000576,-0.830457402004
ACH-000580,-0.557332011449
ACH-000584,-1.0408010872600002
ACH-000585,-0.7372556426469999
ACH-000588,-0.950733722305
ACH-000589,-0.631034887952
ACH-000591,-1.04213146887
ACH-000593,-1.06679478584
ACH-000600,-0.698612348451
ACH-000601,-1.23494190327
ACH-000604,-0.661339532854
ACH-000605,-0.5604900901259999
ACH-000606,-0.8987008246160001
ACH-000608,-1.1793034522799999
ACH-000614,-0.7742697292499999
ACH-000616,-0.778904674726
ACH-000618,-0.909060111478
ACH-000619,-0.7954289724320001
ACH-000620,-0.9097473088339999
ACH-000621,-0.799894752525
ACH-000622,-0.746466228919
ACH-000623,-0.942864853834
ACH-000624,-0.76785413279
ACH-000627,-0.935518611365
ACH-000630,-0.997876712675
ACH-000632,-1.3413736249
ACH-000633,-0.895339775034
ACH-000637,-0.7646629335549999
ACH-000638,-1.06971693785
ACH-000646,-0.439071046631
ACH-000647,-0.977058513951
ACH-000648,-0.732747461399
ACH-000649,-0.9858054560609999
ACH-000651,-0.6930764636329999
ACH-000652,-0.9816609016410001
ACH-000653,-1.03278143263
ACH-000657,-0.868581827095
ACH-000658,-1.34181333891
ACH-000661,-0.39554579671499995
ACH-000662,-1.4004559649700001
ACH-000663,-0.882834507491
ACH-000665,-1.36812164261
ACH-000671,-1.04819938619
ACH-000673,-0.863140058999
ACH-000676,-1.26279699782
ACH-000677,-0.497951765743
ACH-000681,-1.0665404487299999
ACH-000682,-0.814044613065
ACH-000683,-0.865075085658
ACH-000684,-0.9393138086299999
ACH-000688,-0.894955970174
ACH-000693,-0.6015813201829999
ACH-000694,-0.7939820588869999
ACH-000695,-0.987810358133
ACH-000696,-0.72415828261
ACH-000697,-1.13010205279
ACH-000699,-0.649278159519
ACH-000701,-0.882935571908
ACH-000706,-0.76231964988
ACH-000711,-1.1370839428100001
ACH-000713,-0.703733314553
ACH-000714,-0.753579757419
ACH-000718,-1.17389146487
ACH-000720,-0.6456840654379999
ACH-000721,-0.929143403201
ACH-000724,-0.826938929337
ACH-000725,-0.948935751664
ACH-000732,-0.705027317488
ACH-000734,-0.738552801523
ACH-000735,-0.714633548413
ACH-000736,-0.771934124469
ACH-000738,-1.02823321204
ACH-000746,-1.38376802195
ACH-000747,-0.8309363734649999
ACH-000748,-0.6826409293440001
ACH-000753,-0.613409383433
ACH-000756,-1.1111495660500001
ACH-000757,-0.8132643303880001
ACH-000758,-0.952279735977
ACH-000760,-0.806340528435
ACH-000763,-0.8459730656919999
ACH-000764,-0.82510428447
ACH-000765,-0.675710021125
ACH-000766,-0.817722336339
ACH-000767,-0.9767865131569999
ACH-000768,-0.931642348199
ACH-000769,-1.12898913686
ACH-000770,-0.7885813746629999
ACH-000771,-0.936236281726
ACH-000773,-0.720396216012
ACH-000776,-1.0202093998700001
ACH-000777,-1.06268078271
ACH-000778,-1.41235812611
ACH-000781,-1.22506205596
ACH-000782,-0.76080307081
ACH-000783,-1.19606455296
ACH-000784,-0.925964404575
ACH-000785,-0.599280210877
ACH-000787,-1.10089482091
ACH-000788,-1.1486277390100001
ACH-000791,-0.809687440998
ACH-000792,-1.185713019
ACH-000794,-1.02740706817
ACH-000796,-1.3672259299
ACH-000799,-1.04929406918
ACH-000800,-1.05724327729
ACH-000802,-0.981286903017
ACH-000804,-1.27879606486
ACH-000805,-0.6772176420270001
ACH-000809,-0.79574770454
ACH-000810,-0.653388690055
ACH-000811,-0.742048824917
ACH-000817,-0.8219287862029999
ACH-000819,-0.788013831398
ACH-000820,-0.669682173591
ACH-000821,-0.666501562541
ACH-000822,-1.27092211302
ACH-000823,-0.772972597265
ACH-000824,-0.963678328408
ACH-000827,-0.7142728665989999
ACH-000829,-0.650928627963
ACH-000831,-0.856739606202
ACH-000832,-1.02236286437
ACH-000833,-0.7717713196089999
ACH-000834,-0.8014784264
ACH-000835,-0.7345952470389999
ACH-000836,-0.842367861562
ACH-000837,-0.806688326269
ACH-000838,-0.6916720255609999
ACH-000839,-1.1138525401600001
ACH-000840,-0.855949355109
ACH-000841,-0.69164669553
ACH-000843,-0.663711322897
ACH-000846,-0.8868135168889999
ACH-000847,-0.612593227354
ACH-000848,-0.664572318486
ACH-000849,-1.05756032433
ACH-000851,-1.00942069176
ACH-000855,-0.731121229718
ACH-000856,-1.2578525148
ACH-000858,-0.5741259477699999
ACH-000859,-1.02132635325
ACH-000861,-0.585795590669
ACH-000862,-0.742394031625
ACH-000865,-1.05658629224
ACH-000866,-0.773796997222
ACH-000867,-0.903866275826
ACH-000869,-0.60773606793
ACH-000872,-0.871332591718
ACH-000873,-0.931395221694
ACH-000876,-0.805895262278
ACH-000878,-0.5544709835399999
ACH-000880,-1.3704471031299998
ACH-000881,-0.9666029221539999
ACH-000882,-1.15266672251
ACH-000884,-0.482674182381
ACH-000885,-0.9120323144660001
ACH-000887,-1.20875604457
ACH-000888,-0.6947563750970001
ACH-000889,-0.8181549628489999
ACH-000890,-1.0199863770200002
ACH-000896,-1.06713318171
ACH-000898,-0.656709394191
ACH-000900,-0.763433563482
ACH-000901,-0.959341653215
ACH-000905,-0.7917420104590001
ACH-000906,-0.959345742828
ACH-000907,-0.71401910096
ACH-000910,-1.13075430009
ACH-000911,-0.7489965634460001
ACH-000912,-1.08738582388
ACH-000913,-0.9019936231899999
ACH-000915,-0.366412469247
ACH-000916,-1.04790045566
ACH-000917,-1.0244963309200001
ACH-000921,-0.83936285352
ACH-000924,-0.7690959905399999
ACH-000926,-1.3554959398100002
ACH-000928,-0.941153221001
ACH-000929,-0.5518760526609999
ACH-000932,-0.803528115873
ACH-000935,-1.07276611903
ACH-000936,-0.679361876959
ACH-000937,-0.9092182564460001
ACH-000938,-1.1058042804700001
ACH-000939,-1.05667919069
ACH-000941,-1.36916591063
ACH-000943,-0.69974331372
ACH-000946,-0.902506979461
ACH-000947,-0.8699395652140001
ACH-000948,-0.9797471810680001
ACH-000950,-0.7968421260140001
ACH-000953,-1.22344726201
ACH-000957,-0.9276844871009999
ACH-000958,-1.03420986469
ACH-000960,-1.04439572573
ACH-000963,-1.26802375471
ACH-000968,-0.579956567853
ACH-000969,-0.912173877194
ACH-000973,-0.9851836082250001
ACH-000974,-0.9131407681929999
ACH-000975,-0.9558862586489999
ACH-000976,-1.0183182592
ACH-000978,-0.556952415324
ACH-000980,-0.854206090554
ACH-000984,-1.12019000171
ACH-000986,-1.19035674702
ACH-000988,-0.7187529871930001
ACH-000993,-0.5663474590209999
ACH-000994,-0.669510881383
ACH-000996,-0.572883026505
ACH-001001,-1.2214312921400001
ACH-001020,-0.730024679514
ACH-001028,-1.2173166574
ACH-001031,-0.591536581192
ACH-001038,-0.9289421436409999
ACH-001048,-1.04400996775
ACH-001050,-1.4068315686300001
ACH-001053,-1.01395117093
ACH-001054,-0.9315440329610001
ACH-001061,-0.884749324234
ACH-001067,-0.95303129207
ACH-001075,-0.559237657085
ACH-001096,-0.8052650637100001
ACH-001128,-1.16638293092
ACH-001134,-1.04883478594
ACH-001151,-1.13146507717
ACH-001163,-0.9457986976330001
ACH-001164,-1.32736226476
ACH-001173,-0.717667305427
ACH-001183,-1.0755649800799998
ACH-001184,-0.9292184119879999
ACH-001190,-1.24686474622
ACH-001192,-0.440732440493
ACH-001193,-0.979195270632
ACH-001196,-1.16746304707
ACH-001197,-1.00153258151
ACH-001205,-0.639473124097
