,DepMap_ID
5794,ACH-000018
23538,ACH-000065
40374,ACH-000124
41145,ACH-000127
70909,ACH-000233
83667,ACH-000272
85305,ACH-000278
118226,ACH-000371
134519,ACH-000414
144178,ACH-000438
155054,ACH-000466
172396,ACH-000510
190705,ACH-000554
240664,ACH-000660
266589,ACH-000707
274332,ACH-000723
290589,ACH-000753
302557,ACH-000773
330315,ACH-000786
330316,ACH-000786
330317,ACH-000786
330318,ACH-000786
330319,ACH-000786
330320,ACH-000786
330321,ACH-000786
330322,ACH-000786
330323,ACH-000786
330324,ACH-000786
354912,ACH-000795
359092,ACH-000801
359093,ACH-000801
370386,ACH-000815
381254,ACH-000829
387197,ACH-000838
410878,ACH-000866
498960,ACH-000930
498961,ACH-000930
516853,ACH-000938
530865,ACH-000943
638523,ACH-000976
641751,ACH-000977
648489,ACH-000978
648490,ACH-000978
714383,ACH-000989
735589,ACH-000991
735590,ACH-000991
735591,ACH-000991
735592,ACH-000991
775205,ACH-000992
775206,ACH-000992
775207,ACH-000992
878786,ACH-000999
905321,ACH-001067
913216,ACH-001081
920811,ACH-001106
946147,ACH-001199
983658,ACH-001369
1013610,ACH-001517
1058555,ACH-001650
1075542,ACH-001820
1141279,ACH-002220
1154994,ACH-002238
1157768,ACH-002242
1160732,ACH-002252
1181703,ACH-002277
