,ATP6V1D (51382)
ACH-000004,-0.768265077189
ACH-000007,-0.7074107560899999
ACH-000009,-0.8280429838009999
ACH-000011,-0.7872331714190001
ACH-000012,-1.00999007653
ACH-000013,-0.521320503696
ACH-000014,-0.6888113209919999
ACH-000015,-0.518243052914
ACH-000017,-0.8348613496899999
ACH-000018,-0.665095829359
ACH-000019,-0.788492149196
ACH-000021,-0.815203471109
ACH-000022,-0.619102606413
ACH-000025,-0.858620486309
ACH-000028,-0.786140578059
ACH-000030,-0.938980968095
ACH-000035,-0.7878563633650001
ACH-000036,-0.9740211777269999
ACH-000037,-0.7455309966949999
ACH-000039,-0.913185001275
ACH-000040,-0.639590050796
ACH-000041,-0.7930209054039999
ACH-000042,-0.8811529615279999
ACH-000045,-0.785154085572
ACH-000047,-0.738156255969
ACH-000052,-0.773815017954
ACH-000053,-0.8856924642389999
ACH-000054,-0.892483435212
ACH-000055,-0.55091916358
ACH-000060,-1.04148862814
ACH-000067,-0.7435441965299999
ACH-000070,-0.8793821384899999
ACH-000075,-0.49211525338699996
ACH-000078,-0.9020507076350001
ACH-000082,-0.6086377709499999
ACH-000085,-0.84039090809
ACH-000086,-0.965468872897
ACH-000087,-0.849902245389
ACH-000092,-1.00025273402
ACH-000095,-0.7202878360930001
ACH-000097,-0.553019949013
ACH-000098,-0.796410271588
ACH-000099,-0.5118049623950001
ACH-000108,-0.810194320784
ACH-000113,-0.782300565032
ACH-000115,-0.517281308703
ACH-000116,-0.791714515107
ACH-000118,-0.857827749207
ACH-000120,-0.751736533003
ACH-000123,-0.9868252963799999
ACH-000127,-0.857124531896
ACH-000128,-0.7251537838079999
ACH-000132,-0.73026993257
ACH-000133,-0.793428915377
ACH-000137,-0.488449751733
ACH-000138,-0.7778722736049999
ACH-000142,-0.865809523136
ACH-000143,-0.655035445852
ACH-000146,-1.00704582
ACH-000148,-0.673564023313
ACH-000150,-0.476745325626
ACH-000152,-0.6695909048390001
ACH-000153,-1.1786780053700001
ACH-000159,-0.974273465554
ACH-000160,-0.682043288615
ACH-000163,-0.6932435386679999
ACH-000167,-1.35897004419
ACH-000168,-0.577683106509
ACH-000169,-1.0751259517799998
ACH-000178,-0.9694826147519999
ACH-000182,-0.619022845353
ACH-000183,-0.789814694586
ACH-000188,-1.0269398527299998
ACH-000189,-0.773337449335
ACH-000190,-0.7852340725820001
ACH-000198,-0.6245225116049999
ACH-000204,-1.2977264312799999
ACH-000206,-0.456544274867
ACH-000207,-0.931856216539
ACH-000211,-0.702903733061
ACH-000215,-0.796512997174
ACH-000221,-0.444804262414
ACH-000222,-1.13357966845
ACH-000223,-0.914629117237
ACH-000226,-0.763915984863
ACH-000227,-0.592464756571
ACH-000228,-0.948212339508
ACH-000231,-0.78454966104
ACH-000232,-0.790121891143
ACH-000233,-0.57288904323
ACH-000234,-1.07973479894
ACH-000235,-0.727485013106
ACH-000237,-0.577914089144
ACH-000238,-0.614614704583
ACH-000243,-0.969338330394
ACH-000244,-0.7156889532009999
ACH-000246,-0.864972227964
ACH-000248,-0.661716165601
ACH-000250,-0.946706028686
ACH-000251,-0.741170414517
ACH-000253,-0.797258252762
ACH-000255,-0.902607781904
ACH-000256,-0.996265188379
ACH-000257,-0.48716987789300004
ACH-000258,-0.82995698427
ACH-000259,-0.818227435239
ACH-000260,-0.733070873815
ACH-000261,-0.993004248457
ACH-000262,-1.02334243055
ACH-000263,-0.8171864882369999
ACH-000264,-0.851548104392
ACH-000265,-0.6759802299140001
ACH-000266,-0.7676570459350001
ACH-000272,-1.01203929477
ACH-000273,-0.717999618371
ACH-000274,-0.339002871001
ACH-000277,-0.796262049461
ACH-000278,-1.3684388445700002
ACH-000279,-0.782913863848
ACH-000280,-0.757340633626
ACH-000281,-0.766981615565
ACH-000288,-0.9700639418189999
ACH-000291,-0.505230847451
ACH-000293,-0.649867418473
ACH-000294,-0.720489824471
ACH-000295,-0.890343987186
ACH-000296,-0.549559003804
ACH-000302,-0.39582165329700003
ACH-000304,-1.02281167542
ACH-000307,-0.936139497923
ACH-000308,-0.827392408183
ACH-000310,-1.01741950387
ACH-000311,-0.8778026708359999
ACH-000312,-0.8775007488259999
ACH-000315,-0.577244667286
ACH-000316,-0.596193867552
ACH-000317,-1.1113813547600002
ACH-000318,-0.902911431875
ACH-000319,-0.704744702502
ACH-000320,-1.18324594636
ACH-000322,-1.03074919709
ACH-000323,-0.06499924834
ACH-000324,-0.731496304049
ACH-000329,-0.616658796624
ACH-000330,-0.74705642682
ACH-000331,-0.878764655511
ACH-000332,-0.7034400416809999
ACH-000334,-0.525053145869
ACH-000335,-0.281742344536
ACH-000336,-0.45470967635799997
ACH-000337,-0.641441040836
ACH-000339,-0.6754754054979999
ACH-000341,-0.561513791481
ACH-000348,-0.745545339359
ACH-000350,-0.384438388751
ACH-000352,-0.5401531007989999
ACH-000356,-0.812847395103
ACH-000361,-0.8977263261990001
ACH-000362,-0.812468909096
ACH-000363,-1.0871874062
ACH-000364,-0.729428976186
ACH-000365,-0.534799200728
ACH-000366,-0.665469368858
ACH-000368,-0.8868778089920001
ACH-000374,-1.20944684806
ACH-000375,-0.717910730614
ACH-000376,-0.8113925813959999
ACH-000381,-0.7799718095479999
ACH-000383,-0.983274317509
ACH-000387,-0.652068041109
ACH-000389,-0.7101788740449999
ACH-000390,-0.876536257305
ACH-000393,-1.0174249444399999
ACH-000395,-0.7157719172560001
ACH-000397,-0.932030659432
ACH-000401,-0.665028756819
ACH-000402,-0.886135041021
ACH-000403,-1.26112955635
ACH-000404,-0.70189279066
ACH-000406,-0.722482606634
ACH-000407,-0.925223856692
ACH-000408,-0.587503081056
ACH-000410,-0.627328270769
ACH-000411,-0.664968864833
ACH-000414,-0.9647161071670001
ACH-000415,-0.7486397218529999
ACH-000416,-0.906499301497
ACH-000420,-0.619456313255
ACH-000421,-0.701509141952
ACH-000424,-1.0283003341899999
ACH-000425,-0.636388674492
ACH-000426,-0.712310775502
ACH-000427,-0.7773898008329999
ACH-000433,-0.9613150515309999
ACH-000436,-0.663771478482
ACH-000444,-0.967587122588
ACH-000445,-0.64916272677
ACH-000448,-0.620788228227
ACH-000450,-0.459455943279
ACH-000452,-0.638428754094
ACH-000454,-1.02887567424
ACH-000458,-0.445811298982
ACH-000459,-0.650468184393
ACH-000460,-0.930595800842
ACH-000461,-0.746235770988
ACH-000463,-0.556970265256
ACH-000464,-0.5842541158250001
ACH-000466,-0.821324620306
ACH-000467,-0.955206605683
ACH-000468,-0.574227551139
ACH-000469,-0.800172574911
ACH-000470,-0.460622416796
ACH-000471,-0.489787477883
ACH-000472,-0.7590999630449999
ACH-000473,-0.652693771721
ACH-000475,-1.06759560616
ACH-000476,-1.0190825638
ACH-000477,-0.703617664901
ACH-000480,-0.952006899737
ACH-000481,-0.771069155352
ACH-000483,-0.536887703886
ACH-000484,-0.7734004170659999
ACH-000485,-0.724240190282
ACH-000486,-0.8550287728720001
ACH-000487,-0.742901584314
ACH-000488,-0.592234550572
ACH-000490,-0.652867295613
ACH-000491,-0.289823361805
ACH-000495,-1.14831074095
ACH-000496,-0.7783597432430001
ACH-000499,-0.654652780525
ACH-000500,-1.18179168036
ACH-000502,-1.01686116838
ACH-000503,-0.9444893123
ACH-000505,-0.554837830706
ACH-000507,-0.891877547064
ACH-000510,-0.674088757625
ACH-000511,-0.9139952616060001
ACH-000512,-0.758217001939
ACH-000516,-0.902336201306
ACH-000517,-0.830577803072
ACH-000518,-0.8575680022040001
ACH-000520,-1.1670038477200002
ACH-000521,-0.7797066152869999
ACH-000522,-0.8388541100620001
ACH-000524,-1.1929336444299998
ACH-000527,-0.6661057886389999
ACH-000528,-0.738724002254
ACH-000537,-0.6944745811399999
ACH-000541,-1.0350153691
ACH-000542,-0.908533374555
ACH-000544,-0.795678555193
ACH-000545,-0.769760366077
ACH-000547,-0.4733278446
ACH-000548,-1.00966656231
ACH-000549,-0.858647555352
ACH-000550,-0.7397605476610001
ACH-000552,-1.09444725926
ACH-000556,-0.8204063252220001
ACH-000557,-0.783928114243
ACH-000570,-1.0708934909299999
ACH-000571,-1.1604146069399999
ACH-000573,-0.632759229739
ACH-000576,-0.963036401337
ACH-000580,-0.541803840979
ACH-000584,-0.721450456709
ACH-000585,-0.65215541826
ACH-000588,-0.589167033043
ACH-000589,-0.7306348800110001
ACH-000591,-0.92005183717
ACH-000593,-0.8432353587800001
ACH-000600,-0.79693295949
ACH-000601,-0.697663387791
ACH-000604,-0.475057780937
ACH-000605,-0.492170971303
ACH-000606,-0.782651464605
ACH-000608,-1.21319615717
ACH-000614,-0.795160974928
ACH-000616,-0.804772788867
ACH-000618,-0.9693948035169999
ACH-000619,-0.971559131606
ACH-000620,-0.822467739744
ACH-000621,-0.983453441964
ACH-000622,-0.9061562029870001
ACH-000623,-0.883509290713
ACH-000624,-0.915531058066
ACH-000627,-0.442685187975
ACH-000630,-0.90643537207
ACH-000632,-0.650537708643
ACH-000633,-0.9513137078659999
ACH-000637,-0.24272346939
ACH-000638,-0.925675825467
ACH-000646,-0.915166418229
ACH-000647,-0.6991602429680001
ACH-000648,-0.865066078679
ACH-000649,-1.08190318896
ACH-000651,-0.505021321847
ACH-000652,-0.8938694983930001
ACH-000653,-0.8803004847820001
ACH-000657,-0.653882941835
ACH-000658,-1.28612115755
ACH-000661,-0.690997776655
ACH-000662,-0.490067187855
ACH-000663,-0.875411422593
ACH-000665,-0.998082494313
ACH-000671,-0.544229648908
ACH-000673,-0.810477213959
ACH-000676,-0.533862449156
ACH-000677,-0.208658459071
ACH-000681,-0.8269361543889999
ACH-000682,-0.7302503725749999
ACH-000683,-0.779861923403
ACH-000684,-1.09014392856
ACH-000688,-1.018345799
ACH-000693,-0.46176018322800005
ACH-000694,-0.593205033078
ACH-000695,-0.7777219932709999
ACH-000696,-0.7784060150100001
ACH-000697,-0.882720826175
ACH-000699,-0.9071755665200001
ACH-000701,-0.387079530005
ACH-000706,-0.811856288626
ACH-000711,-1.1078088013299998
ACH-000713,-0.639256024969
ACH-000714,-0.5810925445530001
ACH-000718,-0.848999628583
ACH-000720,-0.6253001307720001
