,DepMap_ID
20422,ACH-000063
76658,ACH-000251
108011,ACH-000344
113118,ACH-000356
141215,ACH-000430
146106,ACH-000443
183328,ACH-000537
212286,ACH-000602
220218,ACH-000619
221324,ACH-000621
269569,ACH-000714
273894,ACH-000722
274833,ACH-000724
299716,ACH-000768
302037,ACH-000772
396831,ACH-000849
396832,ACH-000849
407907,ACH-000863
447759,ACH-000898
459756,ACH-000909
471604,ACH-000916
496628,ACH-000929
513615,ACH-000937
525530,ACH-000941
539246,ACH-000946
550099,ACH-000950
576119,ACH-000958
614011,ACH-000969
614012,ACH-000969
629646,ACH-000973
629647,ACH-000973
642310,ACH-000977
685841,ACH-000985
726418,ACH-000990
839328,ACH-000996
860790,ACH-000998
881616,ACH-000999
928438,ACH-001127
1017983,ACH-001522
1122935,ACH-002174
1125891,ACH-002178
1131185,ACH-002192
1133351,ACH-002197
1134518,ACH-002199
1167930,ACH-002256
1167931,ACH-002256
1189177,ACH-002289
1215388,ACH-002368
