,BCL7C (9274)
ACH-000004,0.0568566386708
ACH-000007,-0.163905445223
ACH-000009,0.12339245074
ACH-000011,0.25676670374899996
ACH-000012,0.044894871962
ACH-000013,-0.20917914530200002
ACH-000014,0.059108788154999994
ACH-000015,-0.057848438854400004
ACH-000017,-0.143234643507
ACH-000018,-0.139506008755
ACH-000019,-0.250354492053
ACH-000021,-0.136305935095
ACH-000022,0.0326451922842
ACH-000025,-0.0492146510191
ACH-000028,0.271829236474
ACH-000030,0.120034781035
ACH-000035,0.0341592062701
ACH-000036,-0.0269264664483
ACH-000037,0.22186189908300002
ACH-000039,-0.18913055950899998
ACH-000040,0.044894302170599996
ACH-000041,0.0812724620055
ACH-000042,0.11079539925000001
ACH-000045,-0.0493176537617
ACH-000047,-0.0478305008719
ACH-000052,-0.016750580453700002
ACH-000053,-0.205598999478
ACH-000054,0.127984896609
ACH-000055,-0.26685294975400004
ACH-000060,0.132674032656
ACH-000067,-0.038156907872599996
ACH-000070,0.13817515893100002
ACH-000075,0.0915630072717
ACH-000078,0.051692050842199994
ACH-000082,-0.039728157900800004
ACH-000085,-0.12928290827400002
ACH-000086,0.125360248343
ACH-000087,-0.21924313239
ACH-000092,-0.13220429746600001
ACH-000095,-0.00694015009852
ACH-000097,-0.0020585332794
ACH-000098,-0.213388657238
ACH-000099,0.06776508780280001
ACH-000108,0.148333282596
ACH-000113,0.04902255310869999
ACH-000115,-0.266001033039
ACH-000116,-0.01222674739
ACH-000118,-0.11483979629100001
ACH-000120,-0.160692086231
ACH-000123,0.049527046585800004
ACH-000127,-0.152188047081
ACH-000128,-0.11150209777799999
ACH-000132,-0.12934665424300001
ACH-000133,0.017821463204
ACH-000137,-0.015580753216600001
ACH-000138,0.126769218783
ACH-000142,-0.028023232014900003
ACH-000143,-0.0180097795684
ACH-000146,-0.13546583537999998
ACH-000148,-0.0431175415663
ACH-000150,-0.156029792741
ACH-000152,-0.111735763304
ACH-000153,-0.208110797186
ACH-000159,-0.0773086559271
ACH-000160,0.0802757589441
ACH-000163,-0.0675672055026
ACH-000167,-0.269488622478
ACH-000168,-0.30331353521
ACH-000169,0.00141421390766
ACH-000178,-0.0027173367111
ACH-000182,0.110681700823
ACH-000183,0.115193752909
ACH-000188,0.122713279337
ACH-000189,0.07223286783289999
ACH-000190,0.156529010814
ACH-000198,0.011431597494
ACH-000204,-0.0865943031772
ACH-000206,-0.008177819834149998
ACH-000207,0.0276131703503
ACH-000211,0.026193510186900002
ACH-000215,-0.05469932854119999
ACH-000221,-0.102889321252
ACH-000222,0.09670264391180002
ACH-000223,0.013998099419100001
ACH-000226,-0.14863023919999999
ACH-000227,0.13034969186200002
ACH-000228,-0.113353371756
ACH-000231,0.06978665543330001
ACH-000232,0.0641915002439
ACH-000233,-0.241563695927
ACH-000234,0.0455607146302
ACH-000235,0.000509436175476
ACH-000237,0.007958155100840001
ACH-000238,0.18859353975499998
ACH-000243,-0.10514492573899999
ACH-000244,-0.211066171793
ACH-000246,0.102940763511
ACH-000248,0.145886461421
ACH-000250,-0.0518430757431
ACH-000251,-0.0640248251553
ACH-000253,-0.004441384664149999
ACH-000255,0.0119605509695
ACH-000256,0.14779348357799998
ACH-000257,0.249045765403
ACH-000258,0.14067035371099998
ACH-000259,-0.00041814826653300007
ACH-000260,-0.0440893035578
ACH-000261,-0.0197689829049
ACH-000262,0.061371205786499995
ACH-000263,-0.0527680425496
ACH-000264,0.0181570081792
ACH-000265,-0.0324469510136
ACH-000266,0.0245063785103
ACH-000272,0.0207607437361
ACH-000273,0.0288554846496
ACH-000274,0.0138430006281
ACH-000277,0.00686750186838
ACH-000278,0.0017998174775199999
ACH-000279,-0.024069291082599996
ACH-000280,-0.21526887074999998
ACH-000281,0.103829908019
ACH-000288,-0.128233979055
ACH-000291,-0.016239439409000002
ACH-000293,0.0966644253871
ACH-000294,0.11365096419500001
ACH-000295,0.022436206966599998
ACH-000296,-0.10420131853499999
ACH-000302,-0.061924320238800006
ACH-000304,0.121881513538
ACH-000307,0.046103158970999994
ACH-000308,-0.050121973043099996
ACH-000310,-0.055897734342
ACH-000311,-0.188074696991
ACH-000312,-0.0417810122315
ACH-000315,-0.11294694157299999
ACH-000316,-0.167941834165
ACH-000317,-0.184739093878
ACH-000318,0.170859804153
ACH-000319,-0.17554407562899998
ACH-000320,-0.0774131282978
ACH-000322,-0.1743907939
ACH-000323,-0.114761073907
ACH-000324,0.0339965873621
ACH-000329,0.12209411894200001
ACH-000330,-0.08903344140910001
ACH-000331,-0.0231098800134
ACH-000332,-0.11592835541200001
ACH-000334,-0.19856562243200002
ACH-000335,0.139732914081
ACH-000336,0.0460756554485
ACH-000337,0.014363136315600001
ACH-000339,-0.072714834834
ACH-000341,0.137740618032
ACH-000348,-0.10166559862400001
ACH-000350,-0.0132653049534
ACH-000352,0.0449472575323
ACH-000356,0.0142158335482
ACH-000361,0.042553177709
ACH-000362,0.08395272309589999
ACH-000363,0.121151682819
ACH-000364,0.0163568971799
ACH-000365,0.09083942388560001
ACH-000366,-0.0568686470201
ACH-000368,-0.0701637991325
ACH-000374,-0.101927423775
ACH-000375,0.0273563619962
ACH-000376,0.0437892125184
ACH-000381,-0.05624155602059999
ACH-000383,0.153113163215
ACH-000387,0.0725175961856
ACH-000389,-0.060663367948199994
ACH-000390,0.0565855624375
ACH-000393,0.14462593665100001
ACH-000395,0.11399646470699999
ACH-000397,-0.10868789446299999
ACH-000401,0.14651555198799998
ACH-000402,0.06489766801590001
ACH-000403,0.163380032215
ACH-000404,-0.0832537262014
ACH-000406,-0.0770285847441
ACH-000407,-0.0623624397056
ACH-000408,-0.171367474335
ACH-000410,0.112616360133
ACH-000411,-0.144180371835
ACH-000414,-0.00369999882789
ACH-000415,-0.10141114219000001
ACH-000416,0.0485457468049
ACH-000420,-0.135143198448
ACH-000421,0.007929289179100001
ACH-000424,-0.112585432893
ACH-000425,-0.136653796321
ACH-000426,0.07685620700069999
ACH-000427,0.028455803229400004
ACH-000433,-0.0845977140145
ACH-000436,-0.004127089754760001
ACH-000444,-0.0216925709666
ACH-000445,-0.0423707837261
ACH-000448,-0.051877708568
ACH-000450,0.17427477310400002
ACH-000452,-0.132353593007
ACH-000454,-0.263604363595
ACH-000458,-0.054639366697
ACH-000459,-0.0745264172111
ACH-000460,-0.0111312802492
ACH-000461,-0.10407401491900001
ACH-000463,-0.152056788372
ACH-000464,0.0412368090518
ACH-000466,0.09564110272260001
ACH-000467,-0.015209515151500002
ACH-000468,-0.155165299209
ACH-000469,-0.00172455966736
ACH-000470,0.307120943706
ACH-000471,-0.0783862385338
ACH-000472,-0.14953255043299998
ACH-000473,0.0561122200937
ACH-000475,-0.0456364180205
ACH-000476,-0.123605693583
ACH-000477,-0.054414357271
ACH-000480,0.0116142003953
ACH-000481,-0.057465555775300006
ACH-000483,-0.00790888217524
ACH-000484,0.181135527502
ACH-000485,0.0812664962088
ACH-000486,-0.111712907677
ACH-000487,0.199929777773
ACH-000488,0.133814379944
ACH-000490,0.13646165460999998
ACH-000491,-0.0224484725378
ACH-000495,-0.00240475388349
ACH-000496,-0.244013239936
ACH-000499,-0.50693616956
ACH-000500,0.370406223521
ACH-000502,-0.0644717995816
ACH-000503,-0.0139792728442
ACH-000505,-0.0615781685018
ACH-000507,0.00938352218365
ACH-000510,-0.124612943851
ACH-000511,-0.175483151613
ACH-000512,-0.187195813232
ACH-000516,-0.158339802654
ACH-000517,-0.152042285951
ACH-000518,-0.0456948027434
ACH-000520,-0.275058405529
ACH-000521,-0.16317874247000003
ACH-000522,-0.152518593391
ACH-000524,0.032819556441299996
ACH-000527,-0.06593875672550001
ACH-000528,0.016984354623
ACH-000537,-0.0676265322303
ACH-000541,-0.40368945968000003
ACH-000542,0.005686585118979999
ACH-000544,0.188622463403
ACH-000545,-0.016632382080299997
ACH-000547,-0.0360333070001
ACH-000548,0.030931015456500004
ACH-000549,-0.231294403535
ACH-000550,-0.0820340322051
ACH-000552,0.033325794777099994
ACH-000556,-0.014017894062999999
ACH-000557,0.142789088024
ACH-000570,-0.0378357574701
ACH-000571,-0.07621363821989999
ACH-000573,-0.228180829594
ACH-000576,0.0205224339509
ACH-000580,-0.305288894558
ACH-000584,-0.0134989547308
ACH-000585,-0.0499393078847
ACH-000588,-0.0713931534165
ACH-000589,-0.0941189635103
ACH-000591,0.0397740159844
ACH-000593,-0.22658989346
ACH-000600,-0.00124313269479
ACH-000601,-0.048239990878300006
ACH-000604,0.177482710897
ACH-000605,-0.210587820931
ACH-000606,-0.145970191217
ACH-000608,0.16503541513699999
ACH-000614,0.284235929025
ACH-000616,-0.0025988048057600005
ACH-000618,0.0458254820414
ACH-000619,-0.031082049947900002
ACH-000620,0.0382933095149
ACH-000621,-0.0789901580848
ACH-000622,-0.13519533225299998
ACH-000623,0.0562560491419
ACH-000624,-0.0821464292001
ACH-000627,0.274154503137
ACH-000630,-0.129549174418
ACH-000632,-0.12400879462600001
ACH-000633,0.04350629529069999
ACH-000637,-0.175072547091
ACH-000638,-0.2471165992
ACH-000646,0.175134049967
ACH-000647,0.049611564621099995
ACH-000648,-0.10009307688100001
ACH-000649,-0.05008395883569999
ACH-000651,-0.0166003280002
ACH-000652,0.132296203053
ACH-000653,-0.0573505538384
ACH-000657,0.00695117500445
ACH-000658,-0.0184398126603
ACH-000661,0.0717202132612
ACH-000662,0.176269483088
ACH-000663,-0.224548578472
ACH-000665,-0.0146021889448
ACH-000671,-0.36683220936800004
ACH-000673,-0.132635619573
ACH-000676,-0.00339591757191
ACH-000677,0.0464428617576
ACH-000681,0.0234214220123
ACH-000682,-0.036621101338400006
ACH-000683,-0.10275321885199999
ACH-000684,-0.22762721063900002
ACH-000688,0.072150036978
ACH-000693,0.071705828843
ACH-000694,0.10470869242799999
ACH-000695,-0.0281294847199
ACH-000696,0.09953027545289998
ACH-000697,0.176241063585
ACH-000699,-0.028555695511199998
ACH-000701,-0.0447499743764
ACH-000706,-0.09870504353599999
ACH-000711,-0.0243102962554
ACH-000713,-0.0815656047704
ACH-000714,-0.08548041733419999
ACH-000718,-0.013269286056899999
ACH-000720,0.00136010612158
ACH-000721,-0.0780575159405
ACH-000724,-0.08689275724500001
ACH-000725,-0.18360612480799998
ACH-000732,-0.008231744696300001
ACH-000734,0.038424281312099996
ACH-000735,0.129663093071
ACH-000736,-0.146506291147
ACH-000738,0.0842765863996
ACH-000746,0.21063351013300002
ACH-000747,-0.128006526879
ACH-000748,-0.08096173730610001
ACH-000753,-0.0777611622199
ACH-000756,-0.205325001391
ACH-000757,-0.34456817664800005
ACH-000758,-0.14495642589299998
ACH-000760,-0.0976141521271
ACH-000763,0.06010257022919999
ACH-000764,-0.278963260575
ACH-000765,-0.032702571741599996
ACH-000766,-0.150635169537
ACH-000767,-0.144368251265
ACH-000768,-0.06518798331799999
ACH-000769,0.0762554239977
ACH-000770,-0.039971348615
ACH-000771,-0.114742969554
ACH-000773,-0.18750980965999997
ACH-000776,-0.166131046084
ACH-000777,0.12136014853
ACH-000778,-0.271555671591
ACH-000781,-0.036855636040800006
ACH-000782,-0.0649930171276
ACH-000783,0.10956169603
ACH-000784,-0.0408511654478
ACH-000785,-0.14114686549
ACH-000787,-0.022741454202400004
ACH-000788,-0.0766486136739
ACH-000791,-0.103422786122
ACH-000792,0.22919306995799998
ACH-000794,-0.0817975639693
ACH-000796,0.0619182367441
ACH-000799,-0.019167239469299997
ACH-000800,0.09606519373919999
ACH-000802,-0.005075175635689999
ACH-000804,-0.15071245148700002
ACH-000805,0.12858123306299998
ACH-000809,-0.0687393225572
ACH-000810,-0.058057015334099994
ACH-000811,0.0467635816145
ACH-000817,-0.392857521509
ACH-000819,-0.0958016320243
ACH-000820,-0.21585577063
ACH-000821,-0.105071644858
ACH-000822,-0.013862623263100001
ACH-000823,0.103943386034
ACH-000824,0.149295821686
ACH-000827,-0.11303470935799999
ACH-000829,-0.0550476197116
ACH-000831,0.0710069583158
ACH-000832,-0.00982335352808
ACH-000833,-0.0937283868675
ACH-000834,0.175921203878
ACH-000835,-0.015489786539100001
ACH-000836,-0.130770727453
ACH-000837,0.0338762458922
ACH-000838,-0.0929661009417
ACH-000839,0.040686074900500004
ACH-000840,-0.17151866030699997
ACH-000841,-0.04289351120209999
ACH-000843,0.0721463146494
ACH-000846,-0.117246127787
ACH-000847,0.221444967703
ACH-000848,-0.121834709332
ACH-000849,0.0162535033658
ACH-000851,-0.0153553268663
ACH-000855,-0.0060949404266300005
ACH-000856,0.058151165828499995
ACH-000858,0.09041023767459999
ACH-000859,-0.101787810267
ACH-000861,-0.09155933223760002
ACH-000862,0.0370262936868
ACH-000865,0.0136848060097
ACH-000866,-0.0118031509109
ACH-000867,-0.019255012826200003
ACH-000869,-0.0043147006816199995
ACH-000872,0.0859139562049
ACH-000873,0.048825989363099995
ACH-000876,0.0376973613528
ACH-000878,0.392068583161
ACH-000880,0.167461017321
ACH-000881,0.057227314545099994
ACH-000882,-0.00303147488563
ACH-000884,-0.0503494683727
ACH-000885,0.023087905686200002
ACH-000887,0.0751928114252
ACH-000888,-0.151881894843
ACH-000889,0.016062651842399998
ACH-000890,-0.000290355162983
ACH-000896,-0.24862210986699998
