,BGLAP (632)
ACH-000004,0.043484310801699996
ACH-000007,0.16496412383
ACH-000009,-0.39797563160300004
ACH-000011,0.0607033037854
ACH-000012,-0.230894692105
ACH-000013,-0.234140492758
ACH-000014,0.138172373562
ACH-000015,-0.0487578422606
ACH-000017,-0.204191312495
ACH-000018,-0.400688742314
ACH-000019,-0.030242342014599997
ACH-000021,-0.199081282143
ACH-000022,-0.0601891253766
ACH-000025,-0.17245731940499998
ACH-000028,-0.08717897662039999
ACH-000030,-0.055115968983199995
ACH-000035,-0.0602457051505
ACH-000036,0.0838350807613
ACH-000037,0.0200069489183
ACH-000039,-0.206703513572
ACH-000040,0.0037739856161199997
ACH-000041,0.04215369035080001
ACH-000042,-0.05482454847919999
ACH-000045,-0.177880583471
ACH-000047,-0.04998011612369999
ACH-000052,-0.0362723407705
ACH-000053,-0.047734540567100005
ACH-000054,0.0304334657617
ACH-000055,-0.11544610635
ACH-000060,-0.132933865923
ACH-000067,0.119332387751
ACH-000070,0.10677734612400001
ACH-000075,-0.19410625843899998
ACH-000078,-0.130168466501
ACH-000082,0.0346331023
ACH-000085,-0.319493484631
ACH-000086,-0.371965851091
ACH-000087,-0.0767277510715
ACH-000092,-0.06900042133789999
ACH-000095,0.034023380457200006
ACH-000097,-0.176763038392
ACH-000098,-0.17299757384
ACH-000099,-0.017892266703000002
ACH-000108,-0.11673401203099999
ACH-000113,-0.0306592675979
ACH-000115,-0.09557744382889999
ACH-000116,-0.046950497523
ACH-000118,-0.0384096997025
ACH-000120,-0.044855596570199996
ACH-000123,-0.083926031826
ACH-000127,0.139860662365
ACH-000128,0.0174416037791
ACH-000132,0.0511465286541
ACH-000133,-0.106688734206
ACH-000137,-0.0460281326394
ACH-000138,-0.0890059681514
ACH-000142,-0.17208670238899998
ACH-000143,0.0170337025674
ACH-000146,-0.0577077197358
ACH-000148,-0.0895797401863
ACH-000150,-0.14364852063300002
ACH-000152,-0.0324143211643
ACH-000153,0.0829802479672
ACH-000159,-0.154343282103
ACH-000160,0.122259702842
ACH-000163,-0.31526284557900003
ACH-000167,-0.0756683384476
ACH-000168,-0.029795473721300002
ACH-000169,-0.15131716892799998
ACH-000178,0.006475853395660001
ACH-000182,-0.136685302768
ACH-000183,0.033299233356
ACH-000188,0.0572695898533
ACH-000189,-0.159977805318
ACH-000190,-0.05116200816290001
ACH-000198,-0.0582052600313
ACH-000204,-0.519459377143
ACH-000206,0.166231687779
ACH-000207,-0.348476399951
ACH-000211,-0.0147420738812
ACH-000215,-0.0176002999534
ACH-000221,-0.0499215869117
ACH-000222,-0.149470238743
ACH-000223,0.0164545146675
ACH-000226,-0.0161417954596
ACH-000227,0.16218951981899998
ACH-000228,-0.199680363901
ACH-000231,0.052758508324199996
ACH-000232,-0.046909147626099996
ACH-000233,-0.00542803238201
ACH-000234,0.11654099393799999
ACH-000235,-0.08083357480719999
ACH-000237,-0.0677737206073
ACH-000238,0.10526855033
ACH-000243,-0.0551591068432
ACH-000244,0.07939776782239999
ACH-000246,-0.14754476406
ACH-000248,-0.0941142554573
ACH-000250,-0.210169575251
ACH-000251,0.084284580982
ACH-000253,-0.0960094932003
ACH-000255,-0.10793349968900001
ACH-000256,-0.09323265857730001
ACH-000257,-0.0686060433
ACH-000258,-0.112172818965
ACH-000259,-0.062462577972
ACH-000260,-0.081016055557
ACH-000261,-0.0335368996689
ACH-000262,0.16373235702800001
ACH-000263,0.140698449493
ACH-000264,-0.166190589253
ACH-000265,0.13377363498199998
ACH-000266,-0.0860763597765
ACH-000272,-0.0859388221002
ACH-000273,-0.20733521725200002
ACH-000274,0.08715984139530002
ACH-000277,0.09583666972419999
ACH-000278,-0.131074664783
ACH-000279,-0.0902773223976
ACH-000280,-0.226736813601
ACH-000281,-0.153696388391
ACH-000288,-0.19925445799400002
ACH-000291,-0.000121245621028
ACH-000293,-0.126278062726
ACH-000294,0.0758673824378
ACH-000295,0.19906405212
ACH-000296,0.014928669262299998
ACH-000302,-0.0152493835254
ACH-000304,-0.194749309165
ACH-000307,-0.11987481664300001
ACH-000308,-0.19796909118500003
ACH-000310,-0.073501055079
ACH-000311,-0.161130844491
ACH-000312,-0.0566059501883
ACH-000315,0.12010566025999998
ACH-000316,0.171633810709
ACH-000317,0.00730782857522
ACH-000318,-0.3676302078
ACH-000319,-0.21232122230999997
ACH-000320,-0.10641634794299999
ACH-000322,-0.18584703723
ACH-000323,-0.0548213831045
ACH-000324,0.0431620875672
ACH-000329,-0.161031018912
ACH-000330,-0.131840510149
ACH-000331,-0.0217346980107
ACH-000332,-0.0363898472846
ACH-000334,-0.0975050254098
