,BRK1 (55845)
ACH-000004,-0.378119881955
ACH-000007,-0.667768521082
ACH-000009,-0.8825802401180001
ACH-000011,-0.628905773404
ACH-000012,0.0734517157986
ACH-000013,-0.521000831559
ACH-000014,-0.705254402367
ACH-000015,-0.33438826625100004
ACH-000017,-0.362783679506
ACH-000018,-0.634318063726
ACH-000019,-0.6983323912839999
ACH-000021,-0.23283199040600003
ACH-000022,-0.491507179828
ACH-000025,-0.331642795346
ACH-000028,-0.49991545314499997
ACH-000030,-0.455890207395
ACH-000035,-0.640828174298
ACH-000036,-0.749126716552
ACH-000037,-0.37433525361500003
ACH-000039,-0.509097868959
ACH-000040,-0.5914359325680001
ACH-000041,-0.551873577207
ACH-000042,-0.835044741307
ACH-000045,-0.806911839695
ACH-000047,-0.6257271789050001
ACH-000052,-0.530499688597
ACH-000053,-0.5166643639440001
ACH-000054,-1.10069408658
ACH-000055,-0.413133403873
ACH-000060,-1.00680339283
ACH-000067,-0.737514900387
ACH-000070,-0.245800278417
ACH-000075,-0.35720461746
ACH-000078,-0.431069809775
ACH-000082,-0.38347613398
ACH-000085,-0.538540763531
ACH-000086,-0.228586160797
ACH-000087,-0.756201663081
ACH-000092,-0.541043443123
ACH-000095,-0.543249643207
ACH-000097,-0.5506595283
ACH-000098,-0.724509290563
ACH-000099,-0.623378604533
ACH-000108,-0.898862597074
ACH-000113,-0.711877023532
ACH-000115,-0.669327077092
ACH-000116,-0.379918618808
ACH-000118,-0.829464613204
ACH-000120,-0.817404594509
ACH-000123,-0.44770191608300003
ACH-000127,-0.612427321596
ACH-000128,-0.367120481511
ACH-000132,-0.8396729959810001
ACH-000133,-0.575951926944
ACH-000137,-0.25536818844799997
ACH-000138,-0.689110722591
ACH-000142,-0.9158418595610001
ACH-000143,-0.481049135026
ACH-000146,-0.367779305005
ACH-000148,-0.318087973907
ACH-000150,-0.535407073715
ACH-000152,-0.50932482367
ACH-000153,-0.38279625043300003
ACH-000159,-0.45537841401600004
ACH-000160,-0.509975762198
ACH-000163,-0.899637700821
ACH-000167,-0.884376358955
ACH-000168,-0.579518234489
