,C10orf95 (79946)
ACH-000004,-0.47655456671400004
ACH-000007,0.00824530760321
ACH-000009,-0.46174588669100003
ACH-000011,-0.320498114336
ACH-000012,-0.224415040876
ACH-000013,-0.259925225685
ACH-000014,-0.311313231987
ACH-000015,-0.330384486818
ACH-000017,-0.30985088522599996
ACH-000018,-0.167389975193
ACH-000019,-0.36227768334700006
ACH-000021,-0.182527853352
ACH-000022,-0.264959075212
ACH-000025,-0.262344449855
ACH-000028,-0.193572536077
ACH-000030,-0.290047632314
ACH-000035,-0.167356885724
ACH-000036,-0.178571185432
ACH-000037,-0.46237801001400003
ACH-000039,-0.318069227261
ACH-000040,-0.18334199908399998
ACH-000041,-0.527190272921
ACH-000042,-0.201983592095
ACH-000045,-0.334766405064
ACH-000047,-0.24430053673399998
ACH-000052,-0.26765333932700003
ACH-000053,-0.28622471832199997
ACH-000054,-0.345081413603
ACH-000055,-0.198797844721
ACH-000060,-0.557897238951
ACH-000067,-0.589248612363
ACH-000070,-0.23393897070099998
ACH-000075,-0.278184111676
ACH-000078,-0.23327088325399997
ACH-000082,-0.307501623038
ACH-000085,-0.279870746124
ACH-000086,-0.188911742333
ACH-000087,-0.133671711206
ACH-000092,-0.18722046654
ACH-000095,-0.323253236969
ACH-000097,-0.24198654723000002
ACH-000098,-0.18348651964200002
ACH-000099,-0.26138627428800004
ACH-000108,-0.262103562713
ACH-000113,-0.246775869509
ACH-000115,-0.439343860947
ACH-000116,-0.21795946868500002
ACH-000118,-0.29245711496300003
ACH-000120,-0.36229108370700003
ACH-000123,-0.22184385528
ACH-000127,-0.269889023129
ACH-000128,-0.309312904963
ACH-000132,-0.306153712919
ACH-000133,-0.28681119994800003
ACH-000137,-0.335670018433
ACH-000138,-0.24435106199
ACH-000142,-0.225846991582
ACH-000143,-0.327718021864
ACH-000146,-0.250027371435
ACH-000148,-0.349833755658
ACH-000150,-0.421525427263
ACH-000152,-0.28640291443300003
ACH-000153,-0.265502380212
ACH-000159,-0.390589233366
ACH-000160,-0.270184122294
ACH-000163,-0.36599230378700004
ACH-000167,-0.349648782865
ACH-000168,-0.38257006666500004
ACH-000169,-0.4132468789
ACH-000178,-0.322392220935
ACH-000182,-0.332225794487
ACH-000183,-0.27640685585
ACH-000188,-0.173628054196
ACH-000189,-0.310892104645
ACH-000190,-0.308343775502
ACH-000198,-0.315822593651
ACH-000204,-0.6596809119120001
ACH-000206,-0.23461641718
ACH-000207,-0.41048981360200004
ACH-000211,-0.399498743454
ACH-000215,-0.24210922902899998
ACH-000221,-0.269338042755
ACH-000222,-0.36718428209799997
ACH-000223,-0.488746288307
ACH-000226,-0.24917628215399998
ACH-000227,-0.34509609882200004
ACH-000228,-0.456183109652
ACH-000231,-0.325302184233
ACH-000232,-0.43855321946599995
ACH-000233,-0.34241930292499995
ACH-000234,-0.39127165384999996
ACH-000235,-0.297462220638
ACH-000237,-0.339955762328
ACH-000238,-0.44082846119999997
ACH-000243,-0.286725000253
ACH-000244,-0.320498744852
ACH-000246,-0.360656271797
ACH-000248,-0.410834454009
ACH-000250,-0.39836264223300005
ACH-000251,-0.153257905004
ACH-000253,-0.34595485412
ACH-000255,-0.26404895545699997
ACH-000256,-0.20833739704799997
ACH-000257,-0.324817949126
ACH-000258,-0.252217864044
ACH-000259,-0.198231318456
ACH-000260,-0.303020816946
ACH-000261,-0.336942889087
ACH-000262,-0.276235671253
ACH-000263,-0.310972677465
ACH-000264,-0.231182085381
ACH-000265,-0.30033562886
ACH-000266,-0.353968373707
ACH-000272,-0.146082349754
ACH-000273,-0.26292249589600003
ACH-000274,-0.35312474152199996
ACH-000277,-0.411687074708
ACH-000278,-0.306315879653
ACH-000279,-0.425122617996
ACH-000280,-0.287835808216
ACH-000281,-0.35550697713299995
ACH-000288,-0.349200811818
ACH-000291,-0.362887964365
ACH-000293,-0.433334336803
ACH-000294,-0.538462528532
ACH-000295,-0.510271609773
ACH-000296,-0.256168053926
ACH-000302,-0.289654401667
ACH-000304,-0.6337801753
ACH-000307,-0.42254339922899997
ACH-000308,-0.5616260570880001
ACH-000310,-0.41475765459799996
ACH-000311,-0.20375083469799998
ACH-000312,-0.331426125162
ACH-000315,-0.18757466782200002
ACH-000316,-0.43242451453599995
ACH-000317,-0.101987410254
ACH-000318,-0.374160870893
ACH-000319,-0.413095414356
ACH-000320,-0.44267484236
ACH-000322,-0.33837901287600003
ACH-000323,-0.38588579327
ACH-000324,-0.30011740902600004
ACH-000329,-0.484928224666
ACH-000330,-0.266577646706
ACH-000331,-0.436622415738
ACH-000332,-0.36304159296099997
ACH-000334,-0.238495493154
ACH-000335,-0.281844451406
ACH-000336,0.020419641984599998
ACH-000337,-0.45978045168799997
ACH-000339,-0.35708873028399996
ACH-000341,-0.35927140328
ACH-000348,-0.18733657953
ACH-000350,-0.29924645358199997
ACH-000352,-0.292839909937
ACH-000356,-0.48009536301399997
ACH-000361,-0.38751483069
ACH-000362,-0.24353034831700002
ACH-000363,-0.190740225885
ACH-000364,-0.320431994051
ACH-000365,-0.226592050946
ACH-000366,-0.243902765473
ACH-000368,-0.407734079212
ACH-000374,-0.40461258071199996
ACH-000375,-0.13533633195800002
ACH-000376,-0.27305904104400003
ACH-000381,-0.291335826373
ACH-000383,-0.37035966104400003
ACH-000387,-0.289846579915
ACH-000389,-0.334920719875
ACH-000390,-0.34170524832800003
ACH-000393,-0.34978434119900004
ACH-000395,-0.279866304232
ACH-000397,-0.23096609777399998
ACH-000401,-0.241112917236
ACH-000402,-0.77302524449
ACH-000403,-0.372273955557
ACH-000404,-0.152955879195
ACH-000406,-0.353618059294
ACH-000407,-0.323926593261
ACH-000408,-0.12774777452299999
ACH-000410,-0.24116863380999998
ACH-000411,-0.435534795639
ACH-000414,-0.20607579925
ACH-000415,-0.319015478303
ACH-000416,-0.34356072656900005
ACH-000420,-0.362504191105
ACH-000421,-0.331540741906
ACH-000424,-0.313997583171
ACH-000425,-0.30655663665800004
ACH-000426,-0.400163946249
ACH-000427,-0.29392818757
ACH-000433,-0.24742514616300001
ACH-000436,-0.294054261369
ACH-000444,-0.210486284038
ACH-000445,-0.32969682835700004
ACH-000448,-0.330261433381
ACH-000450,-0.139779825329
ACH-000452,-0.415942965568
ACH-000454,-0.228218907363
ACH-000458,-0.40497235764
ACH-000459,-0.098680430958
ACH-000460,-0.37493421600599997
ACH-000461,-0.0465882715829
ACH-000463,-0.20615903091499999
ACH-000464,-0.614691034908
ACH-000466,-0.35785951244099995
ACH-000467,-0.16557916745999998
ACH-000468,-0.307940452478
ACH-000469,-0.239196999431
ACH-000470,-0.058595848970999995
ACH-000471,-0.24230191648200003
ACH-000472,-0.253687411942
ACH-000473,-0.193845455462
ACH-000475,-0.312715207678
ACH-000476,-0.25774086803
ACH-000477,-0.6222197858240001
ACH-000480,-0.218038066538
ACH-000481,-0.422235300071
ACH-000483,-0.27837757137499997
ACH-000484,-0.17737393781599997
ACH-000485,-0.260334874063
ACH-000486,-0.37696694241400003
ACH-000487,-0.41072886299500005
ACH-000488,-0.229262455311
ACH-000490,-0.33990972894
ACH-000491,-0.243715063318
ACH-000495,-0.556268918707
ACH-000496,-0.223323638829
ACH-000499,-0.461352889301
ACH-000500,0.0535580667736
ACH-000502,-0.167520507333
ACH-000503,0.0251716688023
ACH-000505,-0.196366718059
ACH-000507,-0.19756200468600002
ACH-000510,-0.367391331813
ACH-000511,-0.269822172594
ACH-000512,-0.18584265633299998
ACH-000516,-0.300935721052
ACH-000517,-0.290615625689
ACH-000518,-0.28375595378400004
ACH-000520,-0.317187978027
ACH-000521,-0.168501507365
ACH-000522,-0.164925247588
ACH-000524,-0.386860892444
ACH-000527,-0.20107736792199998
ACH-000528,-0.264392891527
ACH-000537,-0.323689917211
ACH-000541,-0.42701085591
ACH-000542,-0.290305538282
ACH-000544,-0.249019328848
ACH-000545,-0.43742678144100006
ACH-000547,-0.340697170995
ACH-000548,-0.318212217854
ACH-000549,-0.217958596459
ACH-000550,-0.548775523246
ACH-000552,-0.237690818953
ACH-000556,-0.291007700589
ACH-000557,-0.288553237609
ACH-000570,-0.17642768675999998
ACH-000571,-0.37374733776999997
ACH-000573,-0.202271830133
ACH-000576,-0.515590032591
ACH-000580,-0.294607335383
ACH-000584,-0.45847837459
ACH-000585,-0.36743852858000003
ACH-000588,-0.0718518214865
ACH-000589,-0.36254088195699996
ACH-000591,-0.521338830181
ACH-000593,-0.226341828997
ACH-000600,-0.5566767147899999
ACH-000601,-0.275625487742
ACH-000604,-0.5323803766480001
ACH-000605,-0.238256359508
ACH-000606,-0.311355702821
ACH-000608,-0.45444874793799994
ACH-000614,-0.206132132991
ACH-000616,-0.43792396005
ACH-000618,-0.160946409839
ACH-000619,-0.231963172898
ACH-000620,-0.101546563235
ACH-000621,-0.34626393622199997
ACH-000622,-0.265183734404
ACH-000623,-0.34626216453599995
ACH-000624,-0.292736495328
ACH-000627,-0.296848405624
ACH-000630,-0.419134808649
ACH-000632,-0.297207334629
ACH-000633,-0.195322009366
ACH-000637,-0.33973421453
ACH-000638,-0.32394572141899997
ACH-000646,0.136182726446
ACH-000647,-0.379044085925
ACH-000648,-0.318962322414
ACH-000649,-0.22830378593400003
ACH-000651,-0.374258919529
ACH-000652,-0.452582868361
ACH-000653,-0.325894928403
ACH-000657,-0.393989612613
ACH-000658,-0.19317056970600002
ACH-000661,-0.315536147928
ACH-000662,0.0682816633559
ACH-000663,-0.322066700767
ACH-000665,-0.35448043623899994
ACH-000671,-0.270803684534
ACH-000673,-0.43736901338600004
ACH-000676,-0.410653860171
ACH-000677,-0.538855219774
ACH-000681,-0.0772035527941
ACH-000682,-0.217083689899
ACH-000683,-0.30558667339400003
ACH-000684,-0.09560351249360001
ACH-000688,-0.34340095525200004
ACH-000693,-0.24307343992
ACH-000694,-0.256332321261
ACH-000695,-0.515021994032
ACH-000696,-0.364592451175
ACH-000697,-0.47532684456
ACH-000699,-0.325274227268
ACH-000701,-0.149043555746
ACH-000706,-0.191522716244
ACH-000711,-0.338662551801
ACH-000713,-0.14109891671
ACH-000714,-0.36597775680100003
ACH-000718,-0.38515199899
ACH-000720,-0.32145284558000004
ACH-000721,-0.38060033045900005
ACH-000724,-0.31010993517200003
ACH-000725,-0.194245901364
ACH-000732,-0.33846612848800006
ACH-000734,-0.22777828513599999
ACH-000735,-0.280778051434
ACH-000736,-0.269758500416
ACH-000738,-0.556929944533
ACH-000746,-0.11081161410599999
ACH-000747,-0.370917400431
ACH-000748,-0.33224686632
ACH-000753,-0.248136847294
ACH-000756,-0.155552212965
ACH-000757,-0.133555716425
ACH-000758,-0.34872377385700004
ACH-000760,-0.26000495243
ACH-000763,-0.275681956378
ACH-000764,-0.43128380809600003
ACH-000765,-0.287153646752
ACH-000766,-0.356032763571
ACH-000767,-0.260759504139
ACH-000768,-0.289311405771
ACH-000769,-0.177905990632
ACH-000770,-0.33933696544200004
ACH-000771,-0.313764764628
ACH-000773,-0.484099284594
ACH-000776,-0.309717032535
ACH-000777,-0.396533554921
ACH-000778,-0.301354376212
ACH-000781,-0.298347616233
ACH-000782,-0.159228467587
ACH-000783,-0.369623378623
ACH-000784,-0.376662561572
ACH-000785,-0.239637246805
ACH-000787,-0.257270171161
ACH-000788,-0.233403639282
ACH-000791,-0.174181505079
ACH-000792,-0.119943079765
ACH-000794,-0.101534222243
ACH-000796,-0.356422951308
ACH-000799,-0.364241086995
ACH-000800,-0.209462746619
ACH-000802,-0.18218834801300002
ACH-000804,-0.21637542173399998
ACH-000805,-0.400021688168
ACH-000809,-0.293100503812
ACH-000810,-0.617409218327
ACH-000811,-0.605558475206
ACH-000817,-0.175528902081
ACH-000819,-0.246117545234
ACH-000820,-0.286619243786
ACH-000821,-0.071487007953
ACH-000822,-0.506491733217
ACH-000823,-0.29469476041299997
ACH-000824,-0.392825515146
ACH-000827,-0.339392422748
ACH-000829,-0.44184842085799997
ACH-000831,-0.35401341549000004
ACH-000832,-0.590145148475
ACH-000833,-0.5070850253220001
ACH-000834,-0.25243756723
ACH-000835,-0.209636160038
ACH-000836,-0.346531867323
ACH-000837,-0.21800376994600001
ACH-000838,-0.439529715097
ACH-000839,-0.281362527509
ACH-000840,-0.0194715260903
ACH-000841,-0.276638181232
ACH-000843,-0.177272125658
ACH-000846,-0.146445875137
ACH-000847,-0.695626698195
ACH-000848,-0.415637941582
ACH-000849,-0.321708199008
ACH-000851,-0.287521522342
ACH-000855,-0.0137708676877
ACH-000856,-0.185701553805
ACH-000858,-0.33573474332099995
ACH-000859,-0.332550759004
ACH-000861,-0.433219325243
ACH-000862,-0.22762919689599997
ACH-000865,-0.349796911907
ACH-000866,-0.190727757489
ACH-000867,-0.245303755222
ACH-000869,-0.377370575659
ACH-000872,-0.10077978181
ACH-000873,-0.15874297958900002
ACH-000876,-0.296659696123
ACH-000878,-0.5480519564940001
ACH-000880,-0.23216852673799998
ACH-000881,-0.42934040469800006
ACH-000882,-0.48742063576800004
ACH-000884,-0.12390527547
ACH-000885,-0.356142127855
ACH-000887,-0.219167582208
