,DepMap_ID
10353,ACH-000032
21791,ACH-000065
21792,ACH-000065
41001,ACH-000127
49083,ACH-000158
89475,ACH-000292
96261,ACH-000311
103519,ACH-000330
117179,ACH-000368
117505,ACH-000369
128272,ACH-000397
128613,ACH-000398
150710,ACH-000454
157147,ACH-000471
168549,ACH-000501
170798,ACH-000507
189411,ACH-000552
196779,ACH-000567
199590,ACH-000574
221103,ACH-000621
235766,ACH-000651
248021,ACH-000673
254760,ACH-000686
277022,ACH-000728
278348,ACH-000730
290946,ACH-000754
291671,ACH-000755
292804,ACH-000757
320312,ACH-000786
320313,ACH-000786
320314,ACH-000786
320315,ACH-000786
320316,ACH-000786
320317,ACH-000786
353117,ACH-000793
357801,ACH-000800
398388,ACH-000852
423515,ACH-000878
447131,ACH-000898
452375,ACH-000903
474014,ACH-000918
478446,ACH-000920
489982,ACH-000926
508871,ACH-000936
518495,ACH-000939
540849,ACH-000947
548731,ACH-000950
580870,ACH-000960
583867,ACH-000961
587470,ACH-000962
600802,ACH-000966
604931,ACH-000967
620360,ACH-000971
624467,ACH-000972
646125,ACH-000978
646126,ACH-000978
682821,ACH-000985
682822,ACH-000985
690262,ACH-000986
690263,ACH-000986
690264,ACH-000986
690265,ACH-000986
711913,ACH-000989
711914,ACH-000989
732857,ACH-000991
755419,ACH-000992
755420,ACH-000992
755421,ACH-000992
755422,ACH-000992
808055,ACH-000993
816542,ACH-000994
834777,ACH-000996
834778,ACH-000996
856249,ACH-000998
870111,ACH-000999
870112,ACH-000999
897856,ACH-001050
903689,ACH-001067
908124,ACH-001068
910817,ACH-001081
910818,ACH-001081
935630,ACH-001145
939045,ACH-001151
939330,ACH-001162
945162,ACH-001199
948195,ACH-001203
975943,ACH-001355
981404,ACH-001367
1017803,ACH-001522
1022532,ACH-001536
1038189,ACH-001566
1052740,ACH-001630
1053096,ACH-001632
1061430,ACH-001655
1061902,ACH-001656
1062458,ACH-001673
1063523,ACH-001677
1065166,ACH-001709
1182649,ACH-002280
1193718,ACH-002304
