,C5AR2 (27202)
ACH-000004,0.19949954699
ACH-000007,0.10514922797199999
ACH-000009,0.0565263263423
ACH-000011,0.22469389991
ACH-000012,0.09805746189430001
ACH-000013,0.061644454040099994
ACH-000014,0.281709535482
ACH-000015,0.0834599368149
ACH-000017,0.186405584392
ACH-000018,0.013515254023
ACH-000019,0.29185849326200003
ACH-000021,0.149340905475
ACH-000022,0.0782321568272
ACH-000025,0.207950233923
ACH-000028,0.16402406664000002
ACH-000030,0.06868553854119999
ACH-000035,0.116915045051
ACH-000036,0.042778582242099995
ACH-000037,0.130969519781
ACH-000039,0.0933697638756
ACH-000040,0.0432931527507
ACH-000041,0.164315411381
ACH-000042,0.055816584996699996
ACH-000045,0.14570112886199998
ACH-000047,0.0722719918647
ACH-000052,0.0674864663583
ACH-000053,-0.0483199781108
ACH-000054,0.0904193910905
ACH-000055,-0.141467929396
ACH-000060,0.0509792686466
ACH-000067,0.012610301407700001
ACH-000070,0.2452860945
ACH-000075,-0.248552214846
ACH-000078,0.336406816946
ACH-000082,0.08339505897010001
ACH-000085,-0.130166356802
ACH-000086,-0.049918607441999996
ACH-000087,0.208274722777
ACH-000092,0.07619240338069999
ACH-000095,0.0675328336519
ACH-000097,-0.0173898045861
ACH-000098,0.0144230773069
ACH-000099,0.241209251433
ACH-000108,0.0235713686817
ACH-000113,0.0270871301173
ACH-000115,0.137708790492
ACH-000116,0.19349740340100002
ACH-000118,0.0914138189367
ACH-000120,0.0417488478658
ACH-000123,0.149341851675
ACH-000127,0.0997986895343
ACH-000128,0.175867956005
ACH-000132,0.288466730257
ACH-000133,0.161231515641
ACH-000137,-0.142435761977
ACH-000138,0.0051337028043
ACH-000142,0.11756554572599999
ACH-000143,0.00924127308517
ACH-000146,0.136088012399
ACH-000148,0.17263283194600001
ACH-000150,0.10752622263699999
ACH-000152,0.123891945062
ACH-000153,-0.0370323407133
ACH-000159,0.0908638275485
ACH-000160,0.177399353156
ACH-000163,0.0959681660651
ACH-000167,0.028782343804
ACH-000168,0.24948472343199998
ACH-000169,0.179353505526
ACH-000178,0.08191756917569999
ACH-000182,0.04698384933040001
ACH-000183,0.172741311887
ACH-000188,0.161970544781
ACH-000189,0.249986763548
ACH-000190,0.08080315244789998
ACH-000198,0.10746799134000001
