,CACNB1 (782)
ACH-000004,-0.141947408154
ACH-000007,-0.33868484979999997
ACH-000009,-0.317579625213
ACH-000011,-0.138954422547
ACH-000012,-0.30716317099
ACH-000013,-0.27877383735
ACH-000014,-0.22063448614700001
ACH-000015,-0.27733462
ACH-000017,-0.254342993266
ACH-000018,-0.219263524534
ACH-000019,-0.266870529546
ACH-000021,-0.283043571374
ACH-000022,-0.198430341494
ACH-000025,-0.0683639027652
ACH-000028,-0.338617412055
ACH-000030,-0.235262905807
ACH-000035,-0.261015278287
ACH-000036,-0.11848049354399999
ACH-000037,0.110574410274
ACH-000039,-0.141151376564
ACH-000040,-0.38498235475500003
ACH-000041,-0.234187469469
ACH-000042,-0.129678815111
ACH-000045,-0.216117532744
ACH-000047,-0.17745805842700002
ACH-000052,-0.360137291128
ACH-000053,-0.22629853785300003
ACH-000054,-0.208635178374
ACH-000055,-0.227422117744
ACH-000060,-0.23402764068300003
ACH-000067,-0.358358097146
ACH-000070,-0.175819054388
ACH-000075,-0.314956490772
ACH-000078,-0.060401591962400004
ACH-000082,-0.20464133288400002
ACH-000085,-0.212408592229
ACH-000086,-0.293391754367
ACH-000087,-0.136524429374
ACH-000092,-0.11558613082999998
ACH-000095,-0.337323402284
ACH-000097,-0.297763148692
ACH-000098,-0.21108261088599997
ACH-000099,-0.31146793473400003
ACH-000108,-0.279546523625
ACH-000113,-0.201487970765
ACH-000115,-0.265005703081
ACH-000116,-0.18827171670099999
ACH-000118,-0.146780123642
ACH-000120,-0.370179469621
ACH-000123,-0.279574756942
ACH-000127,-0.0898959665972
ACH-000128,-0.470247404752
ACH-000132,-0.611434049836
ACH-000133,-0.153808319672
ACH-000137,-0.18641820268399997
ACH-000138,-0.42104761969899995
ACH-000142,-0.287967715119
ACH-000143,-0.341227430251
ACH-000146,-0.19346004904800002
ACH-000148,-0.36285847455
ACH-000150,-0.051251965949
ACH-000152,-0.252212731404
ACH-000153,0.0620456052041
ACH-000159,-0.12238933160999999
ACH-000160,-0.46714717068499995
ACH-000163,-0.332547642525
ACH-000167,-0.491655608503
ACH-000168,-0.22665002914700003
ACH-000169,-0.25629383067899997
ACH-000178,-0.151243699127
ACH-000182,-0.110667697583
ACH-000183,-0.2901800049
ACH-000188,-0.34957327828900003
ACH-000189,-0.49050333220200004
ACH-000190,-0.208959697183
ACH-000198,-0.323942587269
ACH-000204,-0.25517649616599997
ACH-000206,0.0366993947202
ACH-000207,-0.177297955689
ACH-000211,-0.401386672143
ACH-000215,-0.264928485626
ACH-000221,-0.23553646704999998
ACH-000222,-0.183612512853
ACH-000223,-0.198688077159
ACH-000226,-0.245083620297
ACH-000227,-0.538808284196
ACH-000228,-0.380277117547
ACH-000231,-0.299868111877
ACH-000232,-0.194664125222
ACH-000233,-0.161216036752
ACH-000234,-0.27776555944200004
ACH-000235,-0.2668957461
ACH-000237,-0.0721918548299
ACH-000238,-0.437737635422
ACH-000243,-0.492132170829
ACH-000244,-0.09408238586239999
ACH-000246,-0.178060309207
ACH-000248,-0.433293344869
ACH-000250,-0.290675218048
ACH-000251,-0.33553466701400003
ACH-000253,-0.157501679939
ACH-000255,-0.534755976147
ACH-000256,-0.22604392177700003
ACH-000257,-0.0066640238230900005
ACH-000258,-0.19611636076699998
ACH-000259,-0.228902323153
ACH-000260,-0.186117316532
ACH-000261,-0.116903606929
ACH-000262,-0.313686924111
ACH-000263,-0.602905866699
ACH-000264,-0.340808811009
ACH-000265,-0.254177650635
ACH-000266,-0.241110881595
ACH-000272,-0.35792968263
ACH-000273,-0.132786936475
ACH-000274,-0.398037600386
ACH-000277,-0.25126920431099997
ACH-000278,-0.150462403946
ACH-000279,-0.20476004865400002
ACH-000280,-0.227732345976
ACH-000281,-0.162113731323
ACH-000288,-0.39999077555699997
ACH-000291,-0.381992957678
ACH-000293,-0.389505168807
ACH-000294,-0.190172576732
ACH-000295,-0.225960614437
ACH-000296,-0.356313056812
ACH-000302,-0.24604351052200002
ACH-000304,-0.08901545365939999
ACH-000307,-0.15867428874000003
ACH-000308,-0.244222168403
ACH-000310,-0.18372514572299997
ACH-000311,-0.0969834663226
ACH-000312,-0.374134061456
ACH-000315,-0.309132078255
ACH-000316,-0.255048073854
ACH-000317,-0.32338164173
ACH-000318,-0.18362969205600002
ACH-000319,-0.261714083632
ACH-000320,-0.275158146969
ACH-000322,-0.177691489868
ACH-000323,-0.302491330826
ACH-000324,-0.319449386178
ACH-000329,-0.114911035981
ACH-000330,-0.265835313859
ACH-000331,-0.290384246591
ACH-000332,-0.181203241457
ACH-000334,0.096911099007
ACH-000335,-0.0322218924787
ACH-000336,-0.281986144234
ACH-000337,-0.0506277680209
ACH-000339,-0.276148777465
ACH-000341,-0.252154053039
ACH-000348,-0.243099260524
ACH-000350,-0.5263136718829999
ACH-000352,-0.133425290641
ACH-000356,-0.33974468433300004
ACH-000361,-0.43275657704899995
ACH-000362,-0.182952812577
ACH-000363,-0.188512806744
ACH-000364,-0.207840737962
ACH-000365,-0.299764600301
ACH-000366,-0.24772386441
ACH-000368,-0.09769262012330002
ACH-000374,-0.375386636926
ACH-000375,-0.20897455196400003
ACH-000376,-0.0993639335311
ACH-000381,-0.0419826976859
ACH-000383,-0.5910945250490001
ACH-000387,-0.0554080569904
ACH-000389,-0.545503590034
ACH-000390,-0.250622093062
ACH-000393,-0.23298353643300002
ACH-000395,-0.165935994389
ACH-000397,-0.5528133810629999
