,DepMap_ID
15332,ACH-000041
35929,ACH-000106
44091,ACH-000139
45649,ACH-000145
69384,ACH-000227
82670,ACH-000269
84945,ACH-000277
119439,ACH-000374
119758,ACH-000375
148607,ACH-000449
165882,ACH-000492
166781,ACH-000495
172830,ACH-000511
186026,ACH-000545
193292,ACH-000560
241683,ACH-000662
247532,ACH-000672
282333,ACH-000738
328264,ACH-000786
328265,ACH-000786
328266,ACH-000786
372672,ACH-000818
377671,ACH-000824
395843,ACH-000848
414470,ACH-000870
420967,ACH-000875
459473,ACH-000909
479182,ACH-000920
498736,ACH-000930
498737,ACH-000930
512536,ACH-000937
521856,ACH-000940
530422,ACH-000943
561239,ACH-000954
575284,ACH-000958
653821,ACH-000979
657671,ACH-000980
661680,ACH-000981
677805,ACH-000984
699221,ACH-000987
699222,ACH-000987
706548,ACH-000988
723460,ACH-000990
818717,ACH-000994
837024,ACH-000996
905003,ACH-001067
912434,ACH-001081
931067,ACH-001131
1007851,ACH-001494
1037425,ACH-001563
1058079,ACH-001650
1063902,ACH-001680
1079846,ACH-001958
1100629,ACH-002119
1154534,ACH-002238
1166089,ACH-002256
1171139,ACH-002258
1179201,ACH-002273
1186967,ACH-002287
1189439,ACH-002290
1197700,ACH-002309
1205102,ACH-002336
1214396,ACH-002363
1224471,ACH-002396
