,DepMap_ID
27129,ACH-000066
44010,ACH-000139
66204,ACH-000219
89389,ACH-000292
113637,ACH-000358
214409,ACH-000607
253394,ACH-000683
265746,ACH-000706
294032,ACH-000759
315204,ACH-000786
315205,ACH-000786
315206,ACH-000786
373914,ACH-000820
481258,ACH-000921
487841,ACH-000925
505718,ACH-000934
526577,ACH-000942
559535,ACH-000954
600286,ACH-000966
630946,ACH-000974
656609,ACH-000980
745382,ACH-000992
745383,ACH-000992
815186,ACH-000994
866482,ACH-000999
866483,ACH-000999
944044,ACH-001197
952048,ACH-001233
958398,ACH-001318
989615,ACH-001390
1045944,ACH-001610
1061110,ACH-001654
1066367,ACH-001715
1080117,ACH-002001
1080802,ACH-002002
1081491,ACH-002003
1116780,ACH-002166
1138968,ACH-002215
1149207,ACH-002232
1176709,ACH-002272
1219431,ACH-002388
