,CDC7 (8317)
ACH-000004,-1.2665468659499999
ACH-000007,-1.72348670874
ACH-000009,-1.7705621371
ACH-000011,-1.38258884326
ACH-000012,-1.4103361778499999
ACH-000013,-1.6408589557299997
ACH-000014,-1.8842029652799999
ACH-000015,-1.49591177806
ACH-000017,-1.27536093101
ACH-000018,-1.42224665706
ACH-000019,-1.5573177909
ACH-000021,-1.17857851018
ACH-000022,-1.73836253195
ACH-000025,-1.49959062746
ACH-000028,-1.60647816321
ACH-000030,-1.4250782266
ACH-000035,-1.4312786158200002
ACH-000036,-1.4615041979499999
ACH-000037,-1.4751661241499998
ACH-000039,-1.77208810599
ACH-000040,-1.35149297338
ACH-000041,-1.472292786
ACH-000042,-1.6648612594299999
ACH-000045,-1.4940195526700002
ACH-000047,-1.5211762691600001
ACH-000052,-1.4441507462
ACH-000053,-1.5327957506799998
ACH-000054,-1.38851964306
ACH-000055,-1.3453272783899999
ACH-000060,-1.38207178299
ACH-000067,-1.57464404902
ACH-000070,-1.4007844147400001
ACH-000075,-1.61266856026
ACH-000078,-1.4191279728400001
ACH-000082,-1.3527817768500001
ACH-000085,-1.25557800546
ACH-000086,-1.39331176211
ACH-000087,-1.57754594436
ACH-000092,-1.40119901714
ACH-000095,-1.73660551818
ACH-000097,-1.75635616622
ACH-000098,-1.56586063532
ACH-000099,-1.59406480683
ACH-000108,-1.3452983194600001
ACH-000113,-1.53320028241
ACH-000115,-1.51391330312
ACH-000116,-1.5267569686000002
ACH-000118,-1.44101834688
ACH-000120,-1.5953910802899998
ACH-000123,-1.49075286257
ACH-000127,-1.4249684474700002
ACH-000128,-0.9775746689210001
ACH-000132,-1.34627963456
ACH-000133,-1.37409583056
ACH-000137,-1.2844809482200001
ACH-000138,-1.3632535884900001
ACH-000142,-1.4560391313999999
ACH-000143,-1.62656963547
ACH-000146,-1.56566786973
ACH-000148,-1.5140714620700002
ACH-000150,-1.5890286472400001
ACH-000152,-1.5793245997799998
ACH-000153,-2.01767036039
ACH-000159,-1.421341961
ACH-000160,-1.6087961355000002
ACH-000163,-1.4448743779
ACH-000167,-1.96758127122
ACH-000168,-1.3988867944499999
ACH-000169,-1.1899479034799998
ACH-000178,-1.55376559405
ACH-000182,-1.4307733456600003
