,CDHR5 (53841)
ACH-000004,0.0110556638735
ACH-000007,0.0742503106605
ACH-000009,0.0296644126479
ACH-000011,0.14672634554400002
ACH-000012,-0.017738293753099998
ACH-000013,-0.0351892288829
ACH-000014,-0.0668275654916
ACH-000015,0.140506890344
ACH-000017,0.0344876043832
ACH-000018,-0.340752581557
ACH-000019,-0.0599293643475
ACH-000021,0.059409395444
ACH-000022,-0.13447016263
ACH-000025,-0.033339226118
ACH-000028,-0.141868894682
ACH-000030,0.0428967133326
ACH-000035,-0.0040468653165
ACH-000036,-0.137310364498
ACH-000037,0.00881955905019
ACH-000039,-0.0599101500899
ACH-000040,0.016781540163200003
ACH-000041,-0.0464742303967
ACH-000042,0.0791134861888
ACH-000045,0.045711679214599996
ACH-000047,0.0754258350698
ACH-000052,0.191017557176
ACH-000053,-0.0142722201594
ACH-000054,-0.04299565223540001
ACH-000055,-0.0748926647714
ACH-000060,-0.056984389513099996
ACH-000067,0.12261028204000002
ACH-000070,-0.0621604833692
ACH-000075,0.088966245601
ACH-000078,-0.0429176555181
ACH-000082,-0.069269264225
ACH-000085,-0.211887380112
ACH-000086,0.05891091420630001
ACH-000087,0.0335794835476
ACH-000092,-0.0270089873262
ACH-000095,0.0531060111266
ACH-000097,0.125462910912
ACH-000098,0.004965485265840001
ACH-000099,-0.0133768830495
ACH-000108,-0.0337287523249
ACH-000113,-0.21497954112300002
ACH-000115,-0.0294546802606
ACH-000116,0.100935875998
ACH-000118,0.0788323601978
ACH-000120,0.21586587484
ACH-000123,-0.10083029386600001
ACH-000127,0.0481763434723
ACH-000128,0.101306136427
ACH-000132,0.0566983819774
ACH-000133,0.0684119396013
ACH-000137,0.112836095955
ACH-000138,-0.0859035383436
ACH-000142,-0.14563065527799998
ACH-000143,0.0833701679142
ACH-000146,-0.06718976081809999
ACH-000148,-0.0762177490357
ACH-000150,0.025915236768999997
ACH-000152,0.00245618197305
ACH-000153,0.269398859825
ACH-000159,0.00536969252275
ACH-000160,0.13942698818
ACH-000163,0.007034857054990001
ACH-000167,0.0616081520407
ACH-000168,-0.19118096593400002
ACH-000169,0.11792503860200002
ACH-000178,0.011953041123899999
ACH-000182,0.0703044396806
ACH-000183,-0.020153398772599997
ACH-000188,-0.011975742104200002
ACH-000189,-0.226081319073
ACH-000190,-0.0737794260524
ACH-000198,0.08912400686519999
ACH-000204,0.40835524250699995
ACH-000206,0.16149589129699998
ACH-000207,0.034641302790199995
ACH-000211,0.011268560259
ACH-000215,-0.0330933922603
ACH-000221,0.0677579803423
ACH-000222,0.054325005549
ACH-000223,0.0723190775824
ACH-000226,0.09582056897630001
ACH-000227,0.176336612673
ACH-000228,0.17481662709600002
ACH-000231,-0.0753597018928
ACH-000232,-0.0284736720155
ACH-000233,0.006339345872310001
ACH-000234,-0.149182123618
ACH-000235,0.012858164032799999
ACH-000237,0.0661066128084
ACH-000238,0.012972277156200002
ACH-000243,0.043348912670999995
ACH-000244,0.033833678921
ACH-000246,0.10306014403
ACH-000248,0.0509877459937
ACH-000250,-0.0156875897612
ACH-000251,0.131333797014
ACH-000253,0.0817871218972
