,DepMap_ID
28381,ACH-000072
38174,ACH-000114
58040,ACH-000192
140209,ACH-000428
184435,ACH-000541
185135,ACH-000543
186666,ACH-000546
190657,ACH-000554
197235,ACH-000568
199196,ACH-000573
222560,ACH-000624
227982,ACH-000636
277157,ACH-000728
288794,ACH-000750
298963,ACH-000767
300226,ACH-000769
301645,ACH-000771
328249,ACH-000786
328250,ACH-000786
328251,ACH-000786
328252,ACH-000786
328253,ACH-000786
328254,ACH-000786
328255,ACH-000786
328256,ACH-000786
328257,ACH-000786
361120,ACH-000804
363063,ACH-000806
366202,ACH-000810
377670,ACH-000824
391090,ACH-000843
393194,ACH-000845
409696,ACH-000865
417238,ACH-000872
427356,ACH-000881
428740,ACH-000882
434400,ACH-000886
445295,ACH-000896
471209,ACH-000916
491683,ACH-000927
491684,ACH-000927
516527,ACH-000938
527361,ACH-000942
541375,ACH-000947
549393,ACH-000950
549394,ACH-000950
554949,ACH-000952
561238,ACH-000954
565843,ACH-000955
572095,ACH-000957
578751,ACH-000959
591870,ACH-000963
609350,ACH-000968
612983,ACH-000969
632495,ACH-000974
632496,ACH-000974
647665,ACH-000978
657670,ACH-000980
661678,ACH-000981
661679,ACH-000981
684380,ACH-000985
691661,ACH-000986
699219,ACH-000987
706546,ACH-000988
706547,ACH-000988
723456,ACH-000990
734651,ACH-000991
734652,ACH-000991
734653,ACH-000991
734654,ACH-000991
770817,ACH-000992
770818,ACH-000992
770819,ACH-000992
770820,ACH-000992
770821,ACH-000992
770822,ACH-000992
770823,ACH-000992
848028,ACH-000997
858493,ACH-000998
858494,ACH-000998
875670,ACH-000999
875671,ACH-000999
875672,ACH-000999
894496,ACH-001028
904997,ACH-001067
904998,ACH-001067
904999,ACH-001067
905000,ACH-001067
931066,ACH-001131
962974,ACH-001333
962975,ACH-001333
1019493,ACH-001525
1023140,ACH-001538
1036741,ACH-001561
1044931,ACH-001606
1055567,ACH-001645
1063029,ACH-001674
1079845,ACH-001958
1095393,ACH-002099
1110862,ACH-002155
1122846,ACH-002174
1137831,ACH-002211
1158080,ACH-002243
1172535,ACH-002261
1173295,ACH-002263
1197697,ACH-002309
1206300,ACH-002338
1213403,ACH-002359
