,DepMap_ID
42295,ACH-000132
48003,ACH-000155
57054,ACH-000189
61799,ACH-000204
108572,ACH-000346
127907,ACH-000396
144025,ACH-000438
185354,ACH-000544
246848,ACH-000671
276176,ACH-000727
303466,ACH-000775
318448,ACH-000786
318449,ACH-000786
318450,ACH-000786
318451,ACH-000786
318452,ACH-000786
381827,ACH-000830
382742,ACH-000831
400971,ACH-000855
438688,ACH-000890
440940,ACH-000892
445141,ACH-000896
457361,ACH-000908
463433,ACH-000912
466728,ACH-000914
497989,ACH-000930
511219,ACH-000937
511220,ACH-000937
521030,ACH-000940
556518,ACH-000953
556519,ACH-000953
559980,ACH-000954
564930,ACH-000955
604719,ACH-000967
611684,ACH-000969
616217,ACH-000970
639657,ACH-000977
645765,ACH-000978
719901,ACH-000990
719902,ACH-000990
807653,ACH-000993
816019,ACH-000994
825437,ACH-000995
825438,ACH-000995
834200,ACH-000996
855737,ACH-000998
855738,ACH-000998
868839,ACH-000999
924578,ACH-001127
924579,ACH-001127
986198,ACH-001377
1011556,ACH-001517
1070360,ACH-001738
1070361,ACH-001738
1087614,ACH-002059
1102562,ACH-002124
1135124,ACH-002201
1142744,ACH-002222
1147150,ACH-002223
1149404,ACH-002232
1163719,ACH-002256
1176946,ACH-002272
1179932,ACH-002275
1186153,ACH-002287
1222557,ACH-002395
