,CLDN7 (1366)
ACH-000004,-0.266618957484
ACH-000007,0.338239104744
ACH-000009,-0.0803233482052
ACH-000011,-0.222604014267
ACH-000012,-0.262735961583
ACH-000013,-0.296059357347
ACH-000014,-0.0658527226327
ACH-000015,-0.22045233943700002
ACH-000017,0.252051014581
ACH-000018,-0.320112856532
ACH-000019,-0.199209459967
ACH-000021,-0.133346006914
ACH-000022,-0.208736640025
ACH-000025,-0.0800335187775
ACH-000028,-0.325698055498
ACH-000030,-0.161605770645
ACH-000035,-0.332053990826
ACH-000036,-0.356773524229
ACH-000037,-0.39430119923100004
ACH-000039,-0.296288436535
ACH-000040,-0.108031553167
ACH-000041,-0.244452941668
ACH-000042,-0.208065012011
ACH-000045,-0.309664267832
ACH-000047,-0.14081589182600002
ACH-000052,-0.30043004999699996
ACH-000053,-0.245900099617
ACH-000054,-0.166979796303
ACH-000055,-0.0188916698138
ACH-000060,-0.363659667993
ACH-000067,-0.33839335419600003
ACH-000070,-0.000553799462415
ACH-000075,-0.42866813173600005
ACH-000078,-0.116355157029
ACH-000082,-0.240398556092
ACH-000085,-0.208872411004
ACH-000086,-0.218376828702
ACH-000087,-0.00652620240218
ACH-000092,-0.0817250045215
ACH-000095,-0.229720108792
ACH-000097,-0.147674718605
ACH-000098,-0.309384554378
ACH-000099,-0.371976591699
ACH-000108,-0.0965247638024
ACH-000113,0.0106568769438
ACH-000115,-0.0895984137113
ACH-000116,-0.26226773113699997
ACH-000118,-0.25958573781399996
ACH-000120,-0.19620343526700001
ACH-000123,-0.43181135278099997
ACH-000127,-0.131931983182
ACH-000128,-0.0497418640409
ACH-000132,-0.35776638441299996
ACH-000133,-0.29194096771899997
ACH-000137,-0.395796225813
ACH-000138,-0.08194537293080001
ACH-000142,-0.318714940079
ACH-000143,-0.30355164137699997
ACH-000146,-0.144612242388
ACH-000148,-0.260207191716
ACH-000150,-0.246231155502
ACH-000152,-0.330633132727
ACH-000153,-0.00617818691084
ACH-000159,-0.38182910372199996
