,DepMap_ID
30011,ACH-000079
33229,ACH-000095
37922,ACH-000113
40334,ACH-000124
42751,ACH-000133
42752,ACH-000133
45295,ACH-000144
57126,ACH-000189
60859,ACH-000201
68672,ACH-000225
80577,ACH-000263
93214,ACH-000303
133126,ACH-000410
138407,ACH-000424
142054,ACH-000432
143721,ACH-000437
144115,ACH-000438
150775,ACH-000454
157196,ACH-000471
168175,ACH-000500
174149,ACH-000514
174802,ACH-000515
195473,ACH-000564
196028,ACH-000565
203933,ACH-000584
218190,ACH-000615
253087,ACH-000682
254078,ACH-000684
266521,ACH-000707
266963,ACH-000708
275219,ACH-000725
291059,ACH-000754
355763,ACH-000796
379735,ACH-000827
383573,ACH-000832
398606,ACH-000852
406358,ACH-000861
427296,ACH-000881
430088,ACH-000883
439041,ACH-000890
439042,ACH-000890
455266,ACH-000906
463811,ACH-000912
472848,ACH-000917
481903,ACH-000921
488419,ACH-000925
538505,ACH-000946
554816,ACH-000952
557162,ACH-000953
569028,ACH-000956
587935,ACH-000962
591652,ACH-000963
605592,ACH-000967
609226,ACH-000968
609227,ACH-000968
625107,ACH-000972
636181,ACH-000975
640810,ACH-000977
647242,ACH-000978
657459,ACH-000980
661291,ACH-000981
667331,ACH-000982
677394,ACH-000984
691343,ACH-000986
713007,ACH-000989
713008,ACH-000989
722593,ACH-000990
722594,ACH-000990
734211,ACH-000991
809298,ACH-000993
809299,ACH-000993
818013,ACH-000994
818014,ACH-000994
836466,ACH-000996
847372,ACH-000997
874085,ACH-000999
874086,ACH-000999
894470,ACH-001028
901211,ACH-001064
922214,ACH-001113
926086,ACH-001127
936094,ACH-001145
945626,ACH-001199
951183,ACH-001212
962828,ACH-001333
970136,ACH-001345
977685,ACH-001362
995040,ACH-001408
1004747,ACH-001484
1005844,ACH-001485
1012661,ACH-001517
1012662,ACH-001517
1016898,ACH-001521
1024366,ACH-001542
1047325,ACH-001610
1050692,ACH-001611
1064198,ACH-001702
1069111,ACH-001737
1074193,ACH-001791
1091557,ACH-002091
1093425,ACH-002097
1116279,ACH-002165
1120437,ACH-002169
1134893,ACH-002200
1136683,ACH-002207
1152610,ACH-002237
1160687,ACH-002252
1165503,ACH-002256
1177498,ACH-002272
1186786,ACH-002287
1189755,ACH-002291
1192637,ACH-002301
1197372,ACH-002309
1197373,ACH-002309
1197374,ACH-002309
1206257,ACH-002338
1208235,ACH-002341
1224263,ACH-002396
