,COL25A1 (84570)
ACH-000004,-0.278960645529
ACH-000007,-0.23312165962200002
ACH-000009,-0.260984086575
ACH-000011,-0.165938305546
ACH-000012,-0.16789095909899998
ACH-000013,-0.100920081064
ACH-000014,-0.0825672242224
ACH-000015,-0.0621562872449
ACH-000017,-0.0900329982171
ACH-000018,0.06248850059219999
ACH-000019,-0.18655702946699998
ACH-000021,-0.102217165829
ACH-000022,0.0637368012384
ACH-000025,-0.0408033504808
ACH-000028,-0.203676980519
ACH-000030,-0.148404593543
ACH-000035,-0.21642949652600002
ACH-000036,-0.318488416956
ACH-000037,-0.138093841206
ACH-000039,-0.014964646107900001
ACH-000040,-0.09831536369869999
ACH-000041,-0.0967693585407
ACH-000042,-0.19796147523
ACH-000045,-0.149831766132
ACH-000047,-0.0973568791912
ACH-000052,-0.24646016872499998
ACH-000053,-0.08914552222110002
ACH-000054,-0.237680003568
ACH-000055,-0.40015329278000006
ACH-000060,-0.166882331114
ACH-000067,-0.0777510280207
ACH-000070,-0.323017124305
ACH-000075,-0.327234356096
ACH-000078,-0.0877531896727
ACH-000082,-0.007096768533399999
ACH-000085,0.048162048342399996
ACH-000086,-0.160398526928
ACH-000087,-0.276502264353
ACH-000092,-0.129209366833
ACH-000095,-0.142160373824
ACH-000097,-0.0654983510974
ACH-000098,-0.205765104897
ACH-000099,-0.0150795900692
ACH-000108,-0.20094737291700002
ACH-000113,-0.0653212654937
ACH-000115,-0.12935165449000002
ACH-000116,-0.183789686506
ACH-000118,-0.276940533333
ACH-000120,-0.152924040115
ACH-000123,-0.11422734641200001
ACH-000127,-0.140199763444
ACH-000128,-0.14929400067600002
ACH-000132,-0.08473720531089998
ACH-000133,-0.170621835644
ACH-000137,-0.22403134284600001
ACH-000138,0.0619506254287
ACH-000142,0.125994636615
ACH-000143,0.0434469880803
ACH-000146,-0.15388305938400001
ACH-000148,-0.223315390712
ACH-000150,-0.22690834723900002
ACH-000152,-0.125821635039
ACH-000153,-0.045386968982100005
ACH-000159,-0.08128134064880001
