,CRIM1 (51232)
ACH-000004,-0.070962787731
ACH-000007,-0.08675190950580002
ACH-000009,-0.0400263308264
ACH-000011,-0.39653939187
ACH-000012,0.0186027985301
ACH-000013,-0.00823672725813
ACH-000014,-0.180675271455
ACH-000015,-0.030665601348799996
ACH-000017,-0.191664590035
ACH-000018,-0.177190320979
ACH-000019,0.115421896818
ACH-000021,-0.216651191184
ACH-000022,-0.0656296671218
ACH-000025,-0.106260203276
ACH-000028,-0.21118592306899997
ACH-000030,-0.195367677002
ACH-000035,-0.0852502120754
ACH-000036,-0.05244455559069999
ACH-000037,-0.25781350109900003
ACH-000039,-0.0638790707274
ACH-000040,-0.0352025878868
ACH-000041,-0.023781244378400002
ACH-000042,-0.11007712706900001
ACH-000045,-0.152950775754
ACH-000047,-0.0549679593882
ACH-000052,-0.16819896507800003
ACH-000053,-0.13694914775
ACH-000054,-0.0577871776518
ACH-000055,-0.363037214314
ACH-000060,-0.1746461867
ACH-000067,-0.034981496799499995
ACH-000070,-0.20017576870099998
ACH-000075,-0.34256736788900005
ACH-000078,-0.13608540082999998
ACH-000082,0.10480365726600001
ACH-000085,-0.216673070775
ACH-000086,-0.00655131196312
ACH-000087,-0.0768128493095
ACH-000092,-0.211265350614
ACH-000095,-0.18542478470899998
ACH-000097,0.139414917425
ACH-000098,-0.16959637102699998
ACH-000099,-0.096934823475
ACH-000108,-0.208014178965
ACH-000113,0.005728064203720001
ACH-000115,-0.021124440104799996
ACH-000116,-0.0927784579768
ACH-000118,-0.05398829685169999
ACH-000120,-0.107355789539
ACH-000123,-0.180584977165
ACH-000127,0.00797152652307
ACH-000128,-0.22028734125
ACH-000132,-0.13345048082699998
ACH-000133,-0.23331181774999998
ACH-000137,-0.09077081806939999
ACH-000138,-0.08219991059830001
ACH-000142,-0.0750367962168
ACH-000143,-0.174801636374
ACH-000146,-0.17670365134500002
ACH-000148,-0.0344418195824
ACH-000150,2.07279184758e-05
ACH-000152,-0.0583649000466
ACH-000153,0.030198223718
ACH-000159,0.0293658577862
ACH-000160,-0.170789017421
ACH-000163,-0.148730128377
ACH-000167,-0.00354374592685
ACH-000168,0.12223092985600001
ACH-000169,-0.18808217559700002
ACH-000178,-0.0786831342837
ACH-000182,-0.058420633508599995
ACH-000183,0.0456477835719
ACH-000188,-0.198257619343
ACH-000189,0.164327756953
ACH-000190,-0.17088642922400002
ACH-000198,-0.0540873044422
ACH-000204,-0.228517543972
ACH-000206,-0.049120570600199996
ACH-000207,-0.27511644172
ACH-000211,-0.0562438744796
ACH-000215,-0.204600004564
ACH-000221,-0.179783153889
ACH-000222,-0.0242032929849
ACH-000223,-0.142315632133
ACH-000226,-0.028158760407099998
ACH-000227,-0.0481838160286
ACH-000228,-0.10109074681399999
ACH-000231,-0.17572116550500003
ACH-000232,-0.166122571086
ACH-000233,-0.0332266910306
ACH-000234,-0.350487966281
ACH-000235,-0.10019896957699999
ACH-000237,-0.195514813303
ACH-000238,-0.0954402302871
ACH-000243,-0.239487504514
ACH-000244,-0.399526436034
ACH-000246,-0.271488418077
ACH-000248,-0.213741793255
ACH-000250,-0.07271365673739999
ACH-000251,-0.0349444670934
ACH-000253,-0.137059860333
ACH-000255,-0.061670698304199995
ACH-000256,-0.181285429348
ACH-000257,0.012346407836
ACH-000258,-0.261949004475
ACH-000259,-0.13130956631100002
ACH-000260,-0.00595314918264
ACH-000261,-0.202520210219
ACH-000262,-0.12990850325099998
ACH-000263,-0.27896859544
ACH-000264,-0.113264239738
ACH-000265,-0.0171492094045
ACH-000266,-0.17728138818
ACH-000272,-0.037360019828199996
ACH-000273,-0.164837833758
ACH-000274,-0.13166646547
ACH-000277,-0.153169971178
ACH-000278,-0.0666779003213
ACH-000279,-0.0980309423267
ACH-000280,-0.199172585109
ACH-000281,-0.270488107538
ACH-000288,-0.0645862243017
ACH-000291,-0.10631670620200001
ACH-000293,0.0852796350123
ACH-000294,-0.0137014061775
ACH-000295,-0.130835963442
ACH-000296,-0.211607682715
ACH-000302,-0.041801457286199994
ACH-000304,-0.458277920739
ACH-000307,-0.129723656991
ACH-000308,-0.0684333584094
ACH-000310,-0.156633539545
ACH-000311,0.0894052799768
ACH-000312,-0.241460848365
ACH-000315,0.010434586418600001
ACH-000316,-0.263186019691
ACH-000317,-0.14827539172700002
ACH-000318,-0.34284718974600004
ACH-000319,-0.0848948660723
ACH-000320,0.0594142059303
ACH-000322,-0.24222033807399998
ACH-000323,-0.124227826495
ACH-000324,-0.133396385013
ACH-000329,0.027939115980700004
ACH-000330,-0.327691596862
ACH-000331,-0.219974568067
ACH-000332,-0.112373637717
ACH-000334,-0.0303935858079
ACH-000335,-0.23777206183000002
ACH-000336,-0.190532720313
ACH-000337,-0.22240647611499997
ACH-000339,0.0555539364394
ACH-000341,-0.10414351210799999
ACH-000348,-0.0660992140917
ACH-000350,-0.117979093732
ACH-000352,-0.163224827325
ACH-000356,0.128165288808
ACH-000361,0.161636612284
ACH-000362,-0.289568235309
ACH-000363,0.0635762242709
ACH-000364,-0.105941717878
ACH-000365,0.0595355536524
ACH-000366,-0.101371094482
ACH-000368,-0.049062763636099994
ACH-000374,-0.0282793502651
ACH-000375,-0.239080039129
ACH-000376,-0.113464719616
ACH-000381,-0.09526501650760001
ACH-000383,-0.186013102203
ACH-000387,0.026899054846799997
ACH-000389,-0.248271706719
ACH-000390,-0.126072250616
ACH-000393,-0.181094651511
ACH-000395,-0.17715466036400002
ACH-000397,-0.30112691926999996
ACH-000401,-0.272495397473
ACH-000402,-0.44391095871799996
ACH-000403,-0.115668977526
ACH-000404,-0.286185163807
ACH-000406,-0.086874091552
ACH-000407,-0.34376995285499995
ACH-000408,-0.0298552148207
ACH-000410,-0.165393424127
ACH-000411,-0.139816668651
ACH-000414,-0.10671122908700001
ACH-000415,-0.0699366970832
ACH-000416,-0.0933899525829
ACH-000420,-0.0859369533626
ACH-000421,-0.0662063185145
ACH-000424,0.0499290265806
ACH-000425,0.008272744952649999
ACH-000426,-0.17410084062
ACH-000427,-0.349082697492
ACH-000433,-0.0408762725755
ACH-000436,-0.17365289927400002
ACH-000444,-0.167071433942
ACH-000445,0.0222769147251
ACH-000448,-0.149627188691
ACH-000450,-0.226082483607
ACH-000452,-0.176283150273
ACH-000454,-0.322239271532
ACH-000458,-0.0370856385438
ACH-000459,0.239189035209
ACH-000460,-0.166286759558
ACH-000461,0.07654267122939999
ACH-000463,-0.148496995741
ACH-000464,-0.150109567565
ACH-000466,-0.0616666593876
ACH-000467,-0.13978235813200002
ACH-000468,-0.0476467973534
ACH-000469,0.022608772649699998
ACH-000470,-0.00544780324662
ACH-000471,-0.0256729555822
ACH-000472,-0.166010109993
ACH-000473,0.12740111794700001
ACH-000475,-0.0479862343776
ACH-000476,-0.17196861975900002
ACH-000477,-0.125834386032
ACH-000480,-0.351732423437
ACH-000481,-0.0466549355547
ACH-000483,0.018287080509400002
ACH-000484,-0.332952132585
ACH-000485,-0.162635181308
ACH-000486,-0.16542736255899998
ACH-000487,0.038209289481000004
ACH-000488,0.00937046487134
ACH-000490,-0.13921033864600002
ACH-000491,-0.261534722417
ACH-000495,-0.34745132240500004
ACH-000496,-0.005942513491649999
ACH-000499,-0.0577221365335
ACH-000500,-0.0468406683249
ACH-000502,-0.004164043281070001
ACH-000503,0.07097003417280001
ACH-000505,-0.19168464772500002
ACH-000507,-0.31899080596900004
ACH-000510,-0.130184065606
ACH-000511,-0.166583344774
ACH-000512,-0.170624877749
ACH-000516,-0.17428477253
ACH-000517,-0.167322100056
ACH-000518,-0.307122565397
ACH-000520,-0.0319065405515
ACH-000521,-0.290913571453
ACH-000522,-0.172466423776
ACH-000524,-0.159719063447
ACH-000527,-0.0923137997235
ACH-000528,-0.11965527668400001
ACH-000537,-0.0349795798457
ACH-000541,0.251810984974
ACH-000542,-0.150096231535
ACH-000544,-0.220637131923
ACH-000545,-0.149260718431
ACH-000547,0.144291923049
ACH-000548,-0.287803657993
ACH-000549,0.071356068371
ACH-000550,-0.104098917633
ACH-000552,-0.09361299570149999
ACH-000556,-0.04697270506580001
ACH-000557,-0.15014512591600002
ACH-000570,0.104238588243
ACH-000571,-0.18235947327500002
ACH-000573,-0.139895816602
ACH-000576,-0.09129988888689998
ACH-000580,-0.183481782942
ACH-000584,-0.0480793743432
ACH-000585,-0.09699920595139999
ACH-000588,-0.272468846917
ACH-000589,-0.102973999233
ACH-000591,-0.102789544296
ACH-000593,-0.171175311267
ACH-000600,-0.210868675827
ACH-000601,-0.0789117601244
ACH-000604,0.184719040306
ACH-000605,0.039478335995900005
ACH-000606,0.0302384095312
ACH-000608,0.0756991976581
ACH-000614,-0.021183768766
ACH-000616,-0.0265276951189
ACH-000618,-0.010650904384299999
ACH-000619,-0.135426444186
ACH-000620,-0.159671048304
ACH-000621,-0.07530134482169999
ACH-000622,-0.174955804758
ACH-000623,-0.003011871306
ACH-000624,-0.222240949754
ACH-000627,-0.011825355671000001
ACH-000630,-0.147158639485
ACH-000632,-0.280663736394
ACH-000633,-0.22618255728
ACH-000637,-0.131215253344
ACH-000638,-0.154511258466
ACH-000646,-0.42745527953199997
ACH-000647,-0.18823903557399999
ACH-000648,0.16453834964000003
ACH-000649,-0.18719377699
ACH-000651,-0.130506946134
ACH-000652,-0.139610330447
ACH-000653,-0.11761191190400001
ACH-000657,-0.0888533527237
ACH-000658,-0.134861982042
ACH-000661,-0.184444898127
ACH-000662,-0.7216952647239999
ACH-000663,0.0492832465288
ACH-000665,-0.21003404685600002
ACH-000671,-0.10994536743899999
ACH-000673,-0.154381268881
ACH-000676,0.0141720826331
ACH-000677,-0.0860577598803
ACH-000681,-0.27219221002599997
ACH-000682,-0.171912205176
ACH-000683,-0.0950080473797
ACH-000684,-0.24978310658599998
ACH-000688,-0.209886396163
ACH-000693,-0.0887342315181
ACH-000694,-0.198375162508
ACH-000695,-0.141036826489
ACH-000696,-0.0817544699641
ACH-000697,0.0680948485226
ACH-000699,-0.0101027771116
ACH-000701,-0.19853884308699998
ACH-000706,-0.0125705709537
ACH-000711,-0.0657990849476
ACH-000713,-0.120601941404
ACH-000714,-0.163147880452
ACH-000718,-0.255431040959
ACH-000720,-0.14381119634700001
ACH-000721,-0.19988196194000002
ACH-000724,-0.0225534731829
ACH-000725,-0.08855507164560002
ACH-000732,0.04525524777980001
ACH-000734,-0.160102476578
ACH-000735,-0.08884089289139999
ACH-000736,-0.0871599745841
ACH-000738,-0.164090052504
ACH-000746,0.0922214494263
ACH-000747,-0.263057161766
ACH-000748,-0.167667880714
ACH-000753,-0.09610493579119998
ACH-000756,-0.23182301610199998
ACH-000757,0.0243044426047
ACH-000758,-0.131786319174
ACH-000760,-0.07683886734569999
ACH-000763,-0.14190791045700002
ACH-000764,0.10836354093499999
ACH-000765,-0.0018954774046300003
ACH-000766,-0.053839511124099994
ACH-000767,-0.326506774776
ACH-000768,-0.148876459051
ACH-000769,-0.017299648578700002
ACH-000770,0.0147921179833
ACH-000771,-0.0338405249347
ACH-000773,0.050174667279900005
ACH-000776,-0.07784783109400001
ACH-000777,-0.0665260866869
ACH-000778,0.00822703549422
ACH-000781,-0.202732539615
ACH-000782,0.012894555117600001
ACH-000783,-0.010897242977499999
ACH-000784,-0.11298047705299999
ACH-000785,-0.28617648854600003
ACH-000787,-0.127208640537
ACH-000788,-0.147377044363
ACH-000791,-0.167143842328
ACH-000792,-0.14652312696
ACH-000794,-0.04848802687440001
ACH-000796,-0.129974501011
ACH-000799,-0.281884117286
ACH-000800,0.005659700570060001
ACH-000802,-0.12100332307299999
ACH-000804,-0.203886870035
ACH-000805,-0.39497754084
ACH-000809,-0.15232670631
ACH-000810,-0.6476806071819999
ACH-000811,0.015715656311299998
ACH-000817,-0.049717837051999995
ACH-000819,0.09171629155449999
ACH-000820,-0.34654882263899994
ACH-000821,-0.0624508454517
ACH-000822,-0.308693863728
ACH-000823,-0.139299647602
ACH-000824,-0.167742736886
ACH-000827,-0.139888333784
ACH-000829,-0.0580953727403
ACH-000831,-0.0907004297717
ACH-000832,0.0106173718474
ACH-000833,0.0943295755078
ACH-000834,-0.24252193579
ACH-000835,0.0882775456263
ACH-000836,-0.090428578014
ACH-000837,-0.232303106602
ACH-000838,-0.138590623733
ACH-000839,-0.12467139636800001
ACH-000840,-0.261419679443
ACH-000841,-0.150873013418
ACH-000843,-0.1351786415
ACH-000846,-0.16067318813
ACH-000847,-0.234966138447
ACH-000848,0.186473100299
ACH-000849,-0.12130282892000001
ACH-000851,-0.192955719867
ACH-000855,-0.225612485935
ACH-000856,-0.150250284896
ACH-000858,-0.0325688087901
ACH-000859,-0.0359008581322
ACH-000861,-0.0318699432609
ACH-000862,0.065014950578
ACH-000865,-0.0747559949154
ACH-000866,-0.05406182623869999
ACH-000867,-0.150319543019
ACH-000869,-0.15489370110300002
ACH-000872,-0.011525526162
ACH-000873,-6.49657748486e-05
ACH-000876,-0.318308145945
ACH-000878,-0.10081752073200001
ACH-000880,-0.0141375863878
ACH-000881,-0.148280937743
ACH-000882,-0.0368093486492
ACH-000884,-0.115209567702
ACH-000885,0.00498744243658
ACH-000887,-0.0341265274224
ACH-000888,-0.10590952801
ACH-000889,-0.0414831254029
ACH-000890,0.0221906239615
ACH-000896,-0.0438327111163
ACH-000898,-0.012651091792600001
ACH-000900,-0.036951682331800004
ACH-000901,-0.25377154715399997
ACH-000905,-0.000153291624181
ACH-000906,-0.0700448444988
ACH-000907,-0.0112471639741
ACH-000910,-0.057863320307999996
ACH-000911,-0.0600593229661
ACH-000912,0.017374137411400002
ACH-000913,-0.14388213207800002
ACH-000915,-0.106726106634
ACH-000916,-0.30122310547
ACH-000917,0.157329914145
ACH-000921,-0.134185979598
ACH-000924,-0.102711784332
ACH-000926,-0.0783970041328
ACH-000928,-0.045466033792199996
ACH-000929,-0.16244075713
ACH-000932,-0.134375753907
ACH-000935,-0.149848743195
ACH-000936,-0.136710698242
ACH-000937,-0.08734605585130001
ACH-000938,-0.0196966908814
ACH-000939,-0.0983098936781
ACH-000941,-0.008540969084489999
ACH-000943,-0.0811033196098
ACH-000946,-0.00262032502187
ACH-000947,-0.0533385793465
ACH-000948,-0.051240352421199994
ACH-000950,0.12267795454000002
ACH-000953,-0.0736489944332
ACH-000957,-0.202722983232
ACH-000958,-0.310677016402
ACH-000960,-0.08259634904730001
ACH-000963,-0.0229730495027
ACH-000968,0.00988163410624
ACH-000969,-0.22014528668699998
ACH-000973,-0.0643085574044
ACH-000974,-0.00492123999957
ACH-000975,-0.233589107652
ACH-000976,-0.19803711144299999
ACH-000978,-0.297807157999
ACH-000980,-0.127775213777
ACH-000984,0.0209715391409
ACH-000986,-0.395840396476
ACH-000988,-0.0917553625822
ACH-000993,-0.042202027686900005
ACH-000994,-0.191580677609
ACH-000996,0.0548993629971
ACH-001001,-0.180911113191
ACH-001020,0.0969274472645
ACH-001028,-0.030308862788400004
ACH-001031,-0.0408982814273
ACH-001038,-0.176151364875
ACH-001048,-0.00958904913662
ACH-001050,-0.11198330338300001
ACH-001053,-0.317671784228
ACH-001054,-0.0128566796383
ACH-001061,-0.143021388404
ACH-001067,-0.183739449077
ACH-001075,-0.04866635007
ACH-001096,-0.0699593812345
ACH-001128,-0.095237922052
ACH-001134,-0.096490943862
ACH-001151,-0.22647437984700003
ACH-001163,-0.129339741191
ACH-001164,-0.32917953319000004
ACH-001173,-0.150502803089
ACH-001183,0.0482280207747
ACH-001184,-0.168803457551
ACH-001190,-0.00601221038373
ACH-001192,-0.181764500804
ACH-001193,-0.334771238505
ACH-001196,-0.30204242866000003
ACH-001197,-0.19324035314
ACH-001205,0.023030411410500003
ACH-001211,0.01833950548
ACH-001212,-0.15868230674
ACH-001228,-0.10478468969
ACH-001232,-0.185212280928
ACH-001239,-0.136357808691
ACH-001274,0.0583331239614
ACH-001275,-0.0793004649355
ACH-001277,0.0808670117656
ACH-001278,-0.07937496081880001
ACH-001280,-0.242375752493
ACH-001283,-0.0668870328553
ACH-001289,0.0855867841265
ACH-001295,-0.183374324866
ACH-001300,-0.0346278451996
ACH-001301,-0.21471092000199998
ACH-001302,0.018067888089799998
ACH-001303,-0.0660820892244
ACH-001306,-0.271819583587
ACH-001318,-0.33262525709
ACH-001322,-0.330893195436
ACH-001328,-0.252809445021
ACH-001332,0.029427282576900003
ACH-001333,-0.0032829121620199997
ACH-001336,-0.0917822436672
ACH-001340,-0.18813799802900003
ACH-001346,-0.12443236035399999
ACH-001353,0.0726579964117
ACH-001354,0.090521431766
ACH-001367,-0.18214143594
ACH-001368,-0.24263056476300002
ACH-001374,0.23568672950599998
ACH-001375,-0.000247473331478
ACH-001377,-0.0429424009356
ACH-001380,-0.0876426447439
ACH-001391,-0.152485508953
ACH-001407,-0.0726896000779
ACH-001408,-0.187649775388
ACH-001413,-0.00220081838045
ACH-001430,-0.111927331314
ACH-001431,-0.23037115628600002
ACH-001450,-0.0745564453215
ACH-001496,-0.108379355044
ACH-001500,-0.16193787029
ACH-001521,0.031194830807099998
ACH-001523,-0.10968852
ACH-001532,-0.157716436069
ACH-001536,-0.0961040283471
ACH-001550,-0.162687527489
ACH-001552,-0.00645270789461
ACH-001554,-0.184878962197
ACH-001645,-0.257841838937
ACH-001654,-0.21535359128800002
ACH-001715,0.146129095139
ACH-001735,-0.146646521226
ACH-001736,-0.186043377098
ACH-001737,-0.125432384761
ACH-001740,-0.0919172394423
ACH-001745,-0.106650412987
ACH-001750,-0.08363464529789999
ACH-001765,-0.0066648648983199995
ACH-001956,-0.0858913592321
ACH-001957,0.010758770675
