,CROCC (9696)
ACH-000004,0.018644647637900004
ACH-000007,0.00724214345467
ACH-000009,-0.0386789499301
ACH-000011,-0.145930305121
ACH-000012,-0.0565448346263
ACH-000013,-0.149693399281
ACH-000014,-0.236719994411
ACH-000015,-0.295071048771
ACH-000017,-0.214015623125
ACH-000018,-0.271749897912
ACH-000019,-0.15920034338199998
ACH-000021,0.10775881254000001
ACH-000022,-0.26582775093899996
ACH-000025,-0.266871894467
ACH-000028,0.029558923066599997
ACH-000030,-0.166508874861
ACH-000035,-0.21908340813299998
ACH-000036,-0.057492513547599995
ACH-000037,-0.16829749707699998
ACH-000039,-0.48974123820200005
ACH-000040,-0.252625746523
ACH-000041,-0.0226809877903
ACH-000042,-0.256880521756
ACH-000045,-0.177239287883
ACH-000047,-0.245384697691
ACH-000052,-0.303940118843
ACH-000053,0.021678523959999998
ACH-000054,-0.050682071486
ACH-000055,-0.14682320460999998
ACH-000060,-0.12407125184699999
ACH-000067,-0.193761932848
ACH-000070,0.0074781266602000004
ACH-000075,-0.388459193913
ACH-000078,-0.0468105874247
ACH-000082,-0.0052009615555100005
ACH-000085,-0.528940680042
ACH-000086,-0.18624942333299999
ACH-000087,0.235675972067
ACH-000092,-0.20117292122900002
ACH-000095,-0.415255068742
ACH-000097,-0.116824154047
ACH-000098,-0.194139372062
ACH-000099,-0.24567149940699998
ACH-000108,-0.281057039228
ACH-000113,-0.118114897027
ACH-000115,-0.317423979187
ACH-000116,-0.0839883941641
ACH-000118,0.0937684316528
ACH-000120,-0.276074300263
ACH-000123,0.00371638150891
ACH-000127,-0.257985338427
ACH-000128,-0.861750223303
ACH-000132,-0.144281641549
ACH-000133,-0.182903170429
ACH-000137,-0.332941898698
ACH-000138,-0.135940086017
ACH-000142,0.13145645935699998
ACH-000143,-0.103902007584
ACH-000146,0.136434111406
ACH-000148,-0.251533553659
ACH-000150,0.0518240917327
ACH-000152,-0.0883540685224
ACH-000153,-0.484417947232
ACH-000159,-0.131230599432
ACH-000160,-0.104846912514
ACH-000163,-0.195693824473
ACH-000167,-0.305644636108
ACH-000168,0.0876848937771
ACH-000169,-0.0733884117961
ACH-000178,-0.10207359896299999
ACH-000182,-0.021948037193299998
ACH-000183,-0.03902150050580001
ACH-000188,-0.00216485451907
ACH-000189,-0.215758397894
ACH-000190,0.043739266621
ACH-000198,-0.162693158214
ACH-000204,-0.258113287687
ACH-000206,-0.046840928397699995
ACH-000207,0.10514211639799999
ACH-000211,-0.16096929439000002
ACH-000215,-0.28385451590599997
ACH-000221,-0.373583431504
ACH-000222,-0.23103437450599998
ACH-000223,-0.193760909967
ACH-000226,-0.326816915879
ACH-000227,0.19943133362799997
ACH-000228,-0.0227237920613
ACH-000231,-0.0238968890472
ACH-000232,-0.26753298941
ACH-000233,-0.0415182349201
ACH-000234,-0.36455977443300003
ACH-000235,-0.13638621185900002
ACH-000237,-0.347596707234
ACH-000238,-0.162663598997
ACH-000243,0.0358821233335
ACH-000244,-0.004448660261899999
ACH-000246,-0.167880590442
ACH-000248,0.093853927572
ACH-000250,-0.145940432414
ACH-000251,-0.0485838244778
ACH-000253,-0.160838880643
ACH-000255,-0.20153602202100002
ACH-000256,-0.25888291561
ACH-000257,-0.08297410055539998
ACH-000258,-0.204317037451
ACH-000259,-0.141738266584
ACH-000260,-0.186543734382
ACH-000261,-0.201975639803
ACH-000262,-0.504324255707
ACH-000263,-0.047247185694300003
ACH-000264,-0.24920966437800002
ACH-000265,-0.11547433951500001
ACH-000266,-0.11586935430199999
ACH-000272,-0.144852654893
ACH-000273,-0.17169846817499998
ACH-000274,-0.35435159535899996
ACH-000277,-0.172002486445
ACH-000278,-0.33448444035700003
ACH-000279,-0.219335258175
ACH-000280,-0.346945997389
ACH-000281,-0.0762529906005
ACH-000288,-0.26837533545200004
ACH-000291,-0.156945853986
ACH-000293,-0.354936992896
ACH-000294,-0.0608489980736
ACH-000295,-0.206604335212
ACH-000296,-0.331666770101
ACH-000302,-0.125099376915
ACH-000304,-0.523313777577
ACH-000307,-0.14124499351199998
ACH-000308,-0.0598250524199
ACH-000310,-0.178290351355
ACH-000311,-0.123633587501
ACH-000312,-0.175938156146
ACH-000315,-0.06740795388830001
ACH-000316,-0.0350280526056
ACH-000317,-0.129883758281
ACH-000318,0.225707545328
ACH-000319,-0.30504645391999996
ACH-000320,0.12295113363
ACH-000322,0.112742308971
ACH-000323,-0.36463250519
ACH-000324,-0.24168655904
ACH-000329,-0.340095856141
ACH-000330,-0.216693673024
ACH-000331,-0.183067911066
ACH-000332,-0.0696708163771
ACH-000334,-0.372446053535
ACH-000335,-0.0105490766146
ACH-000336,0.23686626757800003
ACH-000337,-0.138411673837
ACH-000339,-0.0994753350201
ACH-000341,-0.43517122913999995
ACH-000348,-0.108072153618
ACH-000350,-0.182897077151
ACH-000352,-0.295577300283
ACH-000356,-0.369566511899
ACH-000361,-0.30348091688400003
ACH-000362,-0.12450472768200001
ACH-000363,-0.048592751516
ACH-000364,-0.49379219861
ACH-000365,-0.09567541465089999
ACH-000366,-0.269013078661
ACH-000368,-0.495123483272
ACH-000374,-0.253759281494
ACH-000375,-0.208385921654
ACH-000376,-0.248862001913
ACH-000381,-0.339183590579
ACH-000383,-0.19217655204
ACH-000387,-0.0005554771982239999
ACH-000389,0.0421321996806
ACH-000390,-0.26163930031800003
ACH-000393,-0.261514213495
ACH-000395,-0.234918021323
ACH-000397,-0.128412175219
ACH-000401,-0.06768343308659999
ACH-000402,-0.235506501822
ACH-000403,-0.35930506564000003
ACH-000404,0.0861181896435
ACH-000406,-0.0118450373471
ACH-000407,-0.238628775818
ACH-000408,-0.258235216195
ACH-000410,-0.127987712326
ACH-000411,-0.161896360528
ACH-000414,-0.148496267252
ACH-000415,-0.169019861404
ACH-000416,0.007782549402640001
ACH-000420,-0.401848225727
ACH-000421,-0.165116552063
ACH-000424,-0.15485949980799998
ACH-000425,-0.190317553954
ACH-000426,-0.354790736543
ACH-000427,-0.386837553816
ACH-000433,-0.184074765366
ACH-000436,-0.363437849357
ACH-000444,-0.171813552369
ACH-000445,-0.328784737213
ACH-000448,-0.19099755103100002
ACH-000450,-0.0318198149265
ACH-000452,-0.160321207961
ACH-000454,-0.423511871102
ACH-000458,-0.382019896007
ACH-000459,-0.192761032243
ACH-000460,-0.134848416719
ACH-000461,-0.17382478067
ACH-000463,-0.111647677413
ACH-000464,-0.47208284062100003
ACH-000466,-0.218945614159
ACH-000467,0.02869868249
ACH-000468,-0.0892035265621
ACH-000469,-0.24596491601
ACH-000470,0.0563612434789
ACH-000471,-0.268332639923
ACH-000472,0.00324642146947
ACH-000473,-0.27711990176
ACH-000475,-0.21517123473000002
ACH-000476,-0.382971114859
ACH-000477,-0.06539087726250001
ACH-000480,-0.344977113479
ACH-000481,-0.287088398002
ACH-000483,0.0658837254736
ACH-000484,-0.265788559193
ACH-000485,-0.40993827459700005
ACH-000486,-0.178876014455
ACH-000487,-0.16880647276799998
ACH-000488,-0.07640446893319999
ACH-000490,-0.14820721127999997
ACH-000491,-0.163859216217
ACH-000495,0.051615261835900005
ACH-000496,-0.251844073739
ACH-000499,0.08646849736510001
ACH-000500,-0.0431804863973
ACH-000502,-0.146645374096
ACH-000503,-0.150745636087
ACH-000505,-0.141544929243
ACH-000507,-0.22183973421
ACH-000510,0.0400343514912
ACH-000511,-0.018630616226
ACH-000512,0.0872083681092
ACH-000516,-0.14325348681299999
ACH-000517,-0.464043171213
ACH-000518,-0.208681669032
ACH-000520,-0.21730340623000002
ACH-000521,-0.054384891333
ACH-000522,-0.271173048002
ACH-000524,-0.44467692007200005
ACH-000527,-0.161842310905
ACH-000528,-0.18760202284699998
ACH-000537,-0.15216093659000002
ACH-000541,-0.14729984144400002
ACH-000542,-0.09675175710930001
ACH-000544,-0.255711820961
ACH-000545,-0.11261241804099999
ACH-000547,-0.30801866676
ACH-000548,-0.028634683325900002
ACH-000549,-0.38262507182300004
ACH-000550,-0.303861460918
ACH-000552,-0.35523859937200003
ACH-000556,-0.121805150889
ACH-000557,-0.267647649039
ACH-000570,-0.140661560303
ACH-000571,-0.25691290170000003
ACH-000573,-0.149529403409
ACH-000576,-0.09883381604939999
ACH-000580,-0.0107787725572
ACH-000584,-0.32172546136700003
ACH-000585,-0.200967079571
ACH-000588,-0.355245776491
ACH-000589,-0.0924346037647
ACH-000591,-0.154035163217
ACH-000593,-0.17414928436500002
ACH-000600,-0.334902621519
ACH-000601,-0.0925571113273
ACH-000604,-0.433255878068
ACH-000605,-0.384152503781
ACH-000606,-0.185824827386
ACH-000608,-0.46040029339500005
ACH-000614,-0.0407194043394
ACH-000616,0.0441662571181
ACH-000618,-0.19367755423799998
ACH-000619,0.0466051768645
ACH-000620,0.0227822186126
ACH-000621,-0.0845371736084
ACH-000622,-0.351930001855
ACH-000623,-0.38672822996
ACH-000624,-0.18346572755100002
ACH-000627,-0.205947796032
ACH-000630,-0.30346188662900003
ACH-000632,-0.269328203114
ACH-000633,-0.23432009763
ACH-000637,-0.18024101227400002
ACH-000638,-0.19135983809
ACH-000646,-0.459472321625
ACH-000647,-0.106327310505
ACH-000648,-0.517169950161
ACH-000649,-0.4105114729
ACH-000651,-0.0988988487882
ACH-000652,0.0772486609515
ACH-000653,-0.110429382415
ACH-000657,-0.259311091693
ACH-000658,-0.0726125184506
ACH-000661,-0.0203203068758
ACH-000662,-0.594107743954
ACH-000663,0.0490537500257
ACH-000665,-0.17813686072299997
ACH-000671,-0.171394954584
ACH-000673,-0.303435705487
ACH-000676,-0.32660341162900003
ACH-000677,-0.325828843168
ACH-000681,-0.151291042869
ACH-000682,-0.08200947470389999
ACH-000683,-0.271276887189
ACH-000684,-0.152235268151
ACH-000688,-0.243484695335
ACH-000693,-0.17243473353799998
ACH-000694,-0.179366409232
ACH-000695,-0.477284800163
ACH-000696,-0.21814944817200002
ACH-000697,-0.0870881953331
ACH-000699,-0.212759547667
ACH-000701,0.00196709839038
ACH-000706,-0.10099601955
ACH-000711,-0.186843563838
ACH-000713,-0.250109790389
ACH-000714,-0.324709593697
ACH-000718,-0.27386686696400003
ACH-000720,-0.321262229573
ACH-000721,-0.14167550619799998
ACH-000724,0.0601217006551
ACH-000725,-0.306752603276
ACH-000732,-0.207430165787
ACH-000734,-0.169781764168
ACH-000735,-0.239381727
ACH-000736,-0.205972495557
ACH-000738,-0.21750401303599998
ACH-000746,-0.45664692073799995
ACH-000747,-0.129357589666
ACH-000748,-0.249116360594
ACH-000753,-0.05449007549359999
ACH-000756,-0.39874492568000003
ACH-000757,-0.181187790964
ACH-000758,-0.34551404045999995
ACH-000760,-0.0502923986948
ACH-000763,-0.0818444455881
ACH-000764,-0.434023978265
ACH-000765,-0.126350797121
ACH-000766,-0.184500973692
ACH-000767,-0.446922234527
ACH-000768,0.028432638459799996
ACH-000769,-0.044001690627
ACH-000770,-0.128810881214
ACH-000771,-0.0699204839212
ACH-000773,-0.122575992913
ACH-000776,-0.34934993284500004
ACH-000777,-0.0261786697266
ACH-000778,-0.26733542569200003
ACH-000781,-0.0726522659128
ACH-000782,-0.289901277257
ACH-000783,-0.221543090811
ACH-000784,-0.059715375877900004
ACH-000785,-0.2443191257
ACH-000787,-0.165606132108
ACH-000788,-0.12968538835899998
ACH-000791,-0.0850520765913
ACH-000792,-0.17729582170400002
ACH-000794,-0.093390356662
ACH-000796,-0.0523316878987
ACH-000799,-0.074272168047
ACH-000800,-0.230527570038
ACH-000802,0.037486922187600004
ACH-000804,-0.0411180361911
ACH-000805,-0.178167015916
ACH-000809,-0.0722926527071
ACH-000810,-0.574214589519
ACH-000811,-0.21827571676399998
ACH-000817,0.0075633474496300005
ACH-000819,-0.18399818174600002
ACH-000820,-0.0873949046748
ACH-000821,-0.10508600382899999
ACH-000822,-0.07791286912430001
ACH-000823,-0.0661766623784
ACH-000824,-0.41182717243699996
ACH-000827,-0.193874199884
ACH-000829,-0.32039242778
ACH-000831,-0.172464324881
ACH-000832,-0.174204895731
ACH-000833,-0.371574104557
ACH-000834,-0.211500006877
ACH-000835,-0.08365265896560001
ACH-000836,-0.170682507591
ACH-000837,-0.0816555149588
ACH-000838,-0.253088298712
ACH-000839,-0.283530575166
ACH-000840,-0.139186676763
ACH-000841,-0.07616832354719999
ACH-000843,-0.208500789442
ACH-000846,-0.295178692649
ACH-000847,-0.46457635242600004
ACH-000848,-0.154348540912
ACH-000849,-0.102053076383
ACH-000851,-0.11913104052899999
ACH-000855,-0.286087298309
ACH-000856,0.0366990532439
ACH-000858,-0.44265879506000005
ACH-000859,-0.19494268666700001
ACH-000861,0.00433315340547
ACH-000862,-0.217953666404
ACH-000865,-0.10284646686000001
ACH-000866,-0.0799390631689
ACH-000867,-0.11745882525399999
ACH-000869,0.108300182816
ACH-000872,-0.16362581345799998
ACH-000873,-0.0806429174735
ACH-000876,-0.469642336914
ACH-000878,0.258549106726
ACH-000880,-0.433615035625
ACH-000881,-0.22606217149900001
ACH-000882,-0.0667153360939
ACH-000884,-0.330242281177
ACH-000885,-0.061826649068099995
ACH-000887,-0.380828710979
ACH-000888,-0.277597849562
ACH-000889,-0.224090720471
ACH-000890,-0.21071841312399997
ACH-000896,-0.17335461501
ACH-000898,-0.0951458025337
ACH-000900,-0.122071284947
ACH-000901,-0.27560281120499996
ACH-000905,-0.24753158994399999
ACH-000906,-0.151535746083
ACH-000907,-0.172118059524
ACH-000910,-0.17308765648899999
ACH-000911,-0.24386402326900003
ACH-000912,-0.23966827166700003
ACH-000913,-0.145222488975
ACH-000915,-0.103669642201
ACH-000916,-0.254930607823
ACH-000917,0.131215081431
ACH-000921,-0.0416596439675
ACH-000924,-0.408947426836
ACH-000926,-0.37839251565300003
ACH-000928,-0.10649915333999999
ACH-000929,-0.10133006966600001
ACH-000932,-0.155835227888
ACH-000935,-0.145221418006
ACH-000936,-0.38800067077699996
ACH-000937,-0.21802284081099998
ACH-000938,-0.19292757194000001
ACH-000939,-0.058582006279199995
ACH-000941,-0.0377905886727
ACH-000943,-0.00789402606902
ACH-000946,0.0484447824835
ACH-000947,-0.0802507599437
ACH-000948,-0.0516397819307
ACH-000950,0.05579769681340001
ACH-000953,-0.288612276682
ACH-000957,-0.141913409577
ACH-000958,-0.0625272329421
ACH-000960,-0.483720520083
ACH-000963,-0.023661168157200003
ACH-000968,-0.0111820658066
ACH-000969,-0.0604673809948
ACH-000973,-0.20153000106
ACH-000974,-0.17623578453299998
ACH-000975,-0.0894358775502
ACH-000976,-0.13748307442399998
ACH-000978,0.006428921903670001
ACH-000980,-0.127272055791
ACH-000984,-0.185690052064
ACH-000986,-0.208414487462
ACH-000988,-0.0683131151
ACH-000993,-0.10756514945699999
ACH-000994,-0.288834318181
ACH-000996,-0.408889120607
ACH-001001,-0.0522349012214
ACH-001020,-0.305182177183
ACH-001028,-0.19253817371399998
ACH-001031,-0.177313180894
ACH-001038,-0.27707756892700003
ACH-001048,-0.07982000040369999
ACH-001050,-0.163785556451
ACH-001053,-0.376685564466
ACH-001054,-0.327444037458
ACH-001061,-0.18134103103799998
ACH-001067,-0.237930188468
ACH-001075,-0.304936284607
ACH-001096,-0.189534034694
ACH-001128,-0.709822593392
ACH-001134,-0.243817331981
ACH-001151,-0.0979474289608
ACH-001163,-0.13236121168
ACH-001164,-0.21638188973499997
ACH-001173,-0.150796103964
ACH-001183,-0.182938983995
ACH-001184,-0.331084749089
ACH-001190,-0.113087339065
ACH-001192,0.049488307086100004
ACH-001193,-0.0510997223135
ACH-001196,-0.188158837627
ACH-001197,-0.447919790895
ACH-001205,0.292815383252
ACH-001211,-0.348861160552
ACH-001212,-0.269260200417
ACH-001228,-0.20558843052700002
ACH-001232,-0.0886794630436
ACH-001239,-0.31274367807
ACH-001274,-0.033795294815700004
ACH-001275,-0.213917183422
ACH-001277,-0.7818776654549999
ACH-001278,-0.27788252168600003
ACH-001280,0.0303997616654
ACH-001283,-0.020173559543900002
ACH-001289,-0.0257994860387
ACH-001295,-0.28070348258600003
ACH-001300,-0.181986283156
ACH-001301,-0.0190105419937
ACH-001302,-0.056603550498099994
ACH-001303,-0.13041029226099998
ACH-001306,-0.055576540767800005
ACH-001318,-0.08002951955019999
ACH-001322,-0.0888325814905
ACH-001328,-0.18075005032900002
ACH-001332,-0.285719818585
ACH-001333,-0.0371162054351
ACH-001336,-0.160586734567
ACH-001340,-0.155359473107
ACH-001346,-0.15616536685000001
ACH-001353,-0.23522360771200002
ACH-001354,-0.323246239603
ACH-001367,-0.03998389724919999
ACH-001368,-0.11431069541899999
ACH-001374,-0.286340718358
ACH-001375,-0.00251756633123
ACH-001377,-0.142849792706
ACH-001380,-0.341549164679
ACH-001391,0.062290645883800004
ACH-001407,-0.260261943085
ACH-001408,-0.148716611634
ACH-001413,-0.0741576278155
ACH-001430,-0.287737746776
ACH-001431,-0.30041265839000003
ACH-001450,0.0745447391348
ACH-001496,-0.40876162866300003
ACH-001500,-0.393332802002
ACH-001521,-0.302395234225
ACH-001523,-0.25376506044799996
ACH-001532,-0.302680366414
ACH-001536,-0.010318130974200002
ACH-001550,-0.029113072786599997
ACH-001552,-0.10840119252699999
ACH-001554,-0.22159435325399998
ACH-001645,-0.255566887179
ACH-001654,-0.330479868162
ACH-001715,-0.216782314388
ACH-001735,-0.40319862863000006
ACH-001736,-0.18727380855599998
ACH-001737,-0.062239303216699994
ACH-001740,0.00399923462376
ACH-001745,-0.275580893991
ACH-001750,-0.514550293224
ACH-001765,-0.20126804950599997
ACH-001956,-0.030385722969499998
ACH-001957,-0.145918022182
