,DepMap_ID
16825,ACH-000048
21653,ACH-000065
21654,ACH-000065
49076,ACH-000158
86555,ACH-000282
101024,ACH-000322
128812,ACH-000399
151438,ACH-000456
195389,ACH-000564
195390,ACH-000564
210084,ACH-000597
228597,ACH-000637
258438,ACH-000694
274636,ACH-000724
298822,ACH-000767
304289,ACH-000776
319461,ACH-000786
319462,ACH-000786
319463,ACH-000786
319464,ACH-000786
319465,ACH-000786
371769,ACH-000817
386988,ACH-000838
389090,ACH-000841
400596,ACH-000854
412964,ACH-000869
437472,ACH-000889
452358,ACH-000903
465214,ACH-000913
466818,ACH-000914
475813,ACH-000919
485003,ACH-000923
515932,ACH-000938
518446,ACH-000939
518447,ACH-000939
524281,ACH-000941
534919,ACH-000945
543321,ACH-000948
560128,ACH-000954
578030,ACH-000959
583766,ACH-000961
590919,ACH-000963
616336,ACH-000970
624392,ACH-000972
631481,ACH-000974
639851,ACH-000977
639852,ACH-000977
645968,ACH-000978
666144,ACH-000982
666145,ACH-000982
666146,ACH-000982
690058,ACH-000986
720315,ACH-000990
732654,ACH-000991
732655,ACH-000991
753815,ACH-000992
753816,ACH-000992
753817,ACH-000992
753818,ACH-000992
753819,ACH-000992
753820,ACH-000992
753821,ACH-000992
753822,ACH-000992
753823,ACH-000992
753824,ACH-000992
753825,ACH-000992
753826,ACH-000992
753827,ACH-000992
753828,ACH-000992
753829,ACH-000992
753830,ACH-000992
753831,ACH-000992
753832,ACH-000992
753833,ACH-000992
753834,ACH-000992
753835,ACH-000992
753836,ACH-000992
753837,ACH-000992
753838,ACH-000992
753839,ACH-000992
753840,ACH-000992
807865,ACH-000993
816352,ACH-000994
834489,ACH-000996
834490,ACH-000996
856011,ACH-000998
869571,ACH-000999
869572,ACH-000999
869573,ACH-000999
910636,ACH-001081
955828,ACH-001283
962344,ACH-001333
968866,ACH-001345
968867,ACH-001345
978814,ACH-001363
1000967,ACH-001442
1011740,ACH-001517
1011741,ACH-001517
1023036,ACH-001538
1040069,ACH-001568
1093186,ACH-002097
1099907,ACH-002116
1111709,ACH-002157
