,CYP26C1 (340665)
ACH-000004,-0.293183823946
ACH-000007,-0.432245129779
ACH-000009,-0.14857468996
ACH-000011,-0.253520903498
ACH-000012,-0.190815684664
ACH-000013,-0.13108744879
ACH-000014,-0.259132805337
ACH-000015,-0.23753731044799997
ACH-000017,-0.286311595966
ACH-000018,-0.22104543455200001
ACH-000019,-0.245440326659
ACH-000021,-0.0266205100408
ACH-000022,-0.20187582725000003
ACH-000025,-0.383164374397
ACH-000028,-0.250870956964
ACH-000030,-0.17533538514199998
ACH-000035,-0.18628150899
ACH-000036,-0.217552434557
ACH-000037,-0.35597273432899995
ACH-000039,-0.021435804898900002
ACH-000040,-0.327413924921
ACH-000041,-0.292628977309
ACH-000042,-0.244246280724
ACH-000045,-0.269289625873
ACH-000047,-0.2277046751
ACH-000052,-0.0841076699488
ACH-000053,-0.07124838564439999
ACH-000054,-0.17092350715500002
ACH-000055,-0.15119902177
ACH-000060,-0.308004093116
ACH-000067,-0.406122806431
ACH-000070,-0.333411178672
ACH-000075,-0.321449774018
ACH-000078,0.048844105671
ACH-000082,-0.21488698585299998
ACH-000085,-0.36377282290299995
ACH-000086,-0.262494103123
ACH-000087,-0.5939741952650001
ACH-000092,-0.117609112647
ACH-000095,-0.22354191992400002
ACH-000097,-0.203478146085
ACH-000098,-0.24428665761799997
ACH-000099,-0.22297263860999997
ACH-000108,-0.15141828607000002
ACH-000113,-0.33939506478
ACH-000115,-0.3580596371
ACH-000116,-0.123887837073
ACH-000118,-0.118799081277
ACH-000120,-0.224432607331
ACH-000123,-0.154297823666
ACH-000127,-0.24483956656300002
ACH-000128,-0.282039898094
ACH-000132,-0.206795370539
ACH-000133,-0.0745274112664
ACH-000137,-0.383039578134
ACH-000138,-0.0417660677196
ACH-000142,-0.245326201148
ACH-000143,-0.5097426317670001
ACH-000146,-0.157890736737
ACH-000148,-0.334331089881
ACH-000150,-0.373755873994
ACH-000152,-0.376264999353
ACH-000153,-0.230944095316
ACH-000159,0.014550167297399998
ACH-000160,-0.263508219403
ACH-000163,-0.20496535517099998
ACH-000167,-0.041273863868
ACH-000168,-0.311406030819
ACH-000169,-0.21632260334800002
ACH-000178,-0.340634496921
ACH-000182,-0.381910465604
ACH-000183,-0.058221570777400006
ACH-000188,-0.284782659354
ACH-000189,-0.285576222232
ACH-000190,-0.252869809357
ACH-000198,-0.34785201821500006
ACH-000204,-0.06879579575469999
ACH-000206,-0.137109471207
ACH-000207,-0.33726997803900005
ACH-000211,-0.273974549402
ACH-000215,-0.2352722166
ACH-000221,-0.33292797119600004
ACH-000222,0.057220682855599996
ACH-000223,-0.224505159613
ACH-000226,-0.0871318836981
ACH-000227,-0.289422523418
ACH-000228,-0.37691158462800006
ACH-000231,-0.343917989743
ACH-000232,-0.304283928428
ACH-000233,-0.24220707445999998
ACH-000234,-0.121916822609
ACH-000235,-0.102899584027
ACH-000237,-0.271021802739
ACH-000238,-0.164435491544
ACH-000243,-0.09821743875639999
ACH-000244,-0.205396212907
ACH-000246,-0.22203513885899998
ACH-000248,-0.38090093842399997
ACH-000250,-0.22214228006099998
ACH-000251,-0.324213328132
ACH-000253,-0.0830340772397
ACH-000255,-0.27605260544599997
ACH-000256,-0.348945220886
ACH-000257,-0.314643500385
ACH-000258,-0.10122772756300001
ACH-000259,-0.19016695772199999
ACH-000260,-0.152454617462
ACH-000261,-0.176974910583
ACH-000262,-0.46471709763499996
ACH-000263,-0.47987053589100004
ACH-000264,-0.173732965932
ACH-000265,-0.184109555337
