,DepMap_ID
39046,ACH-000118
39675,ACH-000121
43997,ACH-000139
97249,ACH-000314
115635,ACH-000364
141893,ACH-000432
164394,ACH-000489
167696,ACH-000499
174613,ACH-000515
182527,ACH-000536
188243,ACH-000550
188244,ACH-000550
188824,ACH-000551
235124,ACH-000650
268977,ACH-000714
280827,ACH-000735
297965,ACH-000766
358757,ACH-000801
360724,ACH-000804
366686,ACH-000811
373101,ACH-000819
373102,ACH-000819
379501,ACH-000827
381717,ACH-000830
384503,ACH-000834
384807,ACH-000835
397216,ACH-000851
416724,ACH-000872
497630,ACH-000930
507337,ACH-000935
507338,ACH-000935
518064,ACH-000939
540347,ACH-000947
540348,ACH-000947
542868,ACH-000948
583236,ACH-000961
586839,ACH-000962
590240,ACH-000963
627816,ACH-000973
638239,ACH-000976
665146,ACH-000982
688891,ACH-000986
688892,ACH-000986
696432,ACH-000987
696433,ACH-000987
806548,ACH-000993
832616,ACH-000996
865693,ACH-000999
934988,ACH-001145
941988,ACH-001190
967826,ACH-001345
985216,ACH-001374
985960,ACH-001377
1019884,ACH-001526
1039854,ACH-001568
1044806,ACH-001606
1064338,ACH-001703
1074771,ACH-001796
1074772,ACH-001796
1084458,ACH-002040
1094352,ACH-002098
1107589,ACH-002147
1116663,ACH-002166
1138279,ACH-002213
1147390,ACH-002224
1147646,ACH-002225
1158356,ACH-002244
1170777,ACH-002258
1170778,ACH-002258
1175411,ACH-002269
1210055,ACH-002343
1216828,ACH-002376
