,DHTKD1 (55526)
ACH-000004,0.17631954784
ACH-000007,0.18729808217900001
ACH-000009,0.203318424362
ACH-000011,0.174484509201
ACH-000012,0.113818837185
ACH-000013,0.17994119388500002
ACH-000014,0.37727099272
ACH-000015,0.237304438461
ACH-000017,0.314160214809
ACH-000018,0.252041703185
ACH-000019,-0.178320715962
ACH-000021,0.00103938380038
ACH-000022,0.251092762944
ACH-000025,0.240879995942
ACH-000028,0.24600383448199997
ACH-000030,0.16044544196
ACH-000035,0.158007146673
ACH-000036,0.17897551195
ACH-000037,0.168969383247
ACH-000039,0.290370568561
ACH-000040,0.30459751094
ACH-000041,0.21304683203400002
ACH-000042,0.0688843758249
ACH-000045,0.20722437127300003
ACH-000047,0.340440802879
ACH-000052,0.26855060811799997
ACH-000053,0.111554590745
ACH-000054,0.0536160182099
ACH-000055,0.13013533806299998
ACH-000060,0.0547810312094
ACH-000067,0.159758248624
ACH-000070,0.19138381165999999
ACH-000075,0.028339155748700003
ACH-000078,0.338767612601
ACH-000082,0.234141417108
ACH-000085,0.0598224345716
ACH-000086,0.21044666294
ACH-000087,0.08311458352739999
ACH-000092,0.16956407245000002
ACH-000095,0.055320739930300004
ACH-000097,0.157602369692
ACH-000098,0.186155025069
ACH-000099,0.18079537834399997
ACH-000108,0.293529749107
ACH-000113,0.22571873083299998
ACH-000115,0.13791124306
ACH-000116,0.159694360754
ACH-000118,0.11176338744200001
ACH-000120,0.0261028254464
ACH-000123,0.199095392302
ACH-000127,0.12913021365900001
ACH-000128,0.37659954939900003
ACH-000132,0.12374344187000001
ACH-000133,0.185371975999
ACH-000137,0.10718328209799999
ACH-000138,0.33113847015500003
ACH-000142,0.37769974463100003
ACH-000143,0.18193401313700003
ACH-000146,0.247287157255
ACH-000148,0.0659025385529
ACH-000150,-0.0184320627761
ACH-000152,0.547006544792
ACH-000153,-0.0203047894653
ACH-000159,0.160951475745
ACH-000160,0.517170707254
ACH-000163,0.255274900146
ACH-000167,0.906317689487
ACH-000168,0.291436057332
ACH-000169,0.244101552339
ACH-000178,0.0507807705399
ACH-000182,0.25102117724399997
ACH-000183,0.10947266022299999
ACH-000188,0.113726671124
ACH-000189,-0.00425837280973
ACH-000190,0.472838198572
ACH-000198,0.145565564407
ACH-000204,0.144526030154
ACH-000206,0.265620616184
ACH-000207,-0.110193715374
ACH-000211,0.195143382666
ACH-000215,0.24925862023899997
ACH-000221,0.197972547477
ACH-000222,0.232714347566
ACH-000223,0.17608729846299997
ACH-000226,0.258767495563
ACH-000227,0.303679439474
ACH-000228,0.0003924712352280001
ACH-000231,0.172129553646
ACH-000232,0.14018412285499998
ACH-000233,0.11243805985300001
ACH-000234,0.200689379702
ACH-000235,0.16407317419700002
ACH-000237,0.203135782385
ACH-000238,0.15297700024900002
ACH-000243,0.21027014948
ACH-000244,0.150977492365
