,DSCR3 (10311)
ACH-000004,-0.446777318747
ACH-000007,-0.20534506272
ACH-000009,0.157013825075
ACH-000011,0.116343744133
ACH-000012,-0.0888177004736
ACH-000013,-0.0294186625719
ACH-000014,-0.16718793446
ACH-000015,-0.0581964590491
ACH-000017,0.119403421117
ACH-000018,0.229340759142
ACH-000019,0.190768202693
ACH-000021,-0.0965661511507
ACH-000022,-0.132438306015
ACH-000025,0.135507101863
ACH-000028,-0.0630257858308
ACH-000030,-0.353244698184
ACH-000035,-0.008193038242350001
ACH-000036,-0.24691256663199998
ACH-000037,-0.110446557978
ACH-000039,0.0380436734653
ACH-000040,-0.211863552865
ACH-000041,-0.0314608352928
ACH-000042,-0.274606485074
ACH-000045,-0.21804861636300002
ACH-000047,-0.158062429284
ACH-000052,-0.0591922753505
ACH-000053,-0.135686758396
ACH-000054,-0.0552952165374
ACH-000055,0.120843666074
ACH-000060,-0.177294456805
ACH-000067,0.0664934723649
ACH-000070,-0.0647350303283
ACH-000075,-0.013969303402599999
ACH-000078,-0.238908650979
ACH-000082,-0.034416497264099996
ACH-000085,0.10883314035
ACH-000086,-0.0870393787002
ACH-000087,-0.170041770367
ACH-000092,0.0388081865841
ACH-000095,-0.0583219596447
ACH-000097,-0.09697432495920001
ACH-000098,-0.0252718531987
ACH-000099,-0.20393178243700003
ACH-000108,-0.202843621765
ACH-000113,-0.11313879365900001
ACH-000115,-0.125641679575
ACH-000116,-0.19141556902399998
ACH-000118,-0.38611818466700004
ACH-000120,-0.22665165417199998
ACH-000123,-0.006885832692289999
ACH-000127,-0.061938533942900005
ACH-000128,-0.018675361819900003
ACH-000132,-0.349125907756
ACH-000133,-0.109201619935
ACH-000137,-0.0842718836646
ACH-000138,-0.12150162885
ACH-000142,-0.454558720306
ACH-000143,0.0846989970744
ACH-000146,-0.159852113124
ACH-000148,0.047495825152
ACH-000150,-0.0627469989604
ACH-000152,-0.04566511348180001
ACH-000153,-0.058148015975900004
ACH-000159,-0.123137416195
ACH-000160,-0.00607105018867
ACH-000163,0.0398889754711
ACH-000167,-0.105948560769
ACH-000168,-0.021803360910900002
ACH-000169,0.0958884625529
ACH-000178,-0.136085135636
ACH-000182,0.07814536349769999
ACH-000183,-0.181164861578
ACH-000188,-0.166080309949
ACH-000189,0.120570682466
ACH-000190,0.0399370862016
ACH-000198,-0.11576579137399999
ACH-000204,-0.310231058412
ACH-000206,0.0326170183519
ACH-000207,0.079421482778
ACH-000211,-0.159690445658
ACH-000215,-0.155465667479
ACH-000221,-0.036890695529
ACH-000222,-0.18950453708599999
ACH-000223,0.0727376264513
ACH-000226,0.015603625271999998
ACH-000227,-0.10620359998199999
ACH-000228,-0.0183988605302
ACH-000231,-0.015703543222100002
ACH-000232,-0.09759494456810001
ACH-000233,0.0059592086172200005
ACH-000234,0.0346036253626
ACH-000235,-0.12479631822899999
ACH-000237,-0.143886088695
ACH-000238,-0.299118447482
ACH-000243,-0.12823036169000002
ACH-000244,-0.284296067628
ACH-000246,-0.0671501981871
ACH-000248,-0.0516473862309
ACH-000250,-0.018416250168599997
ACH-000251,-0.172862067603
ACH-000253,-0.00264085810034
ACH-000255,0.0024785940581
ACH-000256,-0.103355759518
ACH-000257,0.0171261083885
ACH-000258,-0.15746838859600001
ACH-000259,-0.159947922168
ACH-000260,-0.013408093421100001
ACH-000261,-0.10608532272500001
ACH-000262,-0.004234283280750001
ACH-000263,-0.190724520435
ACH-000264,-0.121969731264
ACH-000265,-0.13380403287
ACH-000266,-0.22402641891800001
ACH-000272,-0.021248272293599997
ACH-000273,-0.057533051985099996
ACH-000274,-0.15593567025900001
ACH-000277,0.0351935924885
ACH-000278,-0.135168486197
ACH-000279,0.0534498537736
ACH-000280,-0.199692561319
ACH-000281,-0.335753383891
ACH-000288,-0.0321416033246
ACH-000291,-0.039813850610099996
ACH-000293,0.0028604221973200002
ACH-000294,-0.033855814346799996
ACH-000295,0.15100109638
ACH-000296,-0.348403027508
ACH-000302,0.024187480457099998
ACH-000304,0.323296237074
ACH-000307,-0.09635934458630001
ACH-000308,-0.0333969960218
ACH-000310,-0.34023343724
ACH-000311,-0.320748600195
ACH-000312,-0.294547163447
ACH-000315,-0.032848682800500004
ACH-000316,-0.131157104602
ACH-000317,-0.0554419767419
ACH-000318,-0.0945124231359
ACH-000319,0.102767244376
ACH-000320,-0.292805906811
ACH-000322,-0.156572266427
ACH-000323,0.0436363386927
ACH-000324,-0.19921729872000002
ACH-000329,-0.173407422582
ACH-000330,-0.11717363185799999
ACH-000331,-0.135331269061
ACH-000332,-0.0714179231738
