,DUSP10 (11221)
ACH-000004,-0.0202520020242
ACH-000007,-0.370292713374
ACH-000009,-0.260258766168
ACH-000011,-0.206776251154
ACH-000012,-0.703411557578
ACH-000013,-0.0652018946718
ACH-000014,0.066230868713
ACH-000015,-0.18309792308800002
ACH-000017,-0.18568264912000002
ACH-000018,-0.212485134737
ACH-000019,-0.0957910188984
ACH-000021,-0.6012526103
ACH-000022,-0.22755202279
ACH-000025,-0.0897568448834
ACH-000028,0.0652322782645
ACH-000030,-0.220950248975
ACH-000035,-0.006215210916350001
ACH-000036,-0.219343790456
ACH-000037,-0.498999534779
ACH-000039,-0.108835067476
ACH-000040,-0.0285469320884
ACH-000041,-0.22951487595400002
ACH-000042,-0.20675670554699999
ACH-000045,-0.283829946308
ACH-000047,-0.110824617774
ACH-000052,-0.264106738058
ACH-000053,-0.173580241698
ACH-000054,-0.00329507825608
ACH-000055,-0.7105035224740001
ACH-000060,0.276313892375
ACH-000067,-0.013917440887799998
ACH-000070,-0.057219733311400005
ACH-000075,-0.115644331295
ACH-000078,-0.17731604348700003
ACH-000082,-0.340866669883
ACH-000085,0.13471253045099998
ACH-000086,-0.216355150651
ACH-000087,0.0215428287128
ACH-000092,-0.0229412747247
ACH-000095,-0.196720825476
ACH-000097,0.010014017986600001
ACH-000098,-0.05791608543880001
ACH-000099,-0.18224875885000003
ACH-000108,-0.015316012804299999
ACH-000113,-0.319421115432
ACH-000115,-0.0535598731265
ACH-000116,0.045881157178100006
ACH-000118,-0.0413814380214
ACH-000120,-0.514823614922
ACH-000123,-0.0285423474115
ACH-000127,-0.0781640010095
ACH-000128,0.338749096953
ACH-000132,-0.219308342254
ACH-000133,-0.061472139268899995
ACH-000137,-0.245160822348
ACH-000138,-0.231749625658
ACH-000142,-0.07270304808
ACH-000143,-0.09372305520950001
ACH-000146,-0.100175615146
ACH-000148,-0.37127475669699994
ACH-000150,-0.27674218020999997
ACH-000152,-0.190706031969
ACH-000153,-0.11138894403100001
ACH-000159,-0.18138873671300001
ACH-000160,-0.101545808837
ACH-000163,-0.190526415976
ACH-000167,-0.020250323800700003
ACH-000168,-0.25130889138
ACH-000169,0.0189618032349
ACH-000178,-0.09249586111469998
ACH-000182,-0.0824412630541
ACH-000183,-0.051078576557900005
ACH-000188,-0.402080632843
ACH-000189,-0.113496330109
ACH-000190,-0.11228440389799998
ACH-000198,-0.323965445059
ACH-000204,-0.126876538967
ACH-000206,-0.28567378803300003
ACH-000207,-0.444231011156
ACH-000211,-0.130451285146
ACH-000215,-0.0109107891427
ACH-000221,-0.037611210236199996
ACH-000222,-0.25674308960299996
ACH-000223,-0.139352478735
ACH-000226,-0.198645768719
ACH-000227,-0.11365582817500001
ACH-000228,-0.205510451437
ACH-000231,-0.0783581612552
ACH-000232,-0.159307308044
ACH-000233,-0.506089190998
ACH-000234,-0.439382886725
ACH-000235,-0.290496942004
ACH-000237,-0.145976036733
ACH-000238,-0.498468144048
ACH-000243,-0.11436261468499999
ACH-000244,-0.512411690423
ACH-000246,-0.17371805249400002
ACH-000248,-0.19675644244399998
ACH-000250,0.0557700897267
ACH-000251,-0.111090988777
ACH-000253,-0.47833775229599995
ACH-000255,-0.452923474443
ACH-000256,-0.226964423301
ACH-000257,-0.47773037099
ACH-000258,-0.6803212863670001
ACH-000259,-0.160839850451
ACH-000260,-0.185921616397
ACH-000261,-0.18474310164000002
ACH-000262,-0.205423577562
ACH-000263,-0.348271293932
ACH-000264,-0.19074478041200002
ACH-000265,-0.105739026841
ACH-000266,-0.196563976189
ACH-000272,-0.0679866738492
ACH-000273,-0.125680265521
ACH-000274,-0.26447123289
ACH-000277,-0.07832881730010001
ACH-000278,-0.0934615898331
ACH-000279,0.037590294472800004
ACH-000280,-0.0481000985164
ACH-000281,-0.24697018989300001
ACH-000288,-0.0321749743108
ACH-000291,-0.183392846118
ACH-000293,-0.159897337056
ACH-000294,-0.347987591832
ACH-000295,-0.00799955064794
ACH-000296,-0.342694014323
ACH-000302,-0.0477280745679
ACH-000304,-0.112279069034
ACH-000307,-0.107645222786
ACH-000308,-0.011387951657200001
ACH-000310,-0.520189573886
ACH-000311,-0.444932252435
ACH-000312,-0.013836387059899998
ACH-000315,-0.0321803238213
ACH-000316,-0.288810273405
ACH-000317,-0.06354602902300001
ACH-000318,-0.131139585848
ACH-000319,-0.08337259235389999
ACH-000320,-0.252764461299
ACH-000322,-0.0148841523584
ACH-000323,-0.137780454945
ACH-000324,-0.320520552479
ACH-000329,-0.16826280070500002
ACH-000330,-0.130089976069
ACH-000331,-0.15385070862
ACH-000332,-0.175869084201
ACH-000334,-0.259024440884
ACH-000335,-0.232421325686
ACH-000336,-0.00284891277377
ACH-000337,-0.276021233733
ACH-000339,-0.211576435209
ACH-000341,-0.147662116939
ACH-000348,-0.18478022004
ACH-000350,-0.340837360167
ACH-000352,0.0022835011235500004
ACH-000356,0.0706234970498
ACH-000361,-0.1292741192
ACH-000362,-0.188959444458
ACH-000363,0.0284841031421
ACH-000364,-0.0508238047377
ACH-000365,0.00125464936348
ACH-000366,-0.0398455091058
