,DepMap_ID
10976,ACH-000035
19621,ACH-000060
43704,ACH-000137
58835,ACH-000195
68801,ACH-000225
84684,ACH-000276
89980,ACH-000293
117662,ACH-000369
118770,ACH-000372
138114,ACH-000423
139022,ACH-000425
145729,ACH-000442
239165,ACH-000657
396852,ACH-000849
403752,ACH-000858
439479,ACH-000890
439480,ACH-000890
443234,ACH-000894
445446,ACH-000896
471677,ACH-000916
480091,ACH-000920
486992,ACH-000924
499534,ACH-000930
509871,ACH-000936
522662,ACH-000940
566814,ACH-000955
658463,ACH-000980
663037,ACH-000981
679423,ACH-000984
693623,ACH-000986
737066,ACH-000991
830368,ACH-000995
850986,ACH-000997
908323,ACH-001068
920529,ACH-001100
921790,ACH-001111
934775,ACH-001143
950629,ACH-001208
951924,ACH-001232
972421,ACH-001345
993669,ACH-001402
1003241,ACH-001456
1005101,ACH-001484
1006210,ACH-001485
1023579,ACH-001540
1024984,ACH-001544
1054997,ACH-001642
1063242,ACH-001674
1082511,ACH-002004
1104898,ACH-002139
1182965,ACH-002280
1199434,ACH-002309
1199435,ACH-002309
1215915,ACH-002370
1217133,ACH-002377
1219226,ACH-002387
