,DepMap_ID
14379,ACH-000037
16766,ACH-000047
44195,ACH-000139
46591,ACH-000148
53774,ACH-000176
66923,ACH-000219
68321,ACH-000223
102445,ACH-000326
113235,ACH-000356
117102,ACH-000367
117400,ACH-000368
118872,ACH-000372
125606,ACH-000390
127813,ACH-000395
132577,ACH-000408
144714,ACH-000439
198171,ACH-000570
202735,ACH-000581
211611,ACH-000600
220345,ACH-000619
230959,ACH-000640
236283,ACH-000651
243124,ACH-000664
247234,ACH-000671
274082,ACH-000722
274520,ACH-000723
277531,ACH-000728
296086,ACH-000762
299333,ACH-000767
299334,ACH-000767
300493,ACH-000769
357496,ACH-000799
386813,ACH-000837
390539,ACH-000842
458744,ACH-000908
458745,ACH-000908
473578,ACH-000917
473579,ACH-000917
500281,ACH-000930
551005,ACH-000950
573564,ACH-000957
586448,ACH-000961
619140,ACH-000970
623388,ACH-000971
651330,ACH-000978
651331,ACH-000978
659082,ACH-000980
671074,ACH-000982
671075,ACH-000982
688191,ACH-000985
703016,ACH-000987
730110,ACH-000990
730111,ACH-000990
730112,ACH-000990
730113,ACH-000990
739500,ACH-000991
800441,ACH-000992
800442,ACH-000992
800443,ACH-000992
800444,ACH-000992
800445,ACH-000992
800446,ACH-000992
800447,ACH-000992
800448,ACH-000992
800449,ACH-000992
800450,ACH-000992
800451,ACH-000992
800452,ACH-000992
800453,ACH-000992
800454,ACH-000992
800455,ACH-000992
800456,ACH-000992
800457,ACH-000992
800458,ACH-000992
800459,ACH-000992
800460,ACH-000992
800461,ACH-000992
800462,ACH-000992
800463,ACH-000992
813724,ACH-000993
823456,ACH-000994
831799,ACH-000995
842883,ACH-000996
853428,ACH-000997
863854,ACH-000998
863855,ACH-000998
888838,ACH-000999
947437,ACH-001199
974124,ACH-001345
980344,ACH-001364
985550,ACH-001374
998787,ACH-001415
1004359,ACH-001461
1032350,ACH-001550
1032351,ACH-001550
1052379,ACH-001626
1054042,ACH-001638
1056064,ACH-001645
1062359,ACH-001670
1080691,ACH-002001
1081379,ACH-002002
1082080,ACH-002003
1086809,ACH-002052
1090720,ACH-002083
1101916,ACH-002121
1119476,ACH-002166
1171574,ACH-002258
1171575,ACH-002258
1188391,ACH-002287
1189004,ACH-002288
1222912,ACH-002395
