,DepMap_ID
9871,ACH-000030
27405,ACH-000067
65085,ACH-000215
67852,ACH-000222
69870,ACH-000229
97026,ACH-000313
142878,ACH-000434
164576,ACH-000489
167157,ACH-000496
183262,ACH-000537
193904,ACH-000561
208651,ACH-000594
221829,ACH-000622
230696,ACH-000640
238364,ACH-000656
240053,ACH-000659
261933,ACH-000699
261934,ACH-000699
263475,ACH-000702
265293,ACH-000705
278579,ACH-000730
285185,ACH-000744
290559,ACH-000753
295289,ACH-000761
295805,ACH-000762
299627,ACH-000768
307133,ACH-000779
329269,ACH-000786
329270,ACH-000786
351094,ACH-000790
365239,ACH-000809
418503,ACH-000873
421022,ACH-000875
427442,ACH-000881
434472,ACH-000886
449971,ACH-000900
455353,ACH-000906
456439,ACH-000907
485307,ACH-000923
490319,ACH-000926
493685,ACH-000928
493686,ACH-000928
530644,ACH-000943
578899,ACH-000959
578900,ACH-000959
584928,ACH-000961
584929,ACH-000961
592113,ACH-000963
598246,ACH-000965
598247,ACH-000965
606094,ACH-000967
613222,ACH-000969
706965,ACH-000988
713896,ACH-000989
724149,ACH-000990
772998,ACH-000992
772999,ACH-000992
773000,ACH-000992
773001,ACH-000992
773002,ACH-000992
773003,ACH-000992
773004,ACH-000992
773005,ACH-000992
773006,ACH-000992
773007,ACH-000992
773008,ACH-000992
773009,ACH-000992
773010,ACH-000992
773011,ACH-000992
859008,ACH-000998
877126,ACH-000999
877127,ACH-000999
877128,ACH-000999
877129,ACH-000999
922284,ACH-001113
927349,ACH-001127
945975,ACH-001199
957196,ACH-001303
989218,ACH-001386
990980,ACH-001396
993422,ACH-001402
995085,ACH-001408
1003160,ACH-001456
1039442,ACH-001567
1042119,ACH-001570
1054898,ACH-001642
1069346,ACH-001737
1095877,ACH-002100
1096500,ACH-002101
1111291,ACH-002156
1138741,ACH-002214
1144740,ACH-002222
1150012,ACH-002232
1189777,ACH-002291
1216055,ACH-002371
1217949,ACH-002382
