,FAM86B1 (85002)
ACH-000004,-0.680764245933
ACH-000007,-0.686170294209
ACH-000009,-0.916392999474
ACH-000011,-1.02337866095
ACH-000012,-1.1544853986
ACH-000013,-0.7676845531219999
ACH-000014,-0.906923611743
ACH-000015,-0.824480075607
ACH-000017,-0.859754234247
ACH-000018,-0.7995892730130001
ACH-000019,-0.964985298687
ACH-000021,-0.899008557435
ACH-000022,-0.9681699515950001
ACH-000025,-0.8052535644359999
ACH-000028,-0.8132417342910001
ACH-000030,-0.949417196927
ACH-000035,-0.756546022642
ACH-000036,-0.818098175659
ACH-000037,-1.13743511894
ACH-000039,-1.2426802219
ACH-000040,-0.6669425439459999
ACH-000041,-1.00535193624
ACH-000042,-1.10316879106
ACH-000045,-1.04471215262
ACH-000047,-1.09346944636
ACH-000052,-0.728208096069
ACH-000053,-0.9074572380429999
ACH-000054,-0.813910721469
ACH-000055,-1.11205886483
ACH-000060,-1.1464885767200002
ACH-000067,-0.592328990317
ACH-000070,-0.56245498189
ACH-000075,-0.888394703688
ACH-000078,-0.870570451426
ACH-000082,-0.758523446783
ACH-000085,-0.579737055104
ACH-000086,-0.971866550201
ACH-000087,-0.922026232476
ACH-000092,-0.836975192322
ACH-000095,-0.9337951549179999
ACH-000097,-0.870161716508
ACH-000098,-0.740113353408
ACH-000099,-0.92332439987
ACH-000108,-0.8498997874429999
ACH-000113,-0.950203858134
ACH-000115,-0.9433057492899999
ACH-000116,-0.718252617567
ACH-000118,-0.950408207023
ACH-000120,-0.870121356859
ACH-000123,-0.823450403345
ACH-000127,-0.958442036795
ACH-000128,-0.910045781948
ACH-000132,-0.992978648671
ACH-000133,-1.03244102824
ACH-000137,-0.875155798375
ACH-000138,-0.96517499311
ACH-000142,-1.00766731574
ACH-000143,-0.897547521389
ACH-000146,-1.1721859750599999
ACH-000148,-0.885762867427
ACH-000150,-1.0468240568
ACH-000152,-0.7987735649809999
ACH-000153,-1.10501115364
ACH-000159,-0.931756304984
ACH-000160,-0.910751163354
ACH-000163,-0.845411034564
ACH-000167,-0.745882529436
ACH-000168,-1.5282896033500002
ACH-000169,-0.788289148441
ACH-000178,-0.8780910775949999
ACH-000182,-0.77435950963
ACH-000183,-0.842753418442
ACH-000188,-1.16376836141
ACH-000189,-1.36537326993
ACH-000190,-0.859434924541
ACH-000198,-0.870082012183
ACH-000204,-0.9346536443510001
ACH-000206,-1.3276656021100002
ACH-000207,-1.04678868604
ACH-000211,-0.8060893940530001
ACH-000215,-0.817107634013
ACH-000221,-0.9869993912
ACH-000222,-0.816686255492
ACH-000223,-0.8985609242720001
ACH-000226,-0.9139852622700001
ACH-000227,-1.0004448172799998
ACH-000228,-1.00476486679
ACH-000231,-0.7652279634229999
ACH-000232,-0.870071321137
ACH-000233,-0.8307521928049999
ACH-000234,-1.19146770369
ACH-000235,-1.01306855233
ACH-000237,-0.826810583386
ACH-000238,-0.7457000032969999
ACH-000243,-0.6866006607100001
ACH-000244,-0.738625267168
ACH-000246,-0.856605569188
ACH-000248,-0.410388824077
ACH-000250,-0.9112404886390001
ACH-000251,-1.2575676846500001
ACH-000253,-0.969798868001
ACH-000255,-0.8839745762710001
ACH-000256,-1.22656938456
ACH-000257,-1.08388894404
ACH-000258,-0.407568911096
ACH-000259,-0.9614708541529999
ACH-000260,-1.0895772871
ACH-000261,-0.885285184929
ACH-000262,-1.07069331077
ACH-000263,-1.23338745142
ACH-000264,-0.8706959987970001
ACH-000265,-0.875413511001
ACH-000266,-0.816789975073
ACH-000272,-0.785539448812
ACH-000273,-0.721219418285
ACH-000274,-0.808238568858
ACH-000277,-0.822491988625
ACH-000278,-0.965945125807
ACH-000279,-0.9433858492849999
ACH-000280,-0.7288596647519999
ACH-000281,-0.774947883309
ACH-000288,-0.7636480150130001
ACH-000291,-0.746276169697
ACH-000293,-1.0590964877
ACH-000294,-0.8466501370300001
ACH-000295,-0.7454965204809999
ACH-000296,-1.01650406918
ACH-000302,-0.657743985787
ACH-000304,-1.0900319174200002
ACH-000307,-1.02796858646
ACH-000308,-0.8718577792219999
ACH-000310,-0.690081732812
ACH-000311,-0.9820378384460001
ACH-000312,-0.795743144574
ACH-000315,-1.00994913249
ACH-000316,-0.87977593736
ACH-000317,-0.801408842154
ACH-000318,-1.1898057123299999
ACH-000319,-0.976746740579
ACH-000320,-1.03404825664
ACH-000322,-0.632862381191
ACH-000323,-0.735067850935
ACH-000324,-0.909198307951
ACH-000329,-0.89634329006
ACH-000330,-0.7234345077959999
ACH-000331,-0.8163196481899999
ACH-000332,-0.9012933983750001
ACH-000334,-1.1008422175900001
ACH-000335,-0.821210574168
ACH-000336,-0.725396322199
ACH-000337,-1.2243483874799999
ACH-000339,-0.860764174474
ACH-000341,-0.783527351683
ACH-000348,-0.8446448670450001
ACH-000350,-0.852333482154
ACH-000352,-0.916494884331
ACH-000356,-0.926040788084
ACH-000361,-0.746379693457
ACH-000362,-0.862810907853
ACH-000363,-1.07844044001
ACH-000364,-0.8064766119850001
ACH-000365,-0.736218053522
ACH-000366,-1.03329161055
ACH-000368,-0.8923104521870001
ACH-000374,-0.881062568187
ACH-000375,-0.949543535086
ACH-000376,-0.889800995591
ACH-000381,-1.01444177629
ACH-000383,-0.765512744973
ACH-000387,-0.887236386478
ACH-000389,-0.910517456753
ACH-000390,-0.70146824676
ACH-000393,-0.8608967336869999
ACH-000395,-0.8199061234639999
ACH-000397,-1.09813417663
ACH-000401,-0.7614987837530001
ACH-000402,-0.594797067967
ACH-000403,-1.03309301799
ACH-000404,-1.00060077334
ACH-000406,-0.980617868018
ACH-000407,-0.7434637547490001
ACH-000408,-0.654085176044
ACH-000410,-0.8860522393529999
ACH-000411,-0.901522627752
ACH-000414,-0.918282164173
ACH-000415,-0.777583256237
ACH-000416,-0.772398530257
ACH-000420,-0.772656449244
ACH-000421,-0.7755993705930001
ACH-000424,-0.759190704705
ACH-000425,-0.750638534063
ACH-000426,-1.4494458463100002
ACH-000427,-0.958358996397
ACH-000433,-0.806094717156
ACH-000436,-1.1440302548299999
ACH-000444,-0.7727026385150001
ACH-000445,-0.44628244849200005
ACH-000448,-0.777089146217
ACH-000450,-1.65242336359
ACH-000452,-0.81864924118
ACH-000454,-0.9949497105339999
ACH-000458,-0.853996386732
ACH-000459,-0.843186379595
ACH-000460,-0.907458653731
ACH-000461,-1.1335727507200002
ACH-000463,-0.7394568362970001
ACH-000464,-1.07577919439
ACH-000466,-1.38513363627
ACH-000467,-1.11732522548
ACH-000468,-0.980943000533
ACH-000469,-0.77391812494
ACH-000470,-0.8871820388200001
ACH-000471,-0.8265347775059999
ACH-000472,-0.9006375766150001
ACH-000473,-0.864391860367
ACH-000475,-0.842360996287
ACH-000476,-0.580254435876
ACH-000477,-0.941576084275
ACH-000480,-0.997763591874
ACH-000481,-1.2743305405
ACH-000483,-0.8946559683740001
ACH-000484,-0.8266300001620001
ACH-000485,-0.979437115516
ACH-000486,-0.881474336884
ACH-000487,-0.860006467052
ACH-000488,-0.9257685861280001
ACH-000490,-0.8354841961730001
ACH-000491,-1.00040291074
ACH-000495,-0.819317284233
ACH-000496,-1.05495182612
ACH-000499,-0.840910663133
ACH-000500,-1.1622584284100002
ACH-000502,-0.894466513194
ACH-000503,-1.01656241442
ACH-000505,-0.8408781342749999
ACH-000507,-1.13891033383
ACH-000510,-0.8013372679459999
ACH-000511,-0.750267859924
ACH-000512,-0.407706892592
ACH-000516,-0.6931951077449999
ACH-000517,-0.8374401486759999
ACH-000518,-0.692488930895
ACH-000520,-1.0762983315999999
ACH-000521,-0.855291286403
ACH-000522,-0.788318620466
ACH-000524,-0.707075707694
ACH-000527,-0.966244074412
ACH-000528,-0.9949185478650001
ACH-000537,-0.810197734039
ACH-000541,-0.640865023542
ACH-000542,-0.833632195589
ACH-000544,-0.9370125191740001
ACH-000545,-0.8257572101189999
ACH-000547,-1.0330103002600002
ACH-000548,-1.15456198625
ACH-000549,-0.8595855919200001
ACH-000550,-0.8470045523399999
ACH-000552,-0.936146820139
ACH-000556,-0.8199696571840001
ACH-000557,-1.13101139346
ACH-000570,-0.849362916312
ACH-000571,-1.00405937619
ACH-000573,-0.960798754179
ACH-000576,-0.777067020917
ACH-000580,-1.09799576756
ACH-000584,-0.764067922907
ACH-000585,-0.7618060190989999
ACH-000588,-0.865649374655
ACH-000589,-1.04374185174
ACH-000591,-0.848760094927
ACH-000593,-0.844377346485
ACH-000600,-0.922117091012
ACH-000601,-0.9835667179790001
ACH-000604,-1.13585052669
ACH-000605,-0.644614443434
ACH-000606,-0.864241006726
ACH-000608,-0.7185091128479999
ACH-000614,-0.757273793491
ACH-000616,-0.937792884783
ACH-000618,-0.8849200658930001
ACH-000619,-0.711796500372
ACH-000620,-0.836566040282
ACH-000621,-1.00874310376
ACH-000622,-0.8202408112369999
ACH-000623,-1.02953745153
ACH-000624,-0.76818554167
ACH-000627,-0.803498269672
ACH-000630,-0.9700620572030001
ACH-000632,-0.941544632199
ACH-000633,-1.1503688651200001
ACH-000637,-0.7766973988120001
ACH-000638,-0.837549359406
ACH-000646,-0.7123557590790001
ACH-000647,-0.839814809991
ACH-000648,-1.1628965010899999
ACH-000649,-0.862718529999
ACH-000651,-0.765807211092
ACH-000652,-0.8293936338689999
ACH-000653,-0.914569165811
ACH-000657,-0.752898528216
ACH-000658,-1.01916972281
ACH-000661,-1.02306602942
ACH-000662,-0.8522292040289999
ACH-000663,-0.7642462201450001
ACH-000665,-0.900813062108
ACH-000671,-1.04964902068
ACH-000673,-0.802255560918
ACH-000676,-0.598413644401
ACH-000677,-0.805125569497
ACH-000681,-0.938614796444
ACH-000682,-0.973116325897
ACH-000683,-1.0060427788
ACH-000684,-0.7083060569149999
ACH-000688,-0.755983917332
ACH-000693,-0.7980178473080001
ACH-000694,-0.8748742679260001
ACH-000695,-0.712800063225
ACH-000696,-0.8459359125570001
ACH-000697,-0.8116124826980001
ACH-000699,-1.01989771894
ACH-000701,-0.933869956785
ACH-000706,-0.9197480324930001
ACH-000711,-0.847238593683
ACH-000713,-0.7134158212809999
ACH-000714,-1.09998816926
ACH-000718,-0.890833851024
ACH-000720,-1.13869812535
ACH-000721,-1.02683467475
ACH-000724,-1.09177325965
ACH-000725,-0.866700982192
ACH-000732,-0.979856703749
ACH-000734,-0.988690418854
ACH-000735,-0.777315922811
ACH-000736,-1.01722118279
ACH-000738,-0.9806161795270001
ACH-000746,-0.838712529247
ACH-000747,-0.9498702013689999
ACH-000748,-0.898602164437
ACH-000753,-0.9167329596100001
ACH-000756,-0.908644442599
ACH-000757,-0.909449041912
ACH-000758,-1.0464247403799998
ACH-000760,-0.8463228268359999
ACH-000763,-0.992192811189
ACH-000764,-1.06350609599
ACH-000765,-0.7322330188330001
ACH-000766,-1.12753492565
