,FGGY (55277)
ACH-000004,0.159447064585
ACH-000007,0.23212070634100002
ACH-000009,-0.028763199364
ACH-000011,0.234276772055
ACH-000012,0.0751784913719
ACH-000013,0.018668836173599997
ACH-000014,0.138643794333
ACH-000015,0.0484532648936
ACH-000017,0.301312362012
ACH-000018,0.444022045129
ACH-000019,0.19631523836800002
ACH-000021,0.19218625494600003
ACH-000022,-0.11348059535999998
ACH-000025,0.0656739303225
ACH-000028,0.21584059255999996
ACH-000030,0.101499026055
ACH-000035,0.011595759583999998
ACH-000036,0.183686673936
ACH-000037,-0.022007186129400003
ACH-000039,0.054616641456199995
ACH-000040,-0.0434044003556
ACH-000041,0.0227057783342
ACH-000042,0.228660123833
ACH-000045,0.10759499312899999
ACH-000047,0.309508481026
ACH-000052,-0.115389945244
ACH-000053,0.101123497871
ACH-000054,0.20967618392499998
ACH-000055,0.20009034323
ACH-000060,0.0037895006390300003
ACH-000067,0.025962538567800002
ACH-000070,0.37749310742299996
ACH-000075,0.153820366224
ACH-000078,-0.000769603323387
ACH-000082,0.110052155909
ACH-000085,0.00824454916255
ACH-000086,0.10892966382099999
ACH-000087,0.214441574005
ACH-000092,0.14695295031199998
ACH-000095,0.10318730206900001
ACH-000097,0.011723232896200001
ACH-000098,0.183080359679
ACH-000099,0.114972456285
ACH-000108,0.09919406209550001
ACH-000113,-0.0446699864671
ACH-000115,0.26246196865
ACH-000116,0.141286146733
ACH-000118,0.156263682249
ACH-000120,0.09239237138149999
ACH-000123,-0.0329203677716
ACH-000127,0.111120587129
ACH-000128,0.155916611511
ACH-000132,0.12707534673100002
ACH-000133,0.138975998324
ACH-000137,-0.0057186795165
ACH-000138,0.146634592175
ACH-000142,0.055820337672100005
ACH-000143,0.180227437806
ACH-000146,-0.011537109332299999
ACH-000148,0.061495937035999995
ACH-000150,-0.09880617365800001
ACH-000152,0.015521833331500002
ACH-000153,0.16974240091200002
ACH-000159,0.0668828361294
ACH-000160,0.10531236965099999
ACH-000163,0.30020348927900004
ACH-000167,-0.0607293408967
ACH-000168,0.0747214001238
ACH-000169,0.110892221376
ACH-000178,0.17873454305300002
ACH-000182,0.132261951614
ACH-000183,0.10498379460200001
ACH-000188,0.13596255261
ACH-000189,0.08058998303760001
ACH-000190,0.23032122088799997
ACH-000198,0.07779686234710001
ACH-000204,0.0915124011525
ACH-000206,0.23381840777600002
ACH-000207,0.0219926995823
ACH-000211,0.077584363498
ACH-000215,0.0378781849317
ACH-000221,0.057062263352899996
ACH-000222,0.236108275239
ACH-000223,0.0289566176702
ACH-000226,0.0326379054332
ACH-000227,0.0343146750717
ACH-000228,0.33802009612800005
ACH-000231,0.09157067607989998
ACH-000232,0.08638636606630001
ACH-000233,0.123988888656
ACH-000234,0.12571780632500001
ACH-000235,0.128778363496
ACH-000237,0.132860887035
ACH-000238,0.0559413321753
ACH-000243,0.0565796220603
ACH-000244,0.304242551463
ACH-000246,0.0684525645562
ACH-000248,0.0702458258631
ACH-000250,0.127613215645
ACH-000251,0.10535916886600001
ACH-000253,0.222223674902
ACH-000255,0.18492913933200003
ACH-000256,0.17904546357700002
ACH-000257,-0.232278565993
ACH-000258,0.155471012224
ACH-000259,0.102309468928
ACH-000260,0.105144717554
ACH-000261,0.0801355433203
ACH-000262,-0.000369069033642
ACH-000263,0.26110018076200003
ACH-000264,0.0499463585817
ACH-000265,0.09402195212860001
ACH-000266,0.13631353094100002
ACH-000272,0.087652515278
ACH-000273,0.119381761215
ACH-000274,0.0250918473071
ACH-000277,0.400097795618
ACH-000278,0.0525835220782
ACH-000279,0.08640774861360001
ACH-000280,-0.37616769017800006
ACH-000281,0.191047696314
ACH-000288,0.0977298854765
ACH-000291,0.117741367556
ACH-000293,0.011996041813100001
ACH-000294,0.175871048517
ACH-000295,0.318673627538
ACH-000296,-0.00328959652948
ACH-000302,0.0095176580439
ACH-000304,0.127018574943
ACH-000307,0.12063935041200001
ACH-000308,0.18703418178300002
ACH-000310,-0.23991112457199998
ACH-000311,-0.193821414098
ACH-000312,0.0646408526642
ACH-000315,-0.0620025541055
ACH-000316,0.0989829267107
ACH-000317,-0.0746103034178
ACH-000318,0.07815918874639999
ACH-000319,0.16354370820699998
ACH-000320,-0.27768659285
ACH-000322,-0.08683602030639999
ACH-000323,0.133834392028
ACH-000324,0.0723925744042
ACH-000329,0.19820015870299998
ACH-000330,0.33321399473
ACH-000331,0.09652325960380001
ACH-000332,0.10032251017999999
ACH-000334,0.013646006508899999
ACH-000335,0.527583140208
ACH-000336,0.0952720013146
ACH-000337,0.321752258774
ACH-000339,0.145710550458
ACH-000341,0.07272828148089999
ACH-000348,0.125142626147
ACH-000350,0.0761423767665
ACH-000352,0.242886784545
ACH-000356,-0.09184146662210001
ACH-000361,0.15931641646199998
ACH-000362,0.157568614705
ACH-000363,0.0822407596501
ACH-000364,0.1375903537
ACH-000365,0.246270267428
ACH-000366,0.0515620910547
ACH-000368,-0.0611869056216
ACH-000374,0.107931558486
ACH-000375,0.111567605975
ACH-000376,0.08570508278030001
ACH-000381,-0.00690253409858
ACH-000383,0.0719412910119
ACH-000387,0.0456237613624
ACH-000389,0.0182330579964
ACH-000390,0.18646199000100003
ACH-000393,0.11352600392699999
ACH-000395,-0.0586135180955
ACH-000397,0.101962503618
ACH-000401,-0.26008829542899997
ACH-000402,-0.00286177658192
ACH-000403,0.0615931453986
ACH-000404,0.375325557779
ACH-000406,0.0468802389673
ACH-000407,0.012283727214899998
ACH-000408,0.141328987291
ACH-000410,0.0328214626494
ACH-000411,0.263906585546
ACH-000414,0.117087559111
ACH-000415,0.140309466284
ACH-000416,0.16670556942700002
ACH-000420,0.149585527321
ACH-000421,0.0606009501343
ACH-000424,0.262301260645
ACH-000425,0.08756297685310001
ACH-000426,0.06354211520269999
ACH-000427,0.055286963128
ACH-000433,0.246875745525
ACH-000436,0.143063343706
ACH-000444,0.04531047487480001
ACH-000445,0.148306415541
ACH-000448,0.0096484577591
ACH-000450,0.0123302418738
ACH-000452,0.092104382166
ACH-000454,0.19560985586899998
ACH-000458,0.21978142425
ACH-000459,0.16257728524
ACH-000460,0.00202123560338
ACH-000461,-0.0674432718661
ACH-000463,0.0631147997594
ACH-000464,0.11589107638900001
ACH-000466,0.0737630041306
ACH-000467,0.09760397298519999
ACH-000468,-0.0095125556426
ACH-000469,0.0356933560486
ACH-000470,0.15468408502
ACH-000471,0.17728559832199997
ACH-000472,0.170101539712
ACH-000473,0.00419674383321
ACH-000475,0.119234582489
ACH-000476,0.022807506274900004
ACH-000477,0.211741189371
ACH-000480,0.155547019005
ACH-000481,0.07627027014219999
ACH-000483,0.0548208042781
ACH-000484,0.0910326927919
ACH-000485,0.180551275456
ACH-000486,0.11204282080900001
ACH-000487,0.124598380767
ACH-000488,0.15838844911699998
ACH-000490,0.140981979105
ACH-000491,0.197264588045
ACH-000495,0.13332433061899998
ACH-000496,0.109149252453
ACH-000499,0.09666451891550001
ACH-000500,0.20872391966499998
ACH-000502,0.10952874605999999
ACH-000503,0.42590974703699996
ACH-000505,0.153422335227
ACH-000507,-0.0750469999913
ACH-000510,0.118445243256
ACH-000511,0.056569421350300006
ACH-000512,0.13652006701199998
ACH-000516,0.101938489298
ACH-000517,0.10922810017899999
ACH-000518,0.228799963419
ACH-000520,0.132975324233
ACH-000521,0.083385149114
ACH-000522,-0.0378646685052
ACH-000524,0.0913688035998
ACH-000527,0.119287152837
ACH-000528,0.0989571606983
ACH-000537,0.132886607151
ACH-000541,-0.00648571977246
ACH-000542,0.0389250769585
ACH-000544,0.017288369640400002
ACH-000545,-0.0646275214923
ACH-000547,0.14455360151799998
ACH-000548,0.319638147955
ACH-000549,0.16785762261599999
ACH-000550,-0.005131834469609999
ACH-000552,0.24198180322299997
ACH-000556,0.283397301417
ACH-000557,0.0410674281736
ACH-000570,0.11541738678300001
ACH-000571,0.06609083094399999
ACH-000573,0.0611279649679
ACH-000576,0.07847636612350001
ACH-000580,0.161018113996
ACH-000584,0.109855536049
ACH-000585,0.178512605396
ACH-000588,0.0303391522462
ACH-000589,0.17959470588399998
ACH-000591,0.272229103616
ACH-000593,0.204874851802
ACH-000600,0.0206177033487
ACH-000601,0.12975610317199998
ACH-000604,0.00125449437489
ACH-000605,0.33724605350599995
ACH-000606,0.19248143563099998
ACH-000608,0.0470914638893
ACH-000614,0.112900883351
ACH-000616,0.254185733877
ACH-000618,0.11835422026100001
ACH-000619,0.278880631932
ACH-000620,0.156387119495
ACH-000621,0.131560882363
ACH-000622,0.271794362167
ACH-000623,0.0811172559313
ACH-000624,0.158639325747
ACH-000627,0.0145586705227
ACH-000630,0.0470536750936
ACH-000632,0.107970081033
ACH-000633,-0.0045153948633699995
ACH-000637,0.15828877102299999
ACH-000638,0.0449755823814
ACH-000646,0.222233870845
ACH-000647,0.14662613634299998
ACH-000648,0.09746044469569999
ACH-000649,0.0784563177425
ACH-000651,0.0181812058632
ACH-000652,-0.10974473797
ACH-000653,0.00119132150301
ACH-000657,0.037044947144
ACH-000658,0.139974844368
ACH-000661,0.21187529104299999
ACH-000662,0.28864472024099996
ACH-000663,0.26779629973200003
ACH-000665,0.0630036689603
ACH-000671,0.07085752912650001
ACH-000673,0.138373812821
