,DepMap_ID
640,ACH-000003
2709,ACH-000009
27673,ACH-000068
29865,ACH-000078
30468,ACH-000081
39967,ACH-000122
48799,ACH-000157
92206,ACH-000299
95147,ACH-000308
100190,ACH-000319
123377,ACH-000384
136935,ACH-000420
143808,ACH-000437
171657,ACH-000508
188603,ACH-000550
189658,ACH-000552
191567,ACH-000556
208097,ACH-000592
208353,ACH-000593
220775,ACH-000620
228147,ACH-000636
235448,ACH-000650
239149,ACH-000657
239150,ACH-000657
240175,ACH-000659
240176,ACH-000659
281478,ACH-000736
287273,ACH-000747
311438,ACH-000784
366415,ACH-000810
396838,ACH-000849
401408,ACH-000855
403731,ACH-000858
442416,ACH-000893
456678,ACH-000907
462588,ACH-000911
499442,ACH-000930
509826,ACH-000936
513754,ACH-000937
536444,ACH-000945
555400,ACH-000952
569929,ACH-000956
576201,ACH-000958
582202,ACH-000960
585576,ACH-000961
588971,ACH-000962
626376,ACH-000972
629729,ACH-000973
629730,ACH-000973
637120,ACH-000975
662932,ACH-000981
669312,ACH-000982
674115,ACH-000983
685988,ACH-000985
685989,ACH-000985
693431,ACH-000986
693432,ACH-000986
700995,ACH-000987
715332,ACH-000989
726698,ACH-000990
736800,ACH-000991
736801,ACH-000991
783758,ACH-000992
783759,ACH-000992
783760,ACH-000992
783761,ACH-000992
783762,ACH-000992
783763,ACH-000992
830132,ACH-000995
830133,ACH-000995
830134,ACH-000995
850698,ACH-000997
850699,ACH-000997
850700,ACH-000997
882206,ACH-000999
882207,ACH-000999
882208,ACH-000999
882209,ACH-000999
882210,ACH-000999
892793,ACH-001022
902234,ACH-001065
923616,ACH-001126
928609,ACH-001127
937108,ACH-001145
939528,ACH-001162
946582,ACH-001199
949184,ACH-001203
950616,ACH-001208
950841,ACH-001210
963695,ACH-001333
963696,ACH-001333
989337,ACH-001386
989338,ACH-001386
996856,ACH-001412
1002722,ACH-001453
1005076,ACH-001484
1014397,ACH-001517
1048975,ACH-001610
1050823,ACH-001611
1055785,ACH-001645
1076104,ACH-001842
1079125,ACH-001861
1092832,ACH-002096
1093845,ACH-002097
1097794,ACH-002106
1101107,ACH-002120
1118656,ACH-002166
1118657,ACH-002166
1118658,ACH-002166
1134532,ACH-002199
1136071,ACH-002205
1141352,ACH-002220
1145666,ACH-002222
1147750,ACH-002225
1162457,ACH-002255
1182071,ACH-002278
1189843,ACH-002291
1190944,ACH-002295
1193195,ACH-002302
1199274,ACH-002309
1213239,ACH-002358
