,GBX2 (2637)
ACH-000004,0.241257392277
ACH-000007,0.0871235572503
ACH-000009,0.0415441782203
ACH-000011,-0.023040408514
ACH-000012,-0.0845541410901
ACH-000013,-0.0650030913345
ACH-000014,-0.22565040700800001
ACH-000015,-0.0314319111253
ACH-000017,0.00462530222359
ACH-000018,-0.066853841961
ACH-000019,-0.037400285048800004
ACH-000021,0.0111774534676
ACH-000022,-0.0744388395745
ACH-000025,-0.128364650504
ACH-000028,-0.0116166196533
ACH-000030,-0.0016008433717799998
ACH-000035,0.07477315004410001
ACH-000036,0.00753288376067
ACH-000037,-0.37857814162500003
ACH-000039,0.0427206276379
ACH-000040,-0.124811130997
ACH-000041,-0.168385082865
ACH-000042,-0.00806148149813
ACH-000045,0.127671352029
ACH-000047,-0.0749711265508
ACH-000052,-0.217502023288
ACH-000053,-0.0102484127859
ACH-000054,-0.065193502738
ACH-000055,-0.121547706359
ACH-000060,0.0057332696412899994
ACH-000067,-0.157888944645
ACH-000070,-0.52206568649
ACH-000075,-0.14460656502
ACH-000078,-0.0860030962727
ACH-000082,0.0249799869008
ACH-000085,-0.186840179382
ACH-000086,-0.0446654153357
ACH-000087,-0.328390909358
ACH-000092,-0.155300826032
ACH-000095,-0.126623222604
ACH-000097,-0.12894632162
ACH-000098,-0.130983156874
ACH-000099,-0.131183931023
ACH-000108,0.053221886688699996
ACH-000113,-0.0755608891731
ACH-000115,-0.006989294653170001
ACH-000116,-0.0955273738383
ACH-000118,-0.000167732522355
ACH-000120,0.129974064311
ACH-000123,-0.0101279745101
ACH-000127,-0.045501930556
ACH-000128,0.0457813648274
ACH-000132,-0.0033423917523900002
ACH-000133,-0.105181203357
ACH-000137,-0.0627370256144
ACH-000138,0.0151225623407
ACH-000142,0.0008277418743550001
ACH-000143,-0.118243848695
ACH-000146,0.042270634875400004
ACH-000148,0.00775348391455
ACH-000150,-0.224846830819
ACH-000152,-0.0149998617671
ACH-000153,-0.362039370503
ACH-000159,-0.060746349216300004
ACH-000160,-0.116135897164
ACH-000163,-0.139226703311
ACH-000167,-0.5884912207199999
ACH-000168,0.08383870998060002
ACH-000169,-0.09723715282430001
ACH-000178,-0.228401336281
ACH-000182,-0.00285623305319
ACH-000183,0.00342444482213
ACH-000188,-0.0521101587545
ACH-000189,-0.131618421329
ACH-000190,-0.190839159212
ACH-000198,-0.080991097444
ACH-000204,-0.142833837007
ACH-000206,0.0890245373364
ACH-000207,0.0735947891811
ACH-000211,-0.11029784595
ACH-000215,-0.21260152436299998
ACH-000221,-0.237485903387
ACH-000222,0.148167751388
ACH-000223,0.036456340982499995
ACH-000226,-0.0878443694331
ACH-000227,0.106405696089
ACH-000228,-0.0822866807372
ACH-000231,-0.141659923531
ACH-000232,-0.283237564265
ACH-000233,-0.013756363455600001
ACH-000234,-0.0167706518999
ACH-000235,0.030967569555799997
ACH-000237,-0.148401801748
ACH-000238,-0.100511139332
ACH-000243,0.0178061223091
ACH-000244,0.0350033854335
ACH-000246,-0.005559174639
ACH-000248,-0.127872779927
ACH-000250,-0.24829028026299998
ACH-000251,0.0237247716549
ACH-000253,0.0109949580239
ACH-000255,-0.29485323018000004
ACH-000256,0.05665544651380001
ACH-000257,-0.00266913264769
ACH-000258,0.206460376217
ACH-000259,-0.034765999334
ACH-000260,-0.041339478524300005
ACH-000261,-0.057940649384199995
ACH-000262,-0.0386978068397
ACH-000263,0.261878300176
ACH-000264,-0.0166097142816
ACH-000265,0.10229057906500001
ACH-000266,-0.109639388037
ACH-000272,-0.174598039412
ACH-000273,-0.122511799756
ACH-000274,-0.09095158759269999
ACH-000277,-0.275208323211
ACH-000278,-0.13362972095
ACH-000279,-0.0090412821929
ACH-000280,-0.103402833833
ACH-000281,0.168734357605
ACH-000288,-0.153601733429
ACH-000291,-0.0815239974442
ACH-000293,-0.0846718783439
ACH-000294,0.22041653707400002
ACH-000295,0.154707572461
ACH-000296,0.0758681976815
ACH-000302,-0.0136723175775
ACH-000304,-0.0295384988369
ACH-000307,-0.0354293614024
ACH-000308,-0.122671672082
ACH-000310,-0.10303530790899999
ACH-000311,-0.101256089704
ACH-000312,-0.0631339968044
ACH-000315,0.0628793586449
ACH-000316,-0.22340900883499998
ACH-000317,-0.07596259574900001
ACH-000318,-0.205511552414
ACH-000319,-0.204796488187
ACH-000320,0.140006384274
