,GPR35 (2859)
ACH-000004,-0.088563234102
ACH-000007,-0.170132793289
ACH-000009,-0.0020468537902
ACH-000011,-0.136300454198
ACH-000012,-0.19550837970499998
ACH-000013,-0.295731808188
ACH-000014,0.06321228656240001
ACH-000015,-0.20396039956700002
ACH-000017,-0.08884876881010001
ACH-000018,-0.050478357837
ACH-000019,-0.10566183703
ACH-000021,-0.0702557737011
ACH-000022,-0.257852897828
ACH-000025,-0.130074667424
ACH-000028,-0.0869712283729
ACH-000030,0.00610426357739
ACH-000035,-0.0646158305174
ACH-000036,-0.112322403133
ACH-000037,-0.16006637988800002
ACH-000039,-0.24596316579
ACH-000040,-0.17297732082000003
ACH-000041,-0.24551983100000002
ACH-000042,-0.37628735771099997
ACH-000045,-0.0038800908390999997
ACH-000047,-0.190223852252
ACH-000052,-0.0967610999091
ACH-000053,-0.160824890152
ACH-000054,-0.120275031603
ACH-000055,0.038842601074800004
ACH-000060,0.0323863133152
ACH-000067,-0.24710663966200003
ACH-000070,-0.0549164060661
ACH-000075,-0.184938545129
ACH-000078,-0.352058348622
ACH-000082,-0.12386116151799999
ACH-000085,0.006092559131869999
ACH-000086,-0.0390314492349
ACH-000087,-0.200467633798
ACH-000092,-0.14620650026499998
ACH-000095,-0.025430176035799997
ACH-000097,-0.074657274826
ACH-000098,-0.126957631269
ACH-000099,-0.289038692414
ACH-000108,-0.13862650962099998
ACH-000113,-0.217519350158
ACH-000115,-0.034682776436400005
ACH-000116,-0.35288077417400004
ACH-000118,-0.048677189900500004
ACH-000120,-0.08072718132500001
ACH-000123,0.0180934369188
ACH-000127,-0.268097893903
ACH-000128,-0.38384626219400003
ACH-000132,-0.167068373589
ACH-000133,-0.0940632634187
ACH-000137,-0.126239843518
ACH-000138,0.019446095953799997
ACH-000142,-0.029539082844500002
ACH-000143,-0.201470778731
ACH-000146,-0.0806677153437
ACH-000148,-0.0214889832652
ACH-000150,-0.42654394104099996
ACH-000152,-0.315089020384
ACH-000153,-0.126894005548
ACH-000159,-0.0626354451246
ACH-000160,-0.08994042759839999
ACH-000163,-0.0451010784836
ACH-000167,-0.012579719956100001
ACH-000168,-0.18811513503600003
ACH-000169,-0.204934044934
ACH-000178,-0.105706755549
ACH-000182,-0.093720021822
ACH-000183,0.0167286840397
ACH-000188,-0.145701843066
ACH-000189,0.20737304870099998
ACH-000190,-0.14666523068
ACH-000198,0.125329473978
ACH-000204,-0.323168428964
ACH-000206,-0.341752445517
ACH-000207,0.0311238287354
ACH-000211,-0.118816887175
ACH-000215,-0.19215280327
ACH-000221,-0.16224498503100002
ACH-000222,-0.190460623444
ACH-000223,-0.19921532982299997
ACH-000226,-0.0062552132582899996
ACH-000227,-0.19230986985100001
ACH-000228,-0.130907552765
ACH-000231,-0.10451762622199999
ACH-000232,-0.021514763614400002
ACH-000233,-0.11504114467
ACH-000234,-0.187870764553
ACH-000235,-0.11990028768899999
ACH-000237,-0.149817543817
ACH-000238,-0.051011858428
ACH-000243,-0.168655430585
ACH-000244,-0.6804043395909999
ACH-000246,-0.135995910378
ACH-000248,-0.196604794686
ACH-000250,-0.18525298836100001
ACH-000251,-0.356792295332
ACH-000253,-0.0958796044024
ACH-000255,0.0107812334382
ACH-000256,-0.158671474441
ACH-000257,0.0100226966995
ACH-000258,-0.0116038004096
ACH-000259,-0.17730382454100002
ACH-000260,-0.160820499703
ACH-000261,-0.124147331724
ACH-000262,-0.318450149723
ACH-000263,-0.122124959279
ACH-000264,-0.103488744543
ACH-000265,-0.0835049101788
ACH-000266,-0.260492402439
ACH-000272,-0.234957454847
ACH-000273,-0.17559467250799998
ACH-000274,-0.18653667902399998
ACH-000277,-0.308881256151
ACH-000278,-0.09777820866039999
ACH-000279,-0.163813094076
ACH-000280,-0.0849922213889
ACH-000281,-0.31695128658300004
ACH-000288,-0.356498947508
ACH-000291,-0.209973179162
ACH-000293,-0.343662202855
ACH-000294,0.14246877602
ACH-000295,-0.196062861826
ACH-000296,-0.0236174045547
ACH-000302,-0.0027839494973499997
ACH-000304,-0.199227295111
ACH-000307,-0.17802595146699998
ACH-000308,-0.21440737809000002
ACH-000310,-0.40731622999300005
ACH-000311,-0.08316492770160001
ACH-000312,-0.25874645357299997
ACH-000315,-0.0155207917071
ACH-000316,-0.384757089398
ACH-000317,-0.10993042437799999
ACH-000318,-0.00376385488453
ACH-000319,0.0040658317052500005
ACH-000320,0.0169444760139
ACH-000322,-0.29050404901099997
ACH-000323,-0.212843506833
ACH-000324,-0.143043950655
ACH-000329,-0.23087092772700002
ACH-000330,-0.18619602768
ACH-000331,-0.0679252455216
ACH-000332,-0.26625706691100004
ACH-000334,-0.018720721900400004
ACH-000335,-0.147103388851
ACH-000336,-0.11646649505899999
ACH-000337,-0.267464934808
ACH-000339,-0.209403889833
ACH-000341,-0.162178230467
ACH-000348,-0.18480415039200002
ACH-000350,-0.18811556891399997
ACH-000352,-0.278588090091
ACH-000356,-0.171572564396
ACH-000361,-0.14558787564099998
ACH-000362,-0.12490788559299999
ACH-000363,-0.116025864939
ACH-000364,-0.033382007431200005
ACH-000365,-0.0819033613699
ACH-000366,-0.193116426938
ACH-000368,-0.274127602831
ACH-000374,-0.10097652145
ACH-000375,-0.33870205023
ACH-000376,-0.0315586023348
ACH-000381,-0.35824482821500003
ACH-000383,-0.183974537031
ACH-000387,-0.0321155209322
ACH-000389,-0.255110328698
ACH-000390,-0.0929367237634
ACH-000393,-0.217438870545
ACH-000395,-0.187827607747
ACH-000397,-0.09323039057350001
ACH-000401,-0.184026056291
ACH-000402,-0.140651549232
ACH-000403,-0.196236330278
ACH-000404,-0.086381403674
ACH-000406,-0.154323606804
ACH-000407,-0.313059158204
ACH-000408,-0.353433207368
ACH-000410,-0.278052477037
ACH-000411,-0.33459558298500003
ACH-000414,-0.0735240891914
ACH-000415,-0.044120575479300005
ACH-000416,-0.276233331197
ACH-000420,-0.344089757399
ACH-000421,-0.125232284412
ACH-000424,-0.217204670905
ACH-000425,-0.105617992252
ACH-000426,0.106077532708
ACH-000427,-0.164095043442
ACH-000433,0.19306886465700002
ACH-000436,-0.21315473943399998
ACH-000444,-0.214914632708
ACH-000445,-0.366234913339
ACH-000448,-0.134189603601
ACH-000450,-0.217263798005
ACH-000452,-0.23858652874699998
ACH-000454,-0.142912518798
ACH-000458,-0.229493030289
ACH-000459,-0.09771758296319999
ACH-000460,-0.0597227535111
ACH-000461,-0.137962428201
ACH-000463,-0.175411104644
ACH-000464,-0.277193293271
ACH-000466,-0.0777016470217
ACH-000467,-0.17175076483899998
ACH-000468,-0.101148471897
ACH-000469,-0.166228360021
ACH-000470,-0.30739461795699996
ACH-000471,-0.0957210138627
ACH-000472,-0.0737159058262
ACH-000473,-0.0661819447541
ACH-000475,-0.120710866117
ACH-000476,-0.0931034179424
ACH-000477,-0.13992611896999999
ACH-000480,-0.034727712115300007
ACH-000481,-0.0229650663846
ACH-000483,-0.0391678916981
ACH-000484,-0.0628525017466
ACH-000485,-0.101208682622
ACH-000486,-0.164747703591
ACH-000487,-0.245567349772
ACH-000488,-0.201739901253
ACH-000490,-0.189075851028
ACH-000491,-0.247601843182
ACH-000495,-0.20933105592300003
ACH-000496,-0.100510640402
ACH-000499,-0.12187877909299999
ACH-000500,0.276677287889
ACH-000502,-0.20115960249499998
ACH-000503,0.131946701955
ACH-000505,-0.19421435607999998
ACH-000507,-0.43886667840899996
ACH-000510,-0.23498674049899998
ACH-000511,-0.0725490309944
ACH-000512,0.0343367920698
ACH-000516,-0.120084671086
ACH-000517,-0.139488454305
ACH-000518,-0.055586497525699996
ACH-000520,-0.206415515827
ACH-000521,-0.41665435830499997
ACH-000522,-0.053828959615699994
ACH-000524,-0.148406002714
ACH-000527,-0.308964547823
ACH-000528,-0.167327025572
ACH-000537,0.00782745288962
ACH-000541,-0.200651720332
ACH-000542,-0.0708247424733
ACH-000544,-0.231555227408
ACH-000545,-0.00984509128909
ACH-000547,0.12189168361500001
ACH-000548,-0.059712965538099995
ACH-000549,-0.164171015933
ACH-000550,-0.10890756152999999
ACH-000552,-0.333755918632
ACH-000556,-0.19009062759
ACH-000557,0.00556038622672
ACH-000570,-0.109438586995
ACH-000571,-0.193581508647
ACH-000573,-0.0284404597431
ACH-000576,0.005609101622649999
ACH-000580,-0.139018563269
ACH-000584,-0.0507066101061
ACH-000585,-0.109360066161
ACH-000588,0.0348364057124
ACH-000589,-0.20179531189599997
ACH-000591,-0.07404410016889999
ACH-000593,-0.203179226697
ACH-000600,-0.213674165528
ACH-000601,-0.260320315671
ACH-000604,-0.141838189438
ACH-000605,-0.041323317693199996
ACH-000606,-0.0066617639269
ACH-000608,-0.049675737573699995
ACH-000614,-0.0933281254817
ACH-000616,-0.35816553505500004
ACH-000618,-0.10402747239
ACH-000619,-0.111556730616
ACH-000620,-0.339661942546
ACH-000621,-0.12025225120300001
ACH-000622,-0.0742604149884
