,DepMap_ID
29814,ACH-000078
106114,ACH-000338
140226,ACH-000428
180135,ACH-000528
212238,ACH-000602
214687,ACH-000607
258669,ACH-000694
354855,ACH-000795
361185,ACH-000804
363140,ACH-000806
370343,ACH-000815
408657,ACH-000864
434499,ACH-000886
491794,ACH-000927
519247,ACH-000939
519248,ACH-000939
541547,ACH-000947
549650,ACH-000950
569430,ACH-000956
592195,ACH-000963
662043,ACH-000981
673590,ACH-000983
714084,ACH-000989
714085,ACH-000989
773604,ACH-000992
773605,ACH-000992
773606,ACH-000992
773607,ACH-000992
819619,ACH-000994
819620,ACH-000994
848858,ACH-000997
877742,ACH-000999
897008,ACH-001042
912963,ACH-001081
919113,ACH-001091
927512,ACH-001127
1013413,ACH-001517
1048100,ACH-001610
1048101,ACH-001610
1118092,ACH-002166
1144858,ACH-002222
