,GTF2A1 (2957)
ACH-000004,-0.818887838281
ACH-000007,-1.0915080515100002
ACH-000009,-0.644798684067
ACH-000011,-1.14185332689
ACH-000012,-0.959189272719
ACH-000013,-1.1325734394
ACH-000014,-0.804242488412
ACH-000015,-0.783615379065
ACH-000017,-0.90876607534
ACH-000018,-0.786715351749
ACH-000019,-0.739942739753
ACH-000021,-0.6717608265170001
ACH-000022,-0.823914216294
ACH-000025,-0.563324206293
ACH-000028,-0.790339875238
ACH-000030,-1.17507467018
ACH-000035,-0.820790762105
ACH-000036,-1.1100979195899998
ACH-000037,-0.7388839995379999
ACH-000039,-0.6045826286429999
ACH-000040,-0.564819146253
ACH-000041,-0.9838549249490001
ACH-000042,-0.667167304749
ACH-000045,-0.71125508249
ACH-000047,-0.983316321161
ACH-000052,-0.774331745238
ACH-000053,-0.8608173921600001
ACH-000054,-0.8925989223109999
ACH-000055,-0.853717628872
ACH-000060,-0.713355417726
ACH-000067,-0.7894081369399999
ACH-000070,-0.904532144952
ACH-000075,-0.808429658532
ACH-000078,-0.6855144528270001
ACH-000082,-1.0942754193200002
ACH-000085,-0.9825006916560001
ACH-000086,-0.75150405706
ACH-000087,-1.16114576752
ACH-000092,-1.0577262760200001
ACH-000095,-0.7394538751090001
ACH-000097,-0.8690901276240001
ACH-000098,-1.05585630522
ACH-000099,-0.81635834124
ACH-000108,-0.812168137668
ACH-000113,-0.779444663875
ACH-000115,-0.928047136788
ACH-000116,-0.8847624807950001
ACH-000118,-0.832235984696
ACH-000120,-0.697653312243
ACH-000123,-1.01463066128
ACH-000127,-0.70078693595
ACH-000128,-0.6910042749009999
ACH-000132,-0.948092599244
ACH-000133,-0.792789060912
ACH-000137,-1.29414402926
ACH-000138,-0.559145287075
ACH-000142,-0.737721352075
ACH-000143,-1.0735909902
ACH-000146,-0.685178654231
ACH-000148,-0.9659381046340001
ACH-000150,-0.5539846465070001
ACH-000152,-0.9137765051160001
ACH-000153,-0.562031968084
ACH-000159,-1.00885604021
ACH-000160,-0.538312565878
ACH-000163,-0.657150435254
ACH-000167,-0.395863390965
ACH-000168,-0.65019598134
ACH-000169,-1.25681989196
ACH-000178,-0.924302575527
ACH-000182,-0.7599955227949999
ACH-000183,-1.1560514639100001
ACH-000188,-0.537425368639
ACH-000189,-1.05783267302
ACH-000190,-0.374069657495
ACH-000198,-0.856179520809
ACH-000204,-0.844899556295
ACH-000206,-0.752316658101
ACH-000207,-0.5475340497569999
ACH-000211,-0.780833220322
ACH-000215,-0.79942725645
ACH-000221,-0.7157792658609999
ACH-000222,-0.773422898728
ACH-000223,-0.898698183883
ACH-000226,-0.811114093111
ACH-000227,-0.653613491904
ACH-000228,-0.650403465177
ACH-000231,-0.825038929708
ACH-000232,-0.844372503213
ACH-000233,-0.623784925405
ACH-000234,-0.990386058029
ACH-000235,-0.7915347676189999
ACH-000237,-1.1071703689599999
ACH-000238,-0.5206762620009999
ACH-000243,-0.9312177540889999
ACH-000244,-0.863237360912
ACH-000246,-1.11078924085
ACH-000248,-0.865425106653
ACH-000250,-1.0459558422
ACH-000251,-0.533569698068
ACH-000253,-1.11471426869
ACH-000255,-0.664383926384
ACH-000256,-0.830773169728
ACH-000257,-0.975542774092
ACH-000258,-1.37340481066
ACH-000259,-0.784924507043
ACH-000260,-0.8546404214129999
ACH-000261,-0.9599048345119999
ACH-000262,-1.01692389153
ACH-000263,-0.37540489518200004
ACH-000264,-0.781735136598
ACH-000265,-0.7092977678560001
ACH-000266,-0.594064927076
ACH-000272,-0.959995501497
ACH-000273,-0.8433773302869999
ACH-000274,-0.762356949067
ACH-000277,-1.0706699923899998
ACH-000278,-0.733306683753
ACH-000279,-0.6940521418760001
ACH-000280,-0.674936961936
ACH-000281,-0.77802329276
ACH-000288,-0.594975443214
ACH-000291,-0.753616171911
ACH-000293,-0.846123841161
ACH-000294,-0.579171693489
ACH-000295,-1.3907090925999999
ACH-000296,-0.617965838768
ACH-000302,-0.9919280202259999
ACH-000304,-0.958877382036
ACH-000307,-0.805924644369
ACH-000308,-1.07226753444
ACH-000310,-0.390883722772
ACH-000311,-0.589916496252
ACH-000312,-0.677097142142
ACH-000315,-1.3731624074700002
ACH-000316,-0.70106523736
ACH-000317,-1.11023844153
ACH-000318,-0.722506096386
ACH-000319,-0.854419808045
ACH-000320,-0.236861474951
ACH-000322,-0.570435334658
ACH-000323,-0.72252267234
ACH-000324,-1.01323583186
ACH-000329,-0.48889895003399997
ACH-000330,-0.755091066323
ACH-000331,-0.985591059942
ACH-000332,-0.731906444444
ACH-000334,-1.39268278871
ACH-000335,-1.06632198682
ACH-000336,-0.8387823453509999
ACH-000337,-0.876408618183
ACH-000339,-0.301410099794
ACH-000341,-0.862995802721
ACH-000348,-0.780118845335
ACH-000350,-1.0816822958399999
ACH-000352,-1.09968962652
ACH-000356,-0.8446074912229999
ACH-000361,-0.852818616241
ACH-000362,-0.733113381819
ACH-000363,-1.3635650594
ACH-000364,-1.17791525133
ACH-000365,-0.977587869108
ACH-000366,-1.01267195417
ACH-000368,-0.965488286088
ACH-000374,-0.502652898285
ACH-000375,-0.777897557491
ACH-000376,-0.8529851992049999
ACH-000381,-0.937768651988
ACH-000383,-0.6902218542290001
ACH-000387,-0.796585415976
ACH-000389,-0.7809637207260001
ACH-000390,-0.747998598718
ACH-000393,-1.09328419242
ACH-000395,-0.22746524925900002
ACH-000397,-0.9359797646670001
