,DepMap_ID
44401,ACH-000141
66271,ACH-000219
246840,ACH-000671
415430,ACH-000871
434124,ACH-000886
495407,ACH-000929
501623,ACH-000932
505847,ACH-000934
511161,ACH-000937
548550,ACH-000950
665890,ACH-000982
665891,ACH-000982
676071,ACH-000984
719696,ACH-000990
855605,ACH-000998
965332,ACH-001336
968594,ACH-001345
968595,ACH-001345
988253,ACH-001382
1006644,ACH-001489
1040001,ACH-001568
1065073,ACH-001709
1080180,ACH-002001
1080866,ACH-002002
1081556,ACH-002003
1095318,ACH-002099
1102350,ACH-002123
1125664,ACH-002178
1190732,ACH-002295
1222553,ACH-002395
