,HDAC10 (83933)
ACH-000004,-0.16084034850099999
ACH-000007,0.134227888656
ACH-000009,-0.06639577558
ACH-000011,-0.00048707326487300003
ACH-000012,-0.0437078295649
ACH-000013,0.058154315300500005
ACH-000014,0.167924726523
ACH-000015,0.141574045954
ACH-000017,-0.0150691030403
ACH-000018,0.14454522488500002
ACH-000019,0.21280257072900002
ACH-000021,0.19072346921500002
ACH-000022,0.270608857219
ACH-000025,0.0657711539371
ACH-000028,0.15044563989499998
ACH-000030,0.012642551276200002
ACH-000035,0.265167993721
ACH-000036,0.0487750463071
ACH-000037,0.07037682756189999
ACH-000039,0.0228393811965
ACH-000040,0.271803508887
ACH-000041,0.0668187582965
ACH-000042,0.124807150435
ACH-000045,-0.058346608895800005
ACH-000047,0.0567213019403
ACH-000052,0.27267601797400004
ACH-000053,0.0914937821212
ACH-000054,0.146660114815
ACH-000055,0.0169204769414
ACH-000060,-0.062383099769400006
ACH-000067,0.151878524711
ACH-000070,0.0629160716965
ACH-000075,0.336690103855
ACH-000078,0.0570739682092
ACH-000082,0.165053344528
ACH-000085,0.117824905253
ACH-000086,0.239353222469
ACH-000087,-0.050887351283599995
ACH-000092,0.268685693923
ACH-000095,0.026341708066
ACH-000097,0.14712392222100001
ACH-000098,0.257642054189
ACH-000099,0.0798109506646
ACH-000108,0.009535348245290001
ACH-000113,0.0738296452862
ACH-000115,-0.09495405760549999
ACH-000116,0.147383402724
ACH-000118,0.10704036735200001
ACH-000120,-0.0198501695063
ACH-000123,8.32220896179e-05
ACH-000127,0.16221021179300002
ACH-000128,0.160491539872
ACH-000132,0.1524399206
ACH-000133,0.08555503375199999
ACH-000137,0.0905353626619
ACH-000138,0.0799744211071
ACH-000142,0.046130412538900004
ACH-000143,0.117500532159
ACH-000146,0.078483210888
ACH-000148,0.0820887313488
ACH-000150,0.0842837690581
ACH-000152,0.0308875642601
ACH-000153,0.11409067890999999
ACH-000159,0.263761792309
ACH-000160,0.361332154659
ACH-000163,0.0870021474167
ACH-000167,0.416566684793
ACH-000168,0.116987077623
ACH-000169,0.1286003905
ACH-000178,0.159761223451
ACH-000182,0.21216234147399998
ACH-000183,0.049545714025
ACH-000188,0.198409315896
ACH-000189,-0.127381774949
ACH-000190,0.43957571516599997
ACH-000198,0.119761488951
ACH-000204,0.0649504369968
ACH-000206,0.0203886563435
ACH-000207,0.166874097008
ACH-000211,0.11744194683499999
ACH-000215,0.103350524604
ACH-000221,-0.0381868281933
ACH-000222,0.0663746935363
ACH-000223,0.15388357271
ACH-000226,0.253119022684
ACH-000227,-0.0908962055579
ACH-000228,0.22724066460700001
ACH-000231,0.07042535847880001
ACH-000232,0.05795216646219999
ACH-000233,0.07251554784530001
ACH-000234,0.023425512985400004
ACH-000235,0.126532979628
ACH-000237,0.204884478021
ACH-000238,0.06339127671190001
ACH-000243,0.173392622124
ACH-000244,0.160129268362
ACH-000246,0.065290002544
ACH-000248,0.075988174398
ACH-000250,0.119190291192
ACH-000251,0.12682079645400002
ACH-000253,0.0770744933604
ACH-000255,0.12963425078500002
ACH-000256,0.0747162853892
ACH-000257,-0.141642272459
ACH-000258,0.040660920192199995
ACH-000259,0.0734002035862
ACH-000260,0.15159548905099998
ACH-000261,0.05202879671
ACH-000262,0.21126708994000004
ACH-000263,0.200042196867
ACH-000264,0.00539440552923
ACH-000265,0.0924856003565
ACH-000266,0.049402922367199995
ACH-000272,0.182157078153
ACH-000273,0.0731609845218
