,DepMap_ID
15925,ACH-000044
18925,ACH-000057
24810,ACH-000065
24811,ACH-000065
24812,ACH-000065
34931,ACH-000101
38237,ACH-000114
95175,ACH-000308
108030,ACH-000344
123705,ACH-000385
129938,ACH-000401
164696,ACH-000489
203184,ACH-000582
263687,ACH-000702
269648,ACH-000714
273946,ACH-000722
337570,ACH-000786
337571,ACH-000786
337572,ACH-000786
337573,ACH-000786
337574,ACH-000786
337575,ACH-000786
367281,ACH-000811
418786,ACH-000873
440563,ACH-000891
485512,ACH-000923
503116,ACH-000932
528004,ACH-000942
531739,ACH-000943
536609,ACH-000945
550355,ACH-000950
572971,ACH-000957
663188,ACH-000981
663189,ACH-000981
663190,ACH-000981
669739,ACH-000982
674326,ACH-000983
679631,ACH-000984
708701,ACH-000988
708702,ACH-000988
727443,ACH-000990
727444,ACH-000990
727445,ACH-000990
788070,ACH-000992
788071,ACH-000992
788072,ACH-000992
788073,ACH-000992
788074,ACH-000992
788075,ACH-000992
788076,ACH-000992
788077,ACH-000992
788078,ACH-000992
788079,ACH-000992
788080,ACH-000992
788081,ACH-000992
788082,ACH-000992
788083,ACH-000992
788084,ACH-000992
788085,ACH-000992
788086,ACH-000992
811953,ACH-000993
811954,ACH-000993
821815,ACH-000994
830581,ACH-000995
840361,ACH-000996
851354,ACH-000997
906426,ACH-001067
972702,ACH-001345
972703,ACH-001345
1022795,ACH-001536
1055858,ACH-001645
1096055,ACH-002100
1106665,ACH-002144
1125922,ACH-002178
