,DepMap_ID
14227,ACH-000037
83275,ACH-000270
107408,ACH-000342
119582,ACH-000374
121054,ACH-000378
121831,ACH-000380
157949,ACH-000472
174514,ACH-000514
208188,ACH-000592
217015,ACH-000611
250997,ACH-000678
270286,ACH-000715
270645,ACH-000716
361621,ACH-000804
361622,ACH-000804
388808,ACH-000840
401643,ACH-000855
406754,ACH-000861
409124,ACH-000864
433741,ACH-000885
466199,ACH-000913
483026,ACH-000921
532499,ACH-000943
542524,ACH-000947
643827,ACH-000977
688065,ACH-000985
739297,ACH-000991
739298,ACH-000991
799115,ACH-000992
799116,ACH-000992
799117,ACH-000992
799118,ACH-000992
799119,ACH-000992
799120,ACH-000992
799121,ACH-000992
799122,ACH-000992
799123,ACH-000992
799124,ACH-000992
799125,ACH-000992
799126,ACH-000992
799127,ACH-000992
799128,ACH-000992
799129,ACH-000992
799130,ACH-000992
799131,ACH-000992
799132,ACH-000992
799133,ACH-000992
813557,ACH-000993
813558,ACH-000993
813559,ACH-000993
842651,ACH-000996
888381,ACH-000999
888382,ACH-000999
888383,ACH-000999
891704,ACH-001002
908885,ACH-001075
916558,ACH-001081
947379,ACH-001199
950715,ACH-001208
980746,ACH-001365
1017582,ACH-001521
1041010,ACH-001568
1053008,ACH-001630
1059956,ACH-001650
1074064,ACH-001790
1089024,ACH-002059
1123865,ACH-002175
1133973,ACH-002198
1156407,ACH-002238
1161820,ACH-002253
1220405,ACH-002388
