,HSD11B1 (3290)
ACH-000004,-0.0505497184346
ACH-000007,-0.123594716811
ACH-000009,-0.323653423185
ACH-000011,-0.182335389144
ACH-000012,-0.235709767656
ACH-000013,-0.0896876413939
ACH-000014,-0.038987334479099994
ACH-000015,-0.10898916703299999
ACH-000017,-0.0710537111686
ACH-000018,-0.45217420292599997
ACH-000019,-0.16149460773399998
ACH-000021,-0.350905574048
ACH-000022,-0.16929509620400002
ACH-000025,-0.079189845277
ACH-000028,0.08349276552469999
ACH-000030,-0.0964411368517
ACH-000035,-0.0630451732517
ACH-000036,-0.196544830636
ACH-000037,-0.344384420424
ACH-000039,-0.295610879147
ACH-000040,-0.146948184777
ACH-000041,-0.148284371166
ACH-000042,-0.119803160249
ACH-000045,-0.116358032186
ACH-000047,-0.21027451090799998
ACH-000052,-0.19240696333299998
ACH-000053,-0.135516089692
ACH-000054,-0.28254147183899997
ACH-000055,-0.277114059437
ACH-000060,-0.20413870216899999
ACH-000067,-0.214814119418
ACH-000070,-0.382870405765
ACH-000075,-0.0401958100291
ACH-000078,-0.054591314481
ACH-000082,-0.275961021824
ACH-000085,-0.17628701956099999
ACH-000086,-0.267935962711
ACH-000087,-0.0291448129349
ACH-000092,-0.21999903671100002
ACH-000095,-0.15199961560699998
ACH-000097,-0.30440283235800003
ACH-000098,-0.148597857719
ACH-000099,-0.18213147616
ACH-000108,-0.135473010055
ACH-000113,-0.303519509868
ACH-000115,-0.165197116909
ACH-000116,0.018450278775799998
ACH-000118,-0.0638613217736
ACH-000120,-0.23241996920299998
ACH-000123,-0.132137873718
ACH-000127,-0.0802597399313
ACH-000128,0.00027555593361199997
ACH-000132,-0.284842379933
ACH-000133,-0.161114235094
ACH-000137,0.0626276981651
ACH-000138,0.050161736323499996
ACH-000142,-0.17685865874
ACH-000143,-0.238915423952
ACH-000146,-0.138200779691
ACH-000148,-0.018163288695900004
ACH-000150,0.00995160704408
ACH-000152,-0.145098290633
ACH-000153,-0.31103745566
ACH-000159,-0.25480083577
ACH-000160,-0.252913755792
ACH-000163,-0.268174977793
ACH-000167,-0.0198244020488
ACH-000168,0.10553066458100001
ACH-000169,-0.139724335275
ACH-000178,-0.29026735192200004
ACH-000182,-0.11848432584
ACH-000183,-0.286300101945
ACH-000188,-0.167821329243
ACH-000189,-0.061200842375300005
ACH-000190,0.16045612050000002
ACH-000198,-0.13888390838300002
ACH-000204,-0.292436609081
ACH-000206,-0.16542000135600002
ACH-000207,-0.311943649212
ACH-000211,-0.154287049461
ACH-000215,-0.190805814191
ACH-000221,0.017747598471500002
ACH-000222,-0.0948516372319
ACH-000223,-0.15962590252699999
ACH-000226,-0.195648267102
