,DepMap_ID
30657,ACH-000082
54896,ACH-000180
117058,ACH-000367
155169,ACH-000466
179045,ACH-000525
202301,ACH-000580
225775,ACH-000631
261424,ACH-000698
262094,ACH-000699
287354,ACH-000747
287355,ACH-000747
339041,ACH-000786
339042,ACH-000786
339043,ACH-000786
339044,ACH-000786
339045,ACH-000786
383801,ACH-000832
427794,ACH-000881
539578,ACH-000946
596104,ACH-000964
618559,ACH-000970
629995,ACH-000973
650304,ACH-000978
663392,ACH-000981
674406,ACH-000983
674407,ACH-000983
738069,ACH-000991
791484,ACH-000992
791485,ACH-000992
791486,ACH-000992
791487,ACH-000992
791488,ACH-000992
791489,ACH-000992
791490,ACH-000992
791491,ACH-000992
791492,ACH-000992
791493,ACH-000992
791494,ACH-000992
791495,ACH-000992
791496,ACH-000992
791497,ACH-000992
812459,ACH-000993
822182,ACH-000994
841069,ACH-000996
851850,ACH-000997
884996,ACH-000999
884997,ACH-000999
897711,ACH-001049
899290,ACH-001060
934041,ACH-001138
946938,ACH-001199
954319,ACH-001274
995913,ACH-001410
1000248,ACH-001418
1019716,ACH-001525
1024556,ACH-001542
1069781,ACH-001737
1094005,ACH-002097
1098939,ACH-002111
1141433,ACH-002220
1146096,ACH-002222
1156887,ACH-002239
1168821,ACH-002256
1182102,ACH-002278
1187949,ACH-002287
1194284,ACH-002305
1216306,ACH-002372
1227472,ACH-002397
