,IFIT1B (439996)
ACH-000004,-0.0504534998478
ACH-000007,-0.15214713609000002
ACH-000009,-0.047472613355800004
ACH-000011,0.0787236923085
ACH-000012,-0.0385141690888
ACH-000013,-0.037869039757
ACH-000014,-0.249680693485
ACH-000015,-0.09496417242360002
ACH-000017,-0.027916971157499998
ACH-000018,-0.126580886132
ACH-000019,-0.0375970849046
ACH-000021,-0.0314204277435
ACH-000022,0.103759159759
ACH-000025,-0.0274307541046
ACH-000028,-0.19883008452
ACH-000030,-0.131470114124
ACH-000035,0.00740923166535
ACH-000036,-0.255890409983
ACH-000037,0.00992505246062
ACH-000039,-0.10710078679
ACH-000040,-0.0421022880336
ACH-000041,-0.07583311691719999
ACH-000042,0.021475071528500003
ACH-000045,-0.211842709564
ACH-000047,0.0029405604441299998
ACH-000052,0.0405963306099
ACH-000053,0.00569218190173
ACH-000054,-0.011253461676100002
ACH-000055,-0.0304976930165
ACH-000060,-0.06985172861160001
ACH-000067,-0.206913638999
ACH-000070,-0.119320638459
ACH-000075,-0.319945176286
ACH-000078,-0.197395999887
ACH-000082,0.08083901029960001
ACH-000085,-0.00109683492318
ACH-000086,-0.08841229558569999
ACH-000087,-0.0318348276271
ACH-000092,-0.044524168514800004
ACH-000095,-0.0309156097272
ACH-000097,0.00384527245903
ACH-000098,-0.117814694369
ACH-000099,-0.0287407834805
ACH-000108,-0.11339623594499999
ACH-000113,-0.217513482009
ACH-000115,0.054139688100699995
ACH-000116,-0.037114893297000004
ACH-000118,-0.026764410925
ACH-000120,-0.10863706493799999
ACH-000123,-0.130952459717
ACH-000127,-0.11559488320999999
ACH-000128,-0.067431238994
ACH-000132,-0.0307031246067
ACH-000133,-0.021000255170999998
ACH-000137,-0.0410895193061
ACH-000138,0.09402882087189998
ACH-000142,0.0491130505626
ACH-000143,0.0468872328433
ACH-000146,0.112562509519
ACH-000148,-0.182660541151
ACH-000150,-0.0672489568821
ACH-000152,-0.168788410115
ACH-000153,0.007005438976640001
