,DepMap_ID
3418,ACH-000012
30343,ACH-000081
70420,ACH-000232
77869,ACH-000255
84391,ACH-000276
85721,ACH-000280
96185,ACH-000311
115303,ACH-000363
117434,ACH-000369
121095,ACH-000379
130394,ACH-000403
135752,ACH-000417
146729,ACH-000445
160387,ACH-000480
181241,ACH-000532
197486,ACH-000569
218508,ACH-000616
236895,ACH-000653
248807,ACH-000675
284220,ACH-000743
289699,ACH-000752
312875,ACH-000786
359929,ACH-000803
424377,ACH-000879
448196,ACH-000899
449366,ACH-000900
463131,ACH-000912
487734,ACH-000925
500484,ACH-000931
517991,ACH-000939
526477,ACH-000942
534216,ACH-000945
537505,ACH-000946
573810,ACH-000958
577527,ACH-000959
586761,ACH-000962
604144,ACH-000967
604145,ACH-000967
611015,ACH-000969
619480,ACH-000971
627759,ACH-000973
665036,ACH-000982
675261,ACH-000984
681278,ACH-000985
718116,ACH-000990
843753,ACH-000997
890675,ACH-001001
893186,ACH-001024
919866,ACH-001097
921478,ACH-001111
921479,ACH-001111
923805,ACH-001127
934913,ACH-001145
944518,ACH-001199
944519,ACH-001199
961833,ACH-001333
967709,ACH-001345
1000475,ACH-001431
1010361,ACH-001500
1016514,ACH-001521
1016515,ACH-001521
1041799,ACH-001570
1068564,ACH-001737
1087331,ACH-002059
1099885,ACH-002116
1109495,ACH-002152
1112096,ACH-002159
1124745,ACH-002177
1162663,ACH-002256
1190382,ACH-002294
1194381,ACH-002306
1195171,ACH-002309
1195172,ACH-002309
1226689,ACH-002397
