,IL1RL1 (9173)
ACH-000004,0.136046994596
ACH-000007,0.0884758635475
ACH-000009,-0.00682958231194
ACH-000011,0.00329121574608
ACH-000012,0.0815445520318
ACH-000013,0.107033637822
ACH-000014,0.044848758999500006
ACH-000015,0.0782461335769
ACH-000017,0.123025478509
ACH-000018,0.193723360194
ACH-000019,0.09309687346909999
ACH-000021,0.221083823395
ACH-000022,0.22070797768000003
ACH-000025,0.10921446991599999
ACH-000028,0.09333065530519999
ACH-000030,0.145638320892
ACH-000035,0.027377502839599995
ACH-000036,0.06972807422180001
ACH-000037,0.238488559274
ACH-000039,0.042235972361000004
ACH-000040,0.341529991633
ACH-000041,0.132123733046
ACH-000042,0.271559526032
ACH-000045,0.0339045783085
ACH-000047,0.204033158797
ACH-000052,0.153602175431
ACH-000053,-0.0312414918298
ACH-000054,0.19219196956700002
ACH-000055,0.33891520519199997
ACH-000060,0.112086994353
ACH-000067,0.0887637883193
ACH-000070,0.182681033389
ACH-000075,0.119663547308
ACH-000078,0.0364704133007
ACH-000082,0.123383553321
ACH-000085,0.054708807410000004
ACH-000086,0.0768833501412
ACH-000087,0.123057785529
ACH-000092,-0.11463562613500002
ACH-000095,0.176675684649
ACH-000097,0.156665613103
ACH-000098,0.029001483337400002
ACH-000099,0.030320554091300002
ACH-000108,0.0831295816812
ACH-000113,0.0222686699788
ACH-000115,0.205939940751
ACH-000116,0.139224934301
ACH-000118,-0.0141536802437
ACH-000120,0.230959552775
ACH-000123,0.0469138287684
ACH-000127,0.11774180953800001
ACH-000128,0.155397193993
ACH-000132,0.120144941757
ACH-000133,0.128744374352
ACH-000137,0.11649885019999999
ACH-000138,0.137912612084
ACH-000142,0.07314243425099999
ACH-000143,0.152074547931
ACH-000146,0.152336645641
ACH-000148,0.09896686360750001
ACH-000150,0.33517242861200003
ACH-000152,0.0955828230668
ACH-000153,0.123848669049
ACH-000159,0.02331834772
ACH-000160,0.019489038378999998
ACH-000163,0.00200476786676
ACH-000167,0.019569224839
ACH-000168,0.132606593306
ACH-000169,0.167599658856
ACH-000178,0.017390643069099997
ACH-000182,0.128701164017
ACH-000183,0.0982837665938
ACH-000188,0.321880921249
ACH-000189,0.14856331638
ACH-000190,0.08039362156539999
ACH-000198,0.023595452272000002
ACH-000204,0.119414036712
ACH-000206,0.00947100847929
ACH-000207,0.09131368166500001
ACH-000211,0.06330835114109999
ACH-000215,0.11858559603499999
ACH-000221,0.19820504004500003
ACH-000222,-0.00982791092392
ACH-000223,0.0389309049898
ACH-000226,0.0621470630295
ACH-000227,0.0918781332962
ACH-000228,0.0905527875573
ACH-000231,0.11279552150599999
ACH-000232,0.165423716952
ACH-000233,-0.0673724276412
ACH-000234,-0.0075181976834
ACH-000235,0.12981306675999998
ACH-000237,0.12120551016100001
ACH-000238,0.061737434111
ACH-000243,-0.00653275750705
ACH-000244,0.411211679218
ACH-000246,0.232207102135
ACH-000248,0.164475747225
ACH-000250,0.133403849061
ACH-000251,0.176832261831
ACH-000253,0.159542157199
ACH-000255,-0.112554974953
ACH-000256,0.213017548428
ACH-000257,0.24899648978500002
ACH-000258,0.25361623590300003
ACH-000259,0.047557174820800005
ACH-000260,0.050868067021199996
ACH-000261,0.0924681474708
