,DepMap_ID
98280,ACH-000314
139112,ACH-000425
222352,ACH-000623
232334,ACH-000643
252067,ACH-000680
301807,ACH-000771
379375,ACH-000826
397979,ACH-000851
440696,ACH-000891
558831,ACH-000953
563627,ACH-000954
570509,ACH-000956
586296,ACH-000961
603558,ACH-000966
655778,ACH-000979
655779,ACH-000979
655780,ACH-000979
695280,ACH-000986
729483,ACH-000990
797259,ACH-000992
797260,ACH-000992
797261,ACH-000992
842321,ACH-000996
941435,ACH-001184
951683,ACH-001228
957315,ACH-001303
964892,ACH-001334
965204,ACH-001335
973802,ACH-001345
1002078,ACH-001443
1002399,ACH-001450
1035152,ACH-001552
1037849,ACH-001563
1052993,ACH-001630
1053260,ACH-001632
1068513,ACH-001736
1076647,ACH-001848
1082617,ACH-002004
1095145,ACH-002098
1150831,ACH-002232
1203681,ACH-002315
