,DepMap_ID
3960,ACH-000014
5941,ACH-000019
7726,ACH-000024
9059,ACH-000028
10722,ACH-000034
18680,ACH-000057
19708,ACH-000061
51608,ACH-000168
63945,ACH-000211
99558,ACH-000318
116392,ACH-000366
118495,ACH-000372
127866,ACH-000396
137865,ACH-000423
183786,ACH-000539
187286,ACH-000548
188240,ACH-000550
193090,ACH-000560
198249,ACH-000571
199508,ACH-000574
205446,ACH-000587
208231,ACH-000593
234208,ACH-000648
235121,ACH-000650
237779,ACH-000655
286277,ACH-000746
296761,ACH-000764
313541,ACH-000786
313542,ACH-000786
313543,ACH-000786
370863,ACH-000816
373096,ACH-000819
375438,ACH-000822
383372,ACH-000832
384803,ACH-000835
406149,ACH-000861
416719,ACH-000872
422754,ACH-000877
454314,ACH-000905
458926,ACH-000909
468739,ACH-000915
470335,ACH-000916
473715,ACH-000918
503817,ACH-000933
528635,ACH-000943
545873,ACH-000949
619537,ACH-000971
638890,ACH-000977
644581,ACH-000978
644582,ACH-000978
656465,ACH-000980
675347,ACH-000984
681366,ACH-000985
731110,ACH-000991
741716,ACH-000992
741717,ACH-000992
741718,ACH-000992
741719,ACH-000992
741720,ACH-000992
741721,ACH-000992
741722,ACH-000992
741723,ACH-000992
806509,ACH-000993
824516,ACH-000995
824517,ACH-000995
832565,ACH-000996
832566,ACH-000996
843883,ACH-000997
865532,ACH-000999
865533,ACH-000999
865534,ACH-000999
892271,ACH-001021
894887,ACH-001030
899454,ACH-001063
900925,ACH-001064
909258,ACH-001081
923919,ACH-001127
923920,ACH-001127
957349,ACH-001306
982224,ACH-001369
1010858,ACH-001517
1010859,ACH-001517
1019247,ACH-001525
1033653,ACH-001552
1039846,ACH-001568
1076684,ACH-001853
1158670,ACH-002245
1158877,ACH-002246
1162790,ACH-002256
1162791,ACH-002256
