,DepMap_ID
150890,ACH-000454
240724,ACH-000660
248129,ACH-000673
335470,ACH-000786
335471,ACH-000786
335472,ACH-000786
335473,ACH-000786
335474,ACH-000786
335475,ACH-000786
335476,ACH-000786
351258,ACH-000790
362332,ACH-000805
368190,ACH-000812
381378,ACH-000829
395086,ACH-000847
473254,ACH-000917
513780,ACH-000937
517182,ACH-000938
525617,ACH-000941
555410,ACH-000952
562636,ACH-000954
562637,ACH-000954
576228,ACH-000958
579438,ACH-000959
602737,ACH-000966
614159,ACH-000969
622357,ACH-000971
701027,ACH-000987
726758,ACH-000990
784125,ACH-000992
784126,ACH-000992
784127,ACH-000992
784128,ACH-000992
784129,ACH-000992
784130,ACH-000992
784131,ACH-000992
784132,ACH-000992
784133,ACH-000992
784134,ACH-000992
784135,ACH-000992
784136,ACH-000992
784137,ACH-000992
784138,ACH-000992
784139,ACH-000992
882367,ACH-000999
955718,ACH-001282
972276,ACH-001345
972277,ACH-001345
1005085,ACH-001484
1006191,ACH-001485
1014436,ACH-001517
1088535,ACH-002059
1102449,ACH-002123
1151816,ACH-002235
1168172,ACH-002256
