,ITK (3702)
ACH-000004,-0.0529786914509
ACH-000007,0.143987207227
ACH-000009,-0.137406199288
ACH-000011,-0.029526851980000005
ACH-000012,0.0620889380243
ACH-000013,-0.0219345253904
ACH-000014,0.11338065613
ACH-000015,-0.0384772597917
ACH-000017,0.0329396450967
ACH-000018,-0.018406297609099998
ACH-000019,0.147291431284
ACH-000021,-0.0941178686947
ACH-000022,-0.05450280036590001
ACH-000025,0.09081869157839999
ACH-000028,0.139100973584
ACH-000030,-0.0357518522698
ACH-000035,0.041454074079
ACH-000036,0.03560218144630001
ACH-000037,-0.268973845524
ACH-000039,0.07676232736739999
ACH-000040,0.12008649701099999
ACH-000041,0.0621745033557
ACH-000042,-0.10267758363900001
ACH-000045,-0.009712044654950002
ACH-000047,-0.0456564626055
ACH-000052,-0.15400417605299999
ACH-000053,-0.142306808938
ACH-000054,-0.0651381933393
ACH-000055,0.226546045005
ACH-000060,0.019315587566200002
ACH-000067,0.0169698993137
ACH-000070,-0.144479601327
ACH-000075,0.132996142496
ACH-000078,0.132360182316
ACH-000082,0.0009234017276900001
ACH-000085,-0.209105527882
ACH-000086,0.0010669872975
ACH-000087,-0.145529952915
ACH-000092,0.13207660799
ACH-000095,-0.022673442088799997
ACH-000097,-0.0168996895072
ACH-000098,0.113958991009
ACH-000099,0.05911522115259999
ACH-000108,0.0237114973715
ACH-000113,-0.0729018431918
ACH-000115,-0.0756609136967
ACH-000116,0.0383174162498
ACH-000118,-0.0177956284674
ACH-000120,0.16952094201499998
ACH-000123,-0.041812737046
ACH-000127,-0.00595613403436
ACH-000128,0.132168755936
ACH-000132,0.06622206767000001
ACH-000133,-0.0845404897553
ACH-000137,0.0416070044548
ACH-000138,-0.122974684827
ACH-000142,0.17636661398400003
ACH-000143,0.0575883928603
ACH-000146,-0.049218646518599994
ACH-000148,-0.023615253450700004
ACH-000150,-0.190506670183
ACH-000152,-0.124444377032
ACH-000153,0.254992268196
ACH-000159,0.11744404389699999
ACH-000160,0.116525784593
ACH-000163,0.08172128033210001
ACH-000167,-0.0535136312142
ACH-000168,-0.018228083474
ACH-000169,0.0029535443238100003
ACH-000178,0.0594302942914
ACH-000182,-0.0654115234843
ACH-000183,0.0473647728933
ACH-000188,0.043552283056100004
ACH-000189,-0.173682816956
ACH-000190,-0.206622025145
ACH-000198,-0.084783120167
ACH-000204,-0.102907801108
ACH-000206,-0.139856555582
ACH-000207,0.28740443957
ACH-000211,-0.010547657089899999
ACH-000215,0.0115573898263
ACH-000221,-0.00932063972872
ACH-000222,0.06335778070340001
ACH-000223,-0.08294651372260001
ACH-000226,0.00573983770424
ACH-000227,-0.013037396197600002
ACH-000228,0.034709873932699996
ACH-000231,0.007118359650260001
ACH-000232,-0.10939415375499999
ACH-000233,-0.07392887378060001
ACH-000234,-0.0447561928118
ACH-000235,-0.0602248879691
ACH-000237,0.0239982230957
ACH-000238,-0.0455745865443
ACH-000243,0.0151220001886
ACH-000244,0.246048392854
ACH-000246,-0.0284500419588
ACH-000248,0.09956705395469999
ACH-000250,0.00241378196156
ACH-000251,0.07025934936389999
ACH-000253,0.026591193636099998
ACH-000255,-0.00358180628937
ACH-000256,0.0038302522990700002
ACH-000257,-0.46500321069399997
ACH-000258,0.015345832865299999
ACH-000259,-0.030154333371700003
ACH-000260,0.19415326645999997
ACH-000261,-0.057116128800099995
ACH-000262,0.0076441279230600005
ACH-000263,0.167734607701
ACH-000264,0.0218716724058
ACH-000265,0.03554141022
ACH-000266,-0.0288947197518
ACH-000272,-0.0375212327623
ACH-000273,0.109780987204
ACH-000274,-0.0863400689962
ACH-000277,-0.08703107092660001
ACH-000278,0.176965359485
ACH-000279,0.0100683775157
