,DepMap_ID
54990,ACH-000181
64568,ACH-000213
88210,ACH-000288
105985,ACH-000338
138780,ACH-000425
183477,ACH-000538
228606,ACH-000637
239864,ACH-000659
260925,ACH-000698
269129,ACH-000714
271389,ACH-000718
271390,ACH-000718
271391,ACH-000718
277699,ACH-000729
305145,ACH-000777
384988,ACH-000835
393033,ACH-000845
412984,ACH-000869
486117,ACH-000924
495567,ACH-000929
521163,ACH-000940
526869,ACH-000942
611875,ACH-000969
631530,ACH-000974
646034,ACH-000978
646035,ACH-000978
807947,ACH-000993
834601,ACH-000996
845723,ACH-000997
869780,ACH-000999
910716,ACH-001081
910717,ACH-001081
1020807,ACH-001529
1020808,ACH-001529
1046508,ACH-001610
1053449,ACH-001638
1074583,ACH-001794
1078158,ACH-001856
1082251,ACH-002004
1085540,ACH-002045
1136250,ACH-002206
1201490,ACH-002310
1212082,ACH-002352
