,DepMap_ID
4682,ACH-000015
10876,ACH-000035
16418,ACH-000047
36086,ACH-000107
36308,ACH-000108
49391,ACH-000159
49962,ACH-000161
54798,ACH-000180
59868,ACH-000198
84204,ACH-000275
99230,ACH-000317
108126,ACH-000345
147961,ACH-000448
147962,ACH-000448
147963,ACH-000448
158394,ACH-000475
160867,ACH-000481
163777,ACH-000488
179873,ACH-000528
180662,ACH-000530
190456,ACH-000554
196384,ACH-000566
229927,ACH-000639
243930,ACH-000666
245541,ACH-000669
248259,ACH-000674
274576,ACH-000724
287980,ACH-000749
296798,ACH-000764
360776,ACH-000804
362761,ACH-000806
364755,ACH-000809
376245,ACH-000823
446980,ACH-000898
455032,ACH-000906
478029,ACH-000920
478030,ACH-000920
495202,ACH-000929
508588,ACH-000936
510849,ACH-000937
518160,ACH-000939
520715,ACH-000940
520716,ACH-000940
528833,ACH-000943
528834,ACH-000943
540472,ACH-000947
559579,ACH-000954
559580,ACH-000954
568114,ACH-000956
571062,ACH-000957
574029,ACH-000958
574030,ACH-000958
594430,ACH-000964
594431,ACH-000964
608468,ACH-000968
615863,ACH-000970
619774,ACH-000971
645048,ACH-000978
675649,ACH-000984
718798,ACH-000990
718799,ACH-000990
718800,ACH-000990
815246,ACH-000994
815247,ACH-000994
824902,ACH-000995
824903,ACH-000995
844390,ACH-000997
854875,ACH-000998
866696,ACH-000999
866697,ACH-000999
866698,ACH-000999
866699,ACH-000999
893279,ACH-001024
909658,ACH-001081
909659,ACH-001081
947893,ACH-001203
961996,ACH-001333
978693,ACH-001363
985225,ACH-001374
986034,ACH-001377
990101,ACH-001391
992992,ACH-001402
1011112,ACH-001517
1011113,ACH-001517
1022159,ACH-001532
1045981,ACH-001610
1045982,ACH-001610
1056141,ACH-001647
1056744,ACH-001650
1075365,ACH-001820
1083538,ACH-002020
1091766,ACH-002092
1110316,ACH-002154
1116831,ACH-002166
1135472,ACH-002202
1153152,ACH-002238
1156955,ACH-002240
1159314,ACH-002248
1163146,ACH-002256
1201815,ACH-002311
1207490,ACH-002341
1212838,ACH-002356
1218583,ACH-002386
