,KLRF2 (100431172)
ACH-000004,-0.0874328776199
ACH-000007,0.0062673965383100005
ACH-000009,-0.068405449715
ACH-000011,-0.0907330044706
ACH-000012,0.104639227052
ACH-000013,0.160924101171
ACH-000014,0.20845851436
ACH-000015,0.04977735628840001
ACH-000017,-0.047220984287
ACH-000018,0.235152575588
ACH-000019,0.501095579511
ACH-000021,-0.0028779673756799996
ACH-000022,0.20516167791700002
ACH-000025,-0.0238893028999
ACH-000028,0.0200371020197
ACH-000030,0.048824554103199996
ACH-000035,0.033608291203999996
ACH-000036,0.204614105415
ACH-000037,0.363415288782
ACH-000039,-0.162784647488
ACH-000040,0.197520591413
ACH-000041,0.133952419433
ACH-000042,0.0344028264464
ACH-000045,-0.10449103487299999
ACH-000047,0.197647250755
ACH-000052,0.11169457305199999
ACH-000053,0.007501173887029999
ACH-000054,-0.0162679342308
ACH-000055,-0.0574349893789
ACH-000060,0.24700519255
ACH-000067,0.21940352609799998
ACH-000070,0.25938982268000005
ACH-000075,0.344838217213
ACH-000078,-0.20299271153700002
ACH-000082,0.09695030330289998
ACH-000085,0.043478426813500004
ACH-000086,0.114200402228
ACH-000087,-0.0125685787311
ACH-000092,0.0697850146332
ACH-000095,-0.038830786363599996
ACH-000097,0.0773586939475
ACH-000098,0.16182385567399998
ACH-000099,-0.0857923943447
ACH-000108,-0.0518101237726
ACH-000113,0.0708837537705
ACH-000115,0.0452566393033
ACH-000116,0.0673576569961
ACH-000118,0.0674928074999
ACH-000120,0.09181097991969998
ACH-000123,-0.10593240520300001
ACH-000127,0.045215726182199996
ACH-000128,0.0675815533994
ACH-000132,0.09627548170320001
ACH-000133,0.047555640594499994
ACH-000137,0.054855791956900005
ACH-000138,0.168149410898
ACH-000142,0.00325120027688
ACH-000143,0.22464734949
ACH-000146,-0.07791367343189999
ACH-000148,0.106934035416
ACH-000150,0.0126983026986
ACH-000152,0.312743178489
ACH-000153,-0.187603467656
ACH-000159,-0.042321273866300003
ACH-000160,0.07934122804060001
ACH-000163,0.5733347826590001
ACH-000167,0.157461513031
ACH-000168,0.187291300539
ACH-000169,0.18518118462400002
ACH-000178,0.14566869703500002
ACH-000182,0.197754191061
ACH-000183,0.0324745322685
ACH-000188,0.27445279272900003
ACH-000189,0.0082773738567
ACH-000190,0.157954166591
ACH-000198,0.0354500279941
ACH-000204,-0.198076944194
ACH-000206,0.281793516973
ACH-000207,0.14681050398
ACH-000211,-0.0603539756959
ACH-000215,0.232751690137
ACH-000221,0.032453988156699996
ACH-000222,-0.151801267357
ACH-000223,-0.08236975103039999
ACH-000226,-0.013138885433100001
ACH-000227,0.134206399329
ACH-000228,-0.09999647687280001
ACH-000231,0.127332679693
ACH-000232,-0.05801515609730001
ACH-000233,0.08068319072960001
ACH-000234,-0.061660161215900004
ACH-000235,-0.07255768753830001
ACH-000237,0.22093312053800002
ACH-000238,0.162547439739
ACH-000243,0.0439143991024
ACH-000244,0.15577296657
ACH-000246,0.0396295037164
ACH-000248,0.011180372235399999
ACH-000250,0.17600074346099998
ACH-000251,-0.10030438492699999
ACH-000253,0.150540596561
ACH-000255,0.000798661485072
ACH-000256,0.140638812477
ACH-000257,0.15914003837500001
ACH-000258,0.0791264471533
ACH-000259,0.0228171682638
ACH-000260,-0.015773258682
ACH-000261,0.178845744227
ACH-000262,-0.0667771960211
ACH-000263,0.375453658815
ACH-000264,0.22424311982099998
ACH-000265,0.0595972657451
ACH-000266,0.025097223142400003
ACH-000272,0.09778408943679999
ACH-000273,0.0720889821489
ACH-000274,0.0368726258327
ACH-000277,0.0130277039694
ACH-000278,0.0916029949156
ACH-000279,-0.00031884089690499995
ACH-000280,-0.10817323560599999
ACH-000281,0.042150867149
ACH-000288,0.0517818899093
ACH-000291,0.145606591754
ACH-000293,0.25864897930799996
ACH-000294,-0.199326143389
ACH-000295,0.0747991304935
ACH-000296,0.09136508274380001
ACH-000302,0.117776574106
ACH-000304,0.321861606247
ACH-000307,0.21929269891999997
ACH-000308,0.0712341384687
ACH-000310,-0.27814576
ACH-000311,-0.0769522064575
ACH-000312,-0.12407416801799999
ACH-000315,0.10406037307600001
ACH-000316,0.14504053046499998
ACH-000317,-0.15885382875999998
ACH-000318,0.374826369331
ACH-000319,0.228239555918
ACH-000320,-0.288823501135
ACH-000322,-0.0641678931179
ACH-000323,0.06391481120569999
ACH-000324,-0.14009151648499998
ACH-000329,0.115538080492
ACH-000330,-0.055114483053
ACH-000331,0.08051674814960001
ACH-000332,-0.0338209232736
ACH-000334,0.294271185906
ACH-000335,0.354797429142
ACH-000336,0.331554557019
ACH-000337,0.35926946431999995
ACH-000339,-0.00223374019023
ACH-000341,-0.138501804756
ACH-000348,0.0850084676376
ACH-000350,-0.07861129418719999
ACH-000352,0.184074189492
ACH-000356,0.010235957925
ACH-000361,0.0663890179907
ACH-000362,0.0124530112916
ACH-000363,0.0608485042174
ACH-000364,0.17653579248799997
ACH-000365,0.22098875172
ACH-000366,0.0368272488833
ACH-000368,-0.0630614267165
ACH-000374,0.181668841818
ACH-000375,0.16307699909499998
ACH-000376,0.202881679941
