,DepMap_ID
4283,ACH-000014
37450,ACH-000111
48691,ACH-000157
52083,ACH-000169
65221,ACH-000216
70199,ACH-000231
72396,ACH-000238
76972,ACH-000252
92894,ACH-000302
114579,ACH-000360
168224,ACH-000500
173263,ACH-000512
181715,ACH-000533
215596,ACH-000609
224839,ACH-000629
232124,ACH-000643
242843,ACH-000664
251824,ACH-000680
257834,ACH-000693
296396,ACH-000763
305431,ACH-000777
356626,ACH-000798
373423,ACH-000819
381202,ACH-000829
422184,ACH-000876
440376,ACH-000891
451806,ACH-000902
465549,ACH-000913
467486,ACH-000914
469344,ACH-000915
473002,ACH-000917
479359,ACH-000920
491736,ACH-000927
549556,ACH-000950
557539,ACH-000953
569357,ACH-000956
578878,ACH-000959
581655,ACH-000960
581656,ACH-000960
584902,ACH-000961
621533,ACH-000971
625562,ACH-000972
632722,ACH-000974
673440,ACH-000983
678116,ACH-000984
691947,ACH-000986
699556,ACH-000987
699557,ACH-000987
706888,ACH-000988
713832,ACH-000989
724049,ACH-000990
819255,ACH-000994
828537,ACH-000995
828538,ACH-000995
828539,ACH-000995
828540,ACH-000995
876921,ACH-000999
876922,ACH-000999
900097,ACH-001063
927232,ACH-001127
927233,ACH-001127
927234,ACH-001127
927235,ACH-001127
927236,ACH-001127
963125,ACH-001333
981529,ACH-001367
981530,ACH-001367
983460,ACH-001369
987754,ACH-001378
994177,ACH-001403
1000388,ACH-001430
1002531,ACH-001452
1042115,ACH-001570
1042116,ACH-001570
1047916,ACH-001610
1047917,ACH-001610
1058242,ACH-001650
1073820,ACH-001790
1074227,ACH-001791
1131143,ACH-002192
1132775,ACH-002196
1133293,ACH-002197
1144683,ACH-002222
1144684,ACH-002222
1166602,ACH-002256
1166603,ACH-002256
1166604,ACH-002256
1166605,ACH-002256
1175015,ACH-002267
1187092,ACH-002287
1194770,ACH-002307
1205114,ACH-002336
1207054,ACH-002340
1221066,ACH-002390
1224643,ACH-002396
