,DepMap_ID
34327,ACH-000099
51473,ACH-000167
94186,ACH-000305
102639,ACH-000327
114574,ACH-000360
122985,ACH-000383
205008,ACH-000586
213231,ACH-000604
214668,ACH-000607
239555,ACH-000658
241712,ACH-000662
276398,ACH-000727
276399,ACH-000727
276400,ACH-000727
276401,ACH-000727
290540,ACH-000753
292962,ACH-000757
292963,ACH-000757
357180,ACH-000799
361146,ACH-000804
367953,ACH-000812
396693,ACH-000849
433027,ACH-000885
446206,ACH-000897
485284,ACH-000923
486539,ACH-000924
488592,ACH-000925
512706,ACH-000937
535797,ACH-000945
544126,ACH-000948
584861,ACH-000961
595422,ACH-000964
605997,ACH-000967
621460,ACH-000971
629031,ACH-000973
629032,ACH-000973
647916,ACH-000978
678030,ACH-000984
678031,ACH-000984
706798,ACH-000988
713713,ACH-000989
723875,ACH-000990
819084,ACH-000994
819085,ACH-000994
819086,ACH-000994
848407,ACH-000997
858798,ACH-000998
876520,ACH-000999
908707,ACH-001075
919099,ACH-001091
919100,ACH-001091
927098,ACH-001127
932442,ACH-001136
951857,ACH-001232
967352,ACH-001344
1010506,ACH-001500
1047843,ACH-001610
1052829,ACH-001630
1088145,ACH-002059
1137112,ACH-002208
1166447,ACH-002256
1214406,ACH-002363
1217079,ACH-002377
